Time,Performance
8.880721,-1
8.958313,-1
9.039572,-1
9.142869,-1
9.23696,-1
9.329814,-1
9.409751,-1
9.503848,-1
9.599311,-1
9.693289,-1
9.779752,-1
9.875206,-1
9.973736,-1
10.0915,-1
10.18942,-1
10.28724,-1
10.38448,-1
10.48036,-1
10.57852,-1
10.6755,-1
10.77294,-1
10.87241,-1
10.97693,-1
11.07835,-1
11.17721,-1
11.28182,-1
11.38675,-1
11.48529,-1
11.58362,-1
11.68179,-1
11.78138,-1
11.88139,-1
11.98191,-1
12.08309,-1
12.18574,-1
12.28773,-1
12.38828,-1
12.48915,-1
12.59081,-1
12.69088,-1
12.79273,-1
12.89446,-1
12.99622,-1
13.09939,-1
13.20357,-1
13.30605,-1
13.41057,-1
13.51303,-1
13.61599,-1
13.71929,-1
13.82399,-1
13.92934,-1
14.0349,-1
14.14091,-1
14.24697,-1
14.37576,-1
14.47999,-1
14.58438,-1
14.68944,-1
14.79556,-1
14.90252,-1
15.0085,-1
15.11279,-1
15.21813,-1
15.32445,-1
15.43046,-1
15.53644,-1
15.64393,-1
15.75556,-1
15.86312,-1
15.97707,-1
16.08708,-1
16.20087,-1
16.31819,-1
16.42895,-1
16.54069,-1
16.6577,-1
16.77499,-1
16.88602,-1
16.9952,-1
17.10615,-1
17.21629,-1
17.32517,-1
17.43276,-1
17.54162,-1
17.6498,-1
17.75927,-1
17.86835,-1
17.97839,-1
18.08742,-1
18.19926,-1
18.31391,-1
18.42308,-1
18.53431,-1
18.64566,-1
18.75727,-1
18.88829,-1
19.00483,-1
19.12374,-1
19.24124,-1
19.35863,-1
19.47908,-1
19.59809,-1
19.71542,-1
19.83166,-1
19.94752,-1
20.0623,-1
20.1779,-1
20.29442,-1
20.40825,-1
20.5219,-1
20.63766,-1
20.75247,-1
20.86641,-1
20.98216,-1
21.10007,-1
21.21651,-1
21.33229,-1
21.44945,-1
21.57293,-1
21.69143,-1
21.81117,-1
21.93315,-1
22.0506,-1
22.16961,-1
22.28908,-1
22.41403,-1
22.53917,-1
22.66662,-1
22.79247,-1
22.92378,-1
23.04699,-1
23.16697,-1
23.28337,-1
23.40143,-1
23.52442,-1
23.64598,-1
23.78349,-1
23.90937,-1
24.0332,-1
24.15491,-1
24.27797,-1
24.40454,-1
24.52966,-1
24.65516,-1
24.78089,-1
24.90757,-1
25.03033,-1
25.15251,-1
25.27433,-1
25.40453,-1
25.5412,-1
25.66731,-1
25.79695,-1
25.92128,-1
26.05331,-1
26.18467,-1
26.31271,-1
26.4428,-1
26.56942,-1
26.70206,-1
26.83271,-1
26.95948,-1
27.09775,-1
27.23293,-1
27.37118,-1
27.51063,-1
27.64583,-1
27.78613,-1
27.91854,-1
28.05758,-1
28.20756,-1
28.34811,-1
28.48937,-1
28.63214,-1
28.76816,-1
28.92903,-1
29.06486,-1
29.20533,-1
29.34287,-1
29.47836,-1
29.61972,-1
29.75347,-1
29.89773,-1
30.04176,-1
30.17608,-1
30.31721,-1
30.44843,-1
30.58838,-1
30.72812,-1
30.86553,-1
31.00424,-1
31.14108,-1
31.28451,-1
31.42682,-1
31.56396,-1
31.7074,-1
31.84496,-1
31.98786,-1
32.12956,-1
32.2683,-1
32.41411,-1
32.55547,-1
32.70232,-1
32.85289,-1
32.99872,-1
33.15023,-1
33.2986,-1
33.44307,-1
33.58758,-1
33.73329,-1
33.88107,-1
34.04164,-1
34.20863,-1
34.36292,-1
34.51098,-1
34.66399,-1
34.81505,-1
34.96383,-1
35.11694,-1
35.26509,-1
35.40435,-1
35.54568,-1
35.68771,-1
35.82711,-1
35.9731,-1
36.10976,-1
36.25387,-1
36.3987,-1
36.53587,-1
36.67724,-1
36.81437,-1
36.96106,-1
37.10679,-1
37.24457,-1
37.39069,-1
37.53326,-1
37.67821,-1
