Time,UnixTime,Acc_X,Acc_Y,Acc_Z
-0.265182256698608,1631513806.33702,-34,-57,8
-0.233932256698608,1631513806.36827,-32,-57,11
-0.202682256698608,1631513806.39952,-35,-54,12
-0.171432256698608,1631513806.43077,-38,-51,11
-0.140182256698608,1631513806.46202,-34,-49,11
-0.108922243118286,1631513806.49328,-33,-49,11
0.0473277568817139,1631513806.64953,-36,-50,-2
0.0785877704620361,1631513806.68079,-40,-50,-4
0.234837770462036,1631513806.83704,-41,-53,-6
0.266087770462036,1631513806.86829,-39,-53,-4
0.422347784042358,1631513807.02455,-40,-45,-4
0.453597784042358,1631513807.0558,-38,-45,-5
0.578607797622681,1631513807.18081,-36,-44,-9
0.609857797622681,1631513807.21206,-38,-44,-11
0.641107797622681,1631513807.24331,-38,-45,-13
0.766117811203003,1631513807.36832,-43,-49,-9
0.797367811203003,1631513807.39957,-45,-46,-9
0.828617811203003,1631513807.43082,-45,-46,-11
0.953627824783325,1631513807.55583,-40,-49,-10
0.984877824783325,1631513807.58708,-38,-47,-8
1.01612782478333,1631513807.61833,-41,-47,-9
1.17238783836365,1631513807.77459,-41,-49,-7
1.20363783836365,1631513807.80584,-39,-48,-6
1.32863783836365,1631513807.93084,-38,-48,-6
1.35988783836365,1631513807.96209,-39,-49,-5
1.39114785194397,1631513807.99335,-40,-48,-5
1.54739785194397,1631513808.1496,-36,-49,-10
1.57864785194397,1631513808.18085,-37,-51,-17
1.70365786552429,1631513808.30586,-39,-51,-17
1.73490786552429,1631513808.33711,-39,-50,-17
1.76615786552429,1631513808.36836,-38,-50,-16
1.92241787910461,1631513808.52462,-36,-51,-15
1.95366787910461,1631513808.55587,-36,-50,-14
2.07867789268494,1631513808.68088,-34,-50,-15
2.10992789268494,1631513808.71213,-34,-51,-14
2.14117789268494,1631513808.74338,-35,-52,-15
2.26618790626526,1631513808.86839,-33,-51,-14
2.29743790626526,1631513808.89964,-39,-49,-10
2.32868790626526,1631513808.93089,-38,-49,-11
2.45369791984558,1631513809.0559,-35,-52,-12
2.48494791984558,1631513809.08715,-35,-52,-12
2.51619791984558,1631513809.1184,-36,-52,-12
2.64119791984558,1631513809.2434,-37,-50,-10
2.6724579334259,1631513809.27466,-38,-50,-13
2.7037079334259,1631513809.30591,-37,-51,-14
2.8599579334259,1631513809.46216,-38,-47,-11
2.89121770858765,1631513809.49342,-41,-47,-13
3.01621770858765,1631513809.61842,-46,-51,-6
3.04746770858765,1631513809.64967,-45,-50,-7
3.07871770858765,1631513809.68092,-37,-49,-6
3.10997772216797,1631513809.71218,-35,-48,-5
3.14122772216797,1631513809.74343,-38,-50,-11
3.17247772216797,1631513809.77468,-33,-50,-12
3.20372772216797,1631513809.80593,-32,-51,-12
3.23497772216797,1631513809.83718,-34,-50,-12
3.26622772216797,1631513809.86843,-35,-48,-8
3.45373773574829,1631513810.05594,-37,-44,-9
3.60999774932861,1631513810.2122,-39,-54,-20
3.64124774932861,1631513810.24345,-40,-55,-15
3.79750776290894,1631513810.39971,-38,-56,-11
3.82875776290894,1631513810.43096,-43,-59,-14
3.98501777648926,1631513810.58722,-19,-46,5
4.01626777648926,1631513810.61847,-34,-46,-8
4.14126777648926,1631513810.74347,-29,-45,-1
4.17251777648926,1631513810.77472,-27,-50,-1
4.20377779006958,1631513810.80598,-30,-55,-1
