Time,UnixTime,Acc_X,Acc_Y,Acc_Z
0.94210410118103,1631515388.46371,-29,33,-2
1.12961411476135,1631515388.65122,-47,62,-35
1.31711411476135,1631515388.83872,15,22,3
1.50462412834167,1631515389.02623,-65,99,-30
1.53587412834167,1631515389.05748,-67,72,-41
1.567134141922,1631515389.08874,-35,52,-48
1.598384141922,1631515389.11999,-24,62,-45
1.629634141922,1631515389.15124,-44,28,-44
1.660884141922,1631515389.18249,-53,5,-57
1.692134141922,1631515389.21374,-32,11,-46
1.723384141922,1631515389.24499,7,7,-14
1.754634141922,1631515389.27624,11,-5,3
1.78589391708374,1631515389.3075,-21,3,-9
1.81714391708374,1631515389.33875,-55,13,-37
1.84839391708374,1631515389.37,-53,28,-37
1.87964391708374,1631515389.40125,-53,31,-34
2.06715393066406,1631515389.58876,-67,17,-29
2.25466394424438,1631515389.77627,-74,25,-34
2.28591394424438,1631515389.80752,-71,17,-23
2.31716394424438,1631515389.83877,-59,13,-24
2.34841394424438,1631515389.87002,-37,18,-14
2.37966394424438,1631515389.90127,-34,13,-16
2.41092395782471,1631515389.93253,-45,9,-24
2.44217395782471,1631515389.96378,-58,10,-40
2.62968397140503,1631515390.15129,-37,15,-53
2.81718397140503,1631515390.33879,-59,11,-42
2.97344398498535,1631515390.49505,-48,10,-44
3.00469398498535,1631515390.5263,-46,9,-40
3.12970399856567,1631515390.65131,-44,14,-26
3.16095399856567,1631515390.68256,-50,22,-25
3.19220399856567,1631515390.71381,-50,27,-20
3.22345399856567,1631515390.74506,-43,38,-4
3.25470399856567,1631515390.77631,-37,41,-1
3.285964012146,1631515390.80757,-26,47,-1
3.317214012146,1631515390.83882,-30,56,1
3.348464012146,1631515390.87007,-40,76,0
3.379714012146,1631515390.90132,-40,79,0
3.410964012146,1631515390.93257,-67,79,-9
3.442214012146,1631515390.96382,-74,78,-11
3.473464012146,1631515390.99507,-58,64,-6
3.50472402572632,1631515391.02633,-50,57,2
3.53597402572632,1631515391.05758,-50,48,8
3.56722402572632,1631515391.08883,-49,44,7
3.72348403930664,1631515391.24509,-62,28,3
3.75473403930664,1631515391.27634,-63,22,2
3.78598403930664,1631515391.30759,-62,9,0
3.81723403930664,1631515391.33884,-48,-1,1
3.84848403930664,1631515391.37009,-45,-3,-4
3.87973403930664,1631515391.40134,-53,6,-8
3.91098403930664,1631515391.43259,-57,18,-9
3.94224405288696,1631515391.46385,-47,30,-3
4.09849405288696,1631515391.6201,-30,57,27
4.12974405288696,1631515391.65135,-32,44,22
