Time,Performance
17.51319,-1
17.59089,-1
17.69732,-1
17.79297,-1
17.9002,-1
18.00585,-1
18.11397,-1
18.19311,-1
18.29995,-1
18.4049,-1
18.51943,-1
18.63134,-1
18.74018,-1
18.83667,-1
18.94382,-1
19.04991,-1
19.15761,-1
19.26648,-1
19.36877,-1
19.4855,-1
19.59677,-1
19.70779,-1
19.82056,-1
19.93406,-1
20.04482,-1
20.18495,-1
20.29419,-1
20.40244,-1
20.51399,-1
20.62332,-1
20.7348,-1
20.84746,-1
20.96275,-1
21.07898,-1
21.19757,-1
21.32082,-1
21.43618,-1
21.55425,-1
21.67072,-1
21.78387,-1
21.89562,-1
22.01088,-1
22.12743,-1
22.24266,-1
22.35789,-1
22.4775,-1
22.59446,-1
22.71122,-1
22.83204,-1
22.94907,-1
23.06574,-1
23.18056,-1
23.29587,-1
23.41209,-1
23.52764,-1
23.64315,-1
23.75889,-1
23.87705,-1
23.99438,-1
24.11232,-1
24.22973,-1
24.34781,-1
24.46687,-1
24.58485,-1
24.70459,-1
24.82397,-1
24.94321,-1
25.06223,-1
25.20837,-1
25.32887,-1
25.44896,-1
25.5684,-1
25.68837,-1
25.80993,-1
25.92929,-1
26.04877,-1
26.16997,-1
26.29115,-1
26.41139,-1
26.53224,-1
26.66145,-1
26.78329,-1
26.9039,-1
27.02354,-1
27.14445,-1
27.26719,-1
27.38971,-1
27.51104,-1
27.63285,-1
27.75549,-1
27.87813,-1
28.00058,-1
28.12658,-1
28.25179,-1
28.3768,-1
28.50047,-1
28.62827,-1
28.75706,-1
28.88185,-1
29.00633,-1
29.13066,-1
29.25776,-1
29.38806,-1
29.51349,-1
29.6401,-1
29.768,-1
29.89452,-1
30.02177,-1
30.1511,-1
30.28434,-1
30.41108,-1
30.53871,-1
30.69547,-1
30.82849,-1
30.95724,-1
31.08398,-1
31.21227,-1
31.34289,-1
31.4729,-1
31.60106,-1
31.7297,-1
31.86024,-1
31.98944,-1
32.12943,-1
32.26152,-1
32.39251,-1
32.52379,-1
32.65381,-1
32.78499,-1
32.92062,-1
33.05221,-1
33.18252,-1
33.31576,-1
33.44969,-1
33.58212,-1
33.71346,-1
33.84765,-1
33.98449,-1
34.12033,-1
34.25365,-1
34.38902,-1
34.52595,-1
34.66199,-1
34.79492,-1
34.92921,-1
35.06504,-1
35.19947,-1
35.3333,-1
35.46975,-1
35.60747,-1
35.7428,-1
35.87738,-1
36.01403,-1
36.15503,-1
36.32289,-1
36.46125,-1
36.6026,-1
36.74559,-1
36.88575,-1
37.0294,-1
