Time,UnixTime,Acc_X,Acc_Y,Acc_Z
-0.185439825057983,1631518611.8763,-45,14,-33
-0.154189825057983,1631518611.90755,-46,18,-42
-0.122939825057983,1631518611.9388,-52,29,-51
-0.0916898250579834,1631518611.97005,-56,31,-55
-0.0604298114776611,1631518612.00131,-57,30,-59
-0.0291798114776611,1631518612.03256,-56,26,-57
0.0958201885223389,1631518612.15756,-40,26,-45
0.127070188522339,1631518612.18881,-28,29,-41
0.158329963684082,1631518612.22007,-35,34,-43
0.314579963684082,1631518612.37632,-74,12,-28
0.345829963684082,1631518612.40757,-65,61,-39
0.502089977264404,1631518612.56383,-13,64,25
0.533339977264404,1631518612.59508,-18,64,22
0.689599990844727,1631518612.75134,-36,81,-6
0.720849990844727,1631518612.78259,3,77,11
0.877110004425049,1631518612.93885,-78,69,-22
0.908360004425049,1631518612.9701,-67,86,-22
1.06462001800537,1631518613.12636,-32,38,-23
1.09587001800537,1631518613.15761,-16,39,-17
1.25213003158569,1631518613.31387,46,80,88
1.28338003158569,1631518613.34512,-2,103,70
1.43964004516602,1631518613.50138,-6,61,4
1.47089004516602,1631518613.53263,-10,57,19
1.50214004516602,1631518613.56388,-20,52,12
1.53339004516602,1631518613.59513,-20,52,3
1.56464004516602,1631518613.62638,-21,53,-7
1.59589004516602,1631518613.65763,-24,64,-10
1.62714004516602,1631518613.68888,1,78,7
1.65840005874634,1631518613.72014,14,81,15
1.78340005874634,1631518613.84514,-30,62,18
1.81465005874634,1631518613.87639,-27,65,30
1.84590005874634,1631518613.90764,-30,63,27
2.00216007232666,1631518614.0639,-19,52,21
2.03341007232666,1631518614.09515,-19,50,21
2.15842008590698,1631518614.22016,-19,59,29
2.18967008590698,1631518614.25141,-19,59,29
2.22092008590698,1631518614.28266,-16,55,28
2.3771800994873,1631518614.43892,-12,55,31
2.4084300994873,1631518614.47017,-14,54,34
2.53344011306763,1631518614.59518,-30,46,30
2.56469011306763,1631518614.62643,-23,52,31
2.59594011306763,1631518614.65768,-21,52,31
2.75220012664795,1631518614.81394,-57,40,8
2.78345012664795,1631518614.84519,-31,39,26
2.93970012664795,1631518615.00144,-37,59,31
