Time,UnixTime,Acc_X,Acc_Y,Acc_Z
0.119844913482666,1631599915.14619,-28,-49,-31
0.151094913482666,1631599915.17744,-30,-50,-31
0.182344913482666,1631599915.20869,-29,-48,-31
0.213604927062988,1631599915.23995,-28,-47,-32
0.244854927062988,1631599915.2712,-21,-47,-32
0.276104927062988,1631599915.30245,-22,-46,-32
0.307354927062988,1631599915.3337,-29,-46,-34
0.338604927062988,1631599915.36495,-36,-47,-34
0.369854927062988,1631599915.3962,-29,-49,-32
0.401104927062988,1631599915.42745,-28,-48,-35
0.432364940643311,1631599915.45871,-21,-52,-34
0.463614940643311,1631599915.48996,-17,-49,-30
0.494864940643311,1631599915.52121,-25,-49,-32
0.526114940643311,1631599915.55246,-29,-48,-28
0.557364940643311,1631599915.58371,-35,-44,-24
0.588614940643311,1631599915.61496,-38,-42,-27
0.619864940643311,1631599915.64621,-32,-43,-29
0.651124954223633,1631599915.67747,-31,-45,-28
0.682374954223633,1631599915.70872,-36,-46,-28
0.713624954223633,1631599915.73997,-38,-44,-31
0.744874954223633,1631599915.77122,-36,-44,-33
0.776124954223633,1631599915.80247,-41,-43,-28
0.807374954223633,1631599915.83372,-45,-43,-25
0.838624954223633,1631599915.86497,-47,-42,-18
0.994884967803955,1631599916.02123,-51,-41,-16
1.02613496780396,1631599916.05248,-45,-42,-15
1.18239498138428,1631599916.20874,-47,-41,-3
1.21364498138428,1631599916.23999,-47,-41,-1
1.24489498138428,1631599916.27124,-41,-41,2
1.2761549949646,1631599916.3025,-41,-41,1
1.3074049949646,1631599916.33375,-44,-40,-2
1.3386549949646,1631599916.365,-44,-36,-2
1.3699049949646,1631599916.39625,-45,-33,-4
1.4011549949646,1631599916.4275,-46,-31,-3
1.55741500854492,1631599916.58376,-55,-19,8
1.58866500854492,1631599916.61501,-60,-17,14
1.74492502212524,1631599916.77127,-67,-6,17
1.77617502212524,1631599916.80252,-65,-5,21
1.80742502212524,1631599916.83377,-61,1,18
1.83867502212524,1631599916.86502,-62,10,21
1.86992502212524,1631599916.89627,-76,10,10
1.90117502212524,1631599916.92752,-79,7,-2
1.93243503570557,1631599916.95878,-72,10,-2
1.96368503570557,1631599916.99003,-62,14,-1
1.99493503570557,1631599917.02128,-59,17,1
2.02618503570557,1631599917.05253,-58,22,1
2.05743503570557,1631599917.08378,-58,24,0
2.08868503570557,1631599917.11503,-57,24,-3
2.11993503570557,1631599917.14628,-60,26,-6
2.15119504928589,1631599917.17754,-62,30,-7
2.30744504928589,1631599917.33379,-44,32,-3
2.33869504928589,1631599917.36504,-39,33,-2
2.49495506286621,1631599917.5213,-19,80,17
2.52620506286621,1631599917.55255,-19,89,16
2.55745506286621,1631599917.5838,-19,96,16
2.58871507644653,1631599917.61506,-19,93,17
2.61996507644653,1631599917.64631,-17,84,8
2.65121507644653,1631599917.67756,-18,78,4
2.68246507644653,1631599917.70881,-29,69,2
2.71371507644653,1631599917.74006,-29,65,0
2.86997509002686,1631599917.89632,-42,56,13
2.90122509002686,1631599917.92757,-39,56,16
3.05748510360718,1631599918.08383,-61,42,-18
3.08873510360718,1631599918.11508,-58,38,-26
3.21373510360718,1631599918.24008,-30,13,-57
3.24499487876892,1631599918.27134,-24,8,-59
3.27624487876892,1631599918.30259,-17,-3,-57
3.43249487876892,1631599918.45884,-27,-23,-52
3.46375489234924,1631599918.4901,-34,-30,-30
3.49500489234924,1631599918.52135,-22,-35,-18
3.52625489234924,1631599918.5526,7,-45,11
3.55750489234924,1631599918.58385,1,-48,0
3.58875489234924,1631599918.6151,3,-46,-33
3.62000489234924,1631599918.64635,0,-45,-47
3.65126490592957,1631599918.67761,-24,-39,-60
3.68251490592957,1631599918.70886,-14,-41,-65
3.71376490592957,1631599918.74011,2,-39,-47
3.74501490592957,1631599918.77136,10,-40,-32
3.77626490592957,1631599918.80261,9,-45,-32
3.80751490592957,1631599918.83386,5,-47,-37
3.83876490592957,1631599918.86511,-1,-47,-57
3.99502491950989,1631599919.02137,7,-43,-45
4.02627491950989,1631599919.05262,8,-43,-46
4.05752491950989,1631599919.08387,7,-43,-48
4.08878493309021,1631599919.11513,5,-43,-48
4.12003493309021,1631599919.14638,8,-44,-47
4.15128493309021,1631599919.17763,11,-44,-45
4.18253493309021,1631599919.20888,5,-44,-47
4.21378493309021,1631599919.24013,7,-45,-46
4.37004494667053,1631599919.39639,7,-45,-48
4.40129494667053,1631599919.42764,7,-45,-48
4.55755496025085,1631599919.5839,6,-45,-44
4.58880496025085,1631599919.61515,13,-46,-46
4.62005496025085,1631599919.6464,16,-48,-44
4.65130496025085,1631599919.67765,1,-50,-43
4.68255496025085,1631599919.7089,-3,-50,-41
4.71380496025085,1631599919.74015,4,-49,-38
4.74506497383118,1631599919.77141,8,-49,-36
4.77631497383118,1631599919.80266,7,-50,-35
4.80756497383118,1631599919.83391,7,-50,-34
4.83881497383118,1631599919.86516,9,-50,-35
4.87006497383118,1631599919.89641,12,-51,-35
4.90131497383118,1631599919.92766,9,-51,-34
4.93256497383118,1631599919.95891,8,-52,-33
4.9638249874115,1631599919.99017,7,-53,-29
5.1200749874115,1631599920.14642,8,-53,-37
5.1513249874115,1631599920.17767,3,-54,-34
5.18258500099182,1631599920.20893,7,-54,-30
5.21383500099182,1631599920.24018,7,-54,-29
5.24508500099182,1631599920.27143,13,-55,-28
5.27633500099182,1631599920.30268,17,-55,-29
5.30758500099182,1631599920.33393,11,-54,-31
5.33883500099182,1631599920.36518,8,-54,-32
5.37008500099182,1631599920.39643,12,-55,-30
5.40134501457214,1631599920.42769,12,-54,-29
5.43259501457214,1631599920.45894,8,-54,-27
5.46384501457214,1631599920.49019,4,-55,-26
5.49509501457214,1631599920.52144,0,-53,-28
5.52634501457214,1631599920.55269,-2,-53,-31
5.65135502815247,1631599920.6777,-15,-55,-56
5.68260502815247,1631599920.70895,-6,-61,-33
5.71385502815247,1631599920.7402,-4,-65,-21
5.87011504173279,1631599920.89646,49,-40,-33
5.90136504173279,1631599920.92771,12,-57,-99
6.05762505531311,1631599921.08397,-16,-64,-86
6.08887505531311,1631599921.11522,15,-83,-128
6.12012505531311,1631599921.14647,30,-68,-118
6.15137505531311,1631599921.17772,127,-27,28
6.18262505531311,1631599921.20897,86,-23,127
6.21387505531311,1631599921.24022,-49,-46,56
6.24513506889343,1631599921.27148,5,-51,37
6.27638506889343,1631599921.30273,21,-56,-70
6.30763506889343,1631599921.33398,-26,-56,-89
6.33888506889343,1631599921.36523,-34,-40,-26
6.37013506889343,1631599921.39648,-23,-41,-49
6.40138506889343,1631599921.42773,-33,-30,-70
6.43263506889343,1631599921.45898,-1,-31,-72
6.46389508247375,1631599921.49024,-25,-23,-109
6.49514508247375,1631599921.52149,-59,-32,-111
6.52639508247375,1631599921.55274,-76,-43,-116
6.55764508247375,1631599921.58399,-50,-43,-118
6.58889508247375,1631599921.61524,37,-36,-58
6.62014508247375,1631599921.64649,102,-17,115
6.65139508247375,1631599921.67774,61,-13,127
6.68265509605408,1631599921.709,-58,-20,31
6.71390509605408,1631599921.74025,-115,-26,-11
6.74515509605408,1631599921.7715,-71,-34,17
6.77640509605408,1631599921.80275,-30,-31,32
6.80765509605408,1631599921.834,9,-26,61
6.83890509605408,1631599921.86525,-5,-25,59
6.87015509605408,1631599921.8965,-44,-22,44
6.90141487121582,1631599921.92776,-49,-24,40
6.93266487121582,1631599921.95901,-36,-26,40
6.96391487121582,1631599921.99026,-35,-27,39
6.99516487121582,1631599922.02151,-44,-27,37
7.02641487121582,1631599922.05276,-48,-25,37
7.05766487121582,1631599922.08401,-41,-27,41
7.08891487121582,1631599922.11526,-39,-28,38
7.12017488479614,1631599922.14652,-44,-31,26
7.15142488479614,1631599922.17777,-45,-31,23
7.18267488479614,1631599922.20902,-46,-31,9
7.21392488479614,1631599922.24027,-44,-34,-1
7.37018489837646,1631599922.39653,-34,-39,-38
7.40143489837646,1631599922.42778,-28,-40,-44
7.43268489837646,1631599922.45903,-29,-40,-48
7.46393489837646,1631599922.49028,-30,-38,-45
7.49518489837646,1631599922.52153,-34,-38,-42
7.52643489837646,1631599922.55278,-29,-41,-45
7.55769491195679,1631599922.58404,-33,-43,-52
7.58894491195679,1631599922.61529,-58,-44,-71
7.62019491195679,1631599922.64654,-58,-47,-75
7.65144491195679,1631599922.67779,-33,-50,-79
7.68269491195679,1631599922.70904,-12,-49,-69
7.71394491195679,1631599922.74029,48,-38,-13
7.74519491195679,1631599922.77154,90,-45,47
7.77645492553711,1631599922.8028,-31,-19,88
7.80770492553711,1631599922.83405,-50,-39,48
7.83895492553711,1631599922.8653,-30,-45,33
7.87020492553711,1631599922.89655,-38,-42,36
7.90145492553711,1631599922.9278,-32,-41,36
7.93270492553711,1631599922.95905,-22,-39,44
7.96395492553711,1631599922.9903,-26,-37,45
8.12021493911743,1631599923.14656,-30,-40,44
8.15146493911743,1631599923.17781,-30,-40,42
8.27647495269775,1631599923.30282,-30,-39,49
8.30772495269775,1631599923.33407,-22,-42,51
8.33897495269775,1631599923.36532,-18,-42,49
8.37022495269775,1631599923.39657,-15,-44,46
8.40147495269775,1631599923.42782,-14,-44,44
8.43273496627808,1631599923.45908,-11,-45,41
8.46398496627808,1631599923.49033,-8,-47,40
8.49523496627808,1631599923.52158,-6,-48,38
8.52648496627808,1631599923.55283,-7,-48,38
8.6827449798584,1631599923.70909,4,-50,38
8.7139949798584,1631599923.74034,6,-48,36
8.7452449798584,1631599923.77159,0,-46,35
8.7764949798584,1631599923.80284,-16,-41,36
8.8077449798584,1631599923.83409,-19,-42,33
8.83900499343872,1631599923.86535,-19,-43,17
8.87025499343872,1631599923.8966,-30,-44,3
8.90150499343872,1631599923.92785,-43,-44,-1
8.93275499343872,1631599923.9591,-62,-44,-13
8.96400499343872,1631599923.99035,-94,-39,-22
8.99525499343872,1631599924.0216,-72,-44,-23
9.02650499343872,1631599924.05285,20,-51,6
9.05776500701904,1631599924.08411,30,-30,29
9.08901500701904,1631599924.11536,-10,-24,34
9.21401500701904,1631599924.24036,-14,-30,63
9.24526500701904,1631599924.27161,-4,-23,70
9.27652502059937,1631599924.30287,-25,-14,62
9.30777502059937,1631599924.33412,-58,-7,59
9.33902502059937,1631599924.36537,10,72,79
9.37027502059937,1631599924.39662,-71,-2,38
9.40152502059937,1631599924.42787,-82,-11,27
9.43277502059937,1631599924.45912,-71,-25,33
9.46402502059937,1631599924.49037,-55,-10,38
9.49528503417969,1631599924.52163,-49,0,44
9.52653503417969,1631599924.55288,-45,-2,39
9.55778503417969,1631599924.58413,-67,2,28
9.58903503417969,1631599924.61538,-68,-3,28
9.62028503417969,1631599924.64663,-65,-2,27
9.65153503417969,1631599924.67788,-59,-1,29
9.80779504776001,1631599924.83414,-53,10,39
9.83904504776001,1631599924.86539,-49,13,40
9.87029504776001,1631599924.89664,-49,9,38
9.90154504776001,1631599924.92789,-45,10,38
9.93280506134033,1631599924.95915,-39,14,41
9.96405506134033,1631599924.9904,-40,22,48
9.99530506134033,1631599925.02165,-41,15,46
10.0265550613403,1631599925.0529,-44,23,41
10.0578050613403,1631599925.08415,-48,19,40
10.0890550613403,1631599925.1154,-47,17,36
10.1203050613403,1631599925.14665,-45,-20,35
10.1515650749207,1631599925.17791,-40,7,43
10.1828150749207,1631599925.20916,-48,9,41
10.2140650749207,1631599925.24041,-51,14,39
10.2453150749207,1631599925.27166,-51,5,34
10.2765650749207,1631599925.30291,-45,7,41
10.3078150749207,1631599925.33416,-50,6,40
10.3390650749207,1631599925.36541,-50,15,42
10.370325088501,1631599925.39667,-55,14,39
10.401575088501,1631599925.42792,-53,21,42
10.432825088501,1631599925.45917,-49,16,40
10.464075088501,1631599925.49042,-51,19,34
10.495325088501,1631599925.52167,-50,17,32
10.526575088501,1631599925.55292,-52,17,33
10.557825088501,1631599925.58417,-51,24,39
10.5890851020813,1631599925.61543,-52,23,38
10.7140851020813,1631599925.74043,-45,24,39
10.7453351020813,1631599925.77168,-45,24,39
10.7765851020813,1631599925.80293,-45,24,38
10.807844877243,1631599925.83419,-44,25,38
10.839094877243,1631599925.86544,-46,26,38
10.870344877243,1631599925.89669,-40,26,38
10.901594877243,1631599925.92794,-39,27,41
10.932844877243,1631599925.95919,-33,27,44
10.964094877243,1631599925.99044,-32,27,48
11.0891048908234,1631599926.11545,-33,30,48
11.1203548908234,1631599926.1467,-30,31,47
11.1516048908234,1631599926.17795,-31,31,46
11.3078649044037,1631599926.33421,-24,33,45
11.3391149044037,1631599926.36546,-23,37,43
11.3703649044037,1631599926.39671,-21,42,47
11.4016149044037,1631599926.42796,-19,45,47
11.432874917984,1631599926.45922,-17,43,46
11.464124917984,1631599926.49047,-15,45,45
11.495374917984,1631599926.52172,-19,40,46
11.526624917984,1631599926.55297,-17,44,37
11.557874917984,1631599926.58422,-14,46,41
11.589124917984,1631599926.61547,-12,45,44
11.620374917984,1631599926.64672,-16,45,41
11.6516349315643,1631599926.67798,-13,50,43
11.6828849315643,1631599926.70923,-18,56,41
11.7141349315643,1631599926.74048,-12,49,38
11.7453849315643,1631599926.77173,-13,52,39
11.7766349315643,1631599926.80298,-12,48,36
11.8078849315643,1631599926.83423,-13,50,34
11.8391349315643,1631599926.86548,-13,57,40
11.8703949451447,1631599926.89674,-9,57,41
11.9016449451447,1631599926.92799,-4,55,37
12.089154958725,1631599927.1155,-9,58,31
12.245404958725,1631599927.27175,-7,55,34
12.276654958725,1631599927.303,-7,56,31
12.3079149723053,1631599927.33426,-6,52,27
12.3391649723053,1631599927.36551,-5,53,24
12.3704149723053,1631599927.39676,-7,53,27
12.4016649723053,1631599927.42801,-7,53,31
12.4329149723053,1631599927.45926,-9,62,33
12.4641649723053,1631599927.49051,-12,62,33
12.6204249858856,1631599927.64677,-10,57,27
12.6516749858856,1631599927.67802,-10,56,28
12.6829249858856,1631599927.70927,-13,57,27
12.7141749858856,1631599927.74052,-13,58,28
12.7454349994659,1631599927.77178,-12,59,29
12.7766849994659,1631599927.80303,-12,57,28
12.8079349994659,1631599927.83428,-13,57,28
12.8391849994659,1631599927.86553,-14,56,29
12.8704349994659,1631599927.89678,-14,57,29
12.9016849994659,1631599927.92803,-12,58,32
12.9329349994659,1631599927.95928,-13,56,33
12.9641950130463,1631599927.99054,-11,56,35
12.9954450130463,1631599928.02179,-11,54,35
13.0266950130463,1631599928.05304,-13,48,35
13.0579450130463,1631599928.08429,-13,49,36
13.0891950130463,1631599928.11554,-13,48,34
13.1204450130463,1631599928.14679,-13,50,35
13.1517050266266,1631599928.17805,-14,50,34
13.1829550266266,1631599928.2093,-15,50,35
13.2142050266266,1631599928.24055,-14,49,36
13.2454550266266,1631599928.2718,-13,52,37
13.2767050266266,1631599928.30305,-12,53,32
13.3079550266266,1631599928.3343,-22,57,34
13.3392050266266,1631599928.36555,-25,47,30
13.3704650402069,1631599928.39681,-23,61,35
13.4017150402069,1631599928.42806,-15,53,34
13.5579650402069,1631599928.58431,-23,53,30
13.5892250537872,1631599928.61557,-27,53,30
13.7454750537872,1631599928.77182,-49,38,24
13.7767250537872,1631599928.80307,-49,36,25
13.9329850673676,1631599928.95933,-60,26,21
13.9642350673676,1631599928.99058,-58,28,23
13.9954850673676,1631599929.02183,-54,28,27
14.0267450809479,1631599929.05309,-50,28,26
14.0579950809479,1631599929.08434,-45,28,26
14.0892450809479,1631599929.11559,-43,29,27
14.1204950809479,1631599929.14684,-43,31,28
14.1517450809479,1631599929.17809,-36,33,31
14.1829950809479,1631599929.20934,-36,33,30
14.2142450809479,1631599929.24059,-45,33,28
14.2455050945282,1631599929.27185,-47,33,26
14.2767550945282,1631599929.3031,-49,33,23
14.3080050945282,1631599929.33435,-49,33,24
14.3392550945282,1631599929.3656,-52,32,24
14.3705050945282,1631599929.39685,-52,32,25
14.4017550945282,1631599929.4281,-53,39,30
14.4330050945282,1631599929.45935,-55,42,31
14.4642648696899,1631599929.49061,-48,44,35
14.4955148696899,1631599929.52186,-42,44,35
14.5267648696899,1631599929.55311,-38,37,34
14.5580148696899,1631599929.58436,-39,35,35
14.5892648696899,1631599929.61561,-40,33,35
14.6205148696899,1631599929.64686,-40,31,34
14.6517648696899,1631599929.67811,-48,36,40
14.6830248832703,1631599929.70937,-49,39,42
14.7142748832703,1631599929.74062,-39,36,43
14.7455248832703,1631599929.77187,-38,36,43
14.7767748832703,1631599929.80312,-30,40,51
14.8080248832703,1631599929.83437,-43,46,50
14.8392748832703,1631599929.86562,-55,49,48
14.8705248832703,1631599929.89687,-61,50,44
14.9017848968506,1631599929.92813,-58,49,40
14.9330348968506,1631599929.95938,-54,44,35
14.9642848968506,1631599929.99063,-54,41,34
14.9955348968506,1631599930.02188,-54,34,33
15.0267848968506,1631599930.05313,-54,30,32
15.0580348968506,1631599930.08438,-52,20,27
15.0892848968506,1631599930.11563,-47,16,27
15.2767949104309,1631599930.30314,-33,-18,50
15.3080449104309,1631599930.33439,-26,-30,33
15.3393049240112,1631599930.36565,-28,-33,27
15.3705549240112,1631599930.3969,-27,-43,16
15.4018049240112,1631599930.42815,-24,-46,13
15.4330549240112,1631599930.4594,-24,-49,12
15.4643049240112,1631599930.49065,-20,-52,9
15.4955549240112,1631599930.5219,-20,-51,9
15.5268049240112,1631599930.55315,-22,-53,13
15.5580649375916,1631599930.58441,-20,-53,14
15.5893149375916,1631599930.61566,-19,-53,17
15.6205649375916,1631599930.64691,-21,-46,24
15.6518149375916,1631599930.67816,-21,-54,32
15.6830649375916,1631599930.70941,-22,-51,31
15.7143149375916,1631599930.74066,-28,-49,35
15.7455649375916,1631599930.77191,-21,-52,34
15.7768249511719,1631599930.80317,5,-43,47
15.8080749511719,1631599930.83442,12,-37,53
15.8393249511719,1631599930.86567,-4,-39,58
15.9955849647522,1631599931.02193,-23,-43,42
16.0268349647522,1631599931.05318,-25,-47,33
16.0580849647522,1631599931.08443,-13,-42,46
16.0893349647522,1631599931.11568,-24,-43,36
16.1205849647522,1631599931.14693,-19,-50,26
16.1518349647522,1631599931.17818,-14,-47,30
16.1830949783325,1631599931.20944,-27,-46,31
16.2143449783325,1631599931.24069,-33,-46,26
16.2455949783325,1631599931.27194,-20,-48,26
16.2768449783325,1631599931.30319,-17,-45,28
16.3080949783325,1631599931.33444,-27,-47,14
16.3393449783325,1631599931.36569,-25,-52,10
16.3705949783325,1631599931.39694,-8,-53,5
16.4018549919128,1631599931.4282,0,-42,2
16.4331049919128,1631599931.45945,-25,-59,-25
16.4643549919128,1631599931.4907,-10,-55,-17
16.4956049919128,1631599931.52195,-22,-56,-31
16.5268549919128,1631599931.5532,-20,-52,-35
16.5581049919128,1631599931.58445,-28,-49,-41
16.5893549919128,1631599931.6157,-27,-50,-39
16.6206150054932,1631599931.64696,-18,-54,-42
16.6518650054932,1631599931.67821,-11,-53,-40
16.6831150054932,1631599931.70946,-8,-53,-38
16.7143650054932,1631599931.74071,-3,-52,-40
16.7456150054932,1631599931.77196,-1,-54,-45
16.7768650054932,1631599931.80321,-13,-49,-45
16.9331250190735,1631599931.95947,10,-51,-37
16.9643750190735,1631599931.99072,5,-53,-41
16.9956250190735,1631599932.02197,2,-51,-41
17.0268750190735,1631599932.05322,2,-48,-35
17.0581350326538,1631599932.08448,3,-49,-40
17.0893850326538,1631599932.11573,0,-50,-40
17.1206350326538,1631599932.14698,0,-51,-38
17.1518850326538,1631599932.17823,2,-51,-41
17.1831350326538,1631599932.20948,4,-48,-40
17.2143850326538,1631599932.24073,7,-56,-44
17.2456350326538,1631599932.27198,6,-50,-38
17.2768950462341,1631599932.30324,11,-51,-34
17.3081450462341,1631599932.33449,15,-50,-28
17.3393950462341,1631599932.36574,13,-48,-32
17.3706450462341,1631599932.39699,3,-50,-37
17.4018950462341,1631599932.42824,3,-50,-32
17.4331450462341,1631599932.45949,0,-51,-39
17.4643950462341,1631599932.49074,1,-49,-33
17.4956550598145,1631599932.522,7,-50,-38
17.5269050598145,1631599932.55325,9,-50,-39
17.5581550598145,1631599932.5845,6,-48,-40
17.5894050598145,1631599932.61575,8,-53,-41
17.6206550598145,1631599932.647,-1,-51,-40
17.6519050598145,1631599932.67825,-1,-49,-41
17.6831550598145,1631599932.7095,-5,-47,-46
17.7144150733948,1631599932.74076,-4,-49,-40
17.7456650733948,1631599932.77201,2,-49,-44
17.7769150733948,1631599932.80326,4,-46,-43
17.8081650733948,1631599932.83451,9,-49,-43
17.8394150733948,1631599932.86576,15,-50,-46
17.8706650733948,1631599932.89701,1,-46,-44
17.9019150733948,1631599932.92826,-6,-49,-45
18.0581750869751,1631599933.08452,1,-44,-39
18.0894250869751,1631599933.11577,-3,-45,-41
18.1206851005554,1631599933.14703,2,-47,-41
18.1519351005554,1631599933.17828,3,-51,-45
18.1831851005554,1631599933.20953,-12,-42,-47
18.2144351005554,1631599933.24078,0,-51,-35
18.2456851005554,1631599933.27203,10,-44,-45
18.2769351005554,1631599933.30328,24,-50,-43
18.4331948757172,1631599933.45954,1,-48,-35
18.4644448757172,1631599933.49079,5,-47,-39
18.4956948757172,1631599933.52204,2,-46,-44
18.5269448757172,1631599933.55329,12,-51,-35
18.5582048892975,1631599933.58455,13,-49,-34
18.5894548892975,1631599933.6158,7,-51,-39
18.6207048892975,1631599933.64705,11,-50,-35
18.6519548892975,1631599933.6783,7,-48,-34
18.6832048892975,1631599933.70955,8,-50,-37
18.7144548892975,1631599933.7408,11,-50,-38
18.7457048892975,1631599933.77205,9,-50,-40
18.7769649028778,1631599933.80331,8,-49,-35
18.8082149028778,1631599933.83456,5,-49,-37
18.8394649028778,1631599933.86581,13,-51,-33
18.9644649028778,1631599933.99081,7,-48,-37
18.9957249164581,1631599934.02207,10,-49,-35
19.0269749164581,1631599934.05332,9,-51,-36
19.1832249164581,1631599934.20957,11,-52,-38
19.2144849300385,1631599934.24083,12,-51,-38
19.2457349300385,1631599934.27208,10,-51,-40
19.2769849300385,1631599934.30333,9,-50,-39
19.3082349300385,1631599934.33458,7,-48,-35
19.3394849300385,1631599934.36583,5,-48,-36
19.3707349300385,1631599934.39708,11,-49,-35
19.4019849300385,1631599934.42833,8,-50,-33
19.4332449436188,1631599934.45959,10,-50,-42
19.4644949436188,1631599934.49084,13,-50,-39
19.4957449436188,1631599934.52209,10,-51,-39
19.5269949436188,1631599934.55334,11,-48,-41
19.5582449436188,1631599934.58459,11,-51,-40
19.5894949436188,1631599934.61584,9,-49,-39
19.6207449436188,1631599934.64709,9,-50,-40
19.6520049571991,1631599934.67835,11,-49,-35
19.6832549571991,1631599934.7096,11,-49,-34
19.7145049571991,1631599934.74085,6,-46,-40
19.7457549571991,1631599934.7721,11,-48,-39
19.7770049571991,1631599934.80335,-1,-94,-60
19.8082549571991,1631599934.8346,14,-13,-35
19.8395049571991,1631599934.86585,16,-47,-15
19.8707649707794,1631599934.89711,-14,-38,-38
19.9020149707794,1631599934.92836,2,-56,-65
19.9332649707794,1631599934.95961,12,-45,-48
19.9645149707794,1631599934.99086,15,-46,-30
19.9957649707794,1631599935.02211,13,-47,-40
20.0270149707794,1631599935.05336,13,-45,-34
20.0582649707794,1631599935.08461,9,-46,-35
20.0895249843597,1631599935.11587,4,-48,-44
20.1207749843597,1631599935.14712,5,-49,-43
20.1520249843597,1631599935.17837,7,-49,-47
20.1832749843597,1631599935.20962,10,-47,-42
20.2145249843597,1631599935.24087,10,-47,-39
20.2457749843597,1631599935.27212,12,-47,-39
20.2770249843597,1631599935.30337,14,-43,-35
20.3082849979401,1631599935.33463,8,-50,-42
20.3395349979401,1631599935.36588,8,-45,-43
20.3707849979401,1631599935.39713,9,-46,-45
20.4020349979401,1631599935.42838,11,-47,-48
20.4332849979401,1631599935.45963,8,-53,-42
20.4645349979401,1631599935.49088,13,-45,-39
20.4957950115204,1631599935.52214,9,-45,-42
20.5270450115204,1631599935.55339,8,-49,-41
20.5582950115204,1631599935.58464,5,-45,-44
20.5895450115204,1631599935.61589,8,-45,-44
20.6207950115204,1631599935.64714,9,-48,-45
20.6520450115204,1631599935.67839,9,-46,-40
20.6832950115204,1631599935.70964,11,-51,-43
20.7145550251007,1631599935.7409,8,-44,-41
20.7458050251007,1631599935.77215,5,-44,-45
20.7770550251007,1631599935.8034,7,-46,-49
20.8083050251007,1631599935.83465,8,-42,-44
20.8395550251007,1631599935.8659,8,-44,-47
