Time,Performance
55.99732,-1
56.16328,-1
56.36686,-1
56.52815,-1
56.72456,-1
56.87987,-1
57.11336,-1
57.28426,-1
57.4912,-1
57.68888,-1
57.88309,-1
58.06794,-1
58.27242,-1
58.46861,-1
58.66969,-1
58.85128,-1
59.05463,-1
59.25222,-1
59.45726,-1
59.66834,-1
59.87455,-1
60.07548,-1
60.28381,-1
60.48663,-1
60.68682,-1
60.8945,-1
61.10387,-1
61.30628,-1
61.50539,-1
61.70851,-1
61.91691,-1
62.12387,-1
62.3349,-1
62.53931,-1
62.74629,-1
62.94881,-1
63.15825,-1
63.36416,-1
63.57258,-1
63.7749,-1
63.98436,-1
64.1992,-1
64.4068,-1
64.60988,-1
64.81148,-1
65.01902,-1
65.22238,-1
65.42667,-1
65.63416,-1
65.8397,-1
66.04485,-1
66.25237,-1
66.46149,-1
66.67161,-1
66.92068,-1
67.13167,-1
67.34026,-1
67.54994,-1
67.7604,-1
67.97885,-1
68.19418,-1
68.40603,-1
68.61257,-1
68.82129,-1
69.03197,-1
69.24281,-1
69.45337,-1
69.66717,-1
69.88109,-1
70.09539,-1
70.31307,-1
70.52612,-1
70.73711,-1
70.9551,-1
71.16987,-1
71.38229,-1
71.60284,-1
71.82032,-1
72.03741,-1
72.25341,-1
72.4735,-1
72.68965,-1
72.90574,-1
73.1218,-1
73.3387,-1
73.55234,-1
73.77325,-1
73.98832,-1
74.20623,-1
74.42155,-1
74.64233,-1
74.86224,-1
75.08537,-1
75.30739,-1
75.55433,-1
75.78623,-1
76.02452,-1
76.26163,-1
76.50114,-1
76.73803,-1
76.97066,-1
77.23977,-1
77.47952,-1
77.71774,-1
77.94427,-1
78.1861,-1
78.41913,-1
78.65029,-1
78.87754,-1
79.11985,-1
79.36443,-1
79.61404,-1
79.85478,-1
80.09579,-1
80.33646,-1
80.57775,-1
80.82128,-1
81.05762,-1
81.30386,-1
81.54732,-1
81.8026,-1
82.04884,-1
82.28623,-1
82.5252,-1
82.77273,-1
83.01714,-1
83.25442,-1
83.5035,-1
83.7457,-1
83.99559,-1
84.24777,-1
84.49763,-1
84.74072,-1
84.98735,-1
85.23773,-1
85.48912,-1
85.74129,-1
85.99451,-1
86.24493,-1
86.49497,-1
86.74023,-1
86.97836,-1
87.21937,-1
87.46085,-1
87.73934,-1
87.97924,-1
88.22006,-1
88.46753,-1
88.70581,-1
88.94709,-1
89.18848,-1
89.42973,-1
89.67484,-1
89.91869,-1
90.16499,-1
90.40781,-1
90.64866,-1
90.89391,-1
91.13798,-1
91.38574,-1
91.63506,-1
91.88465,-1
