Time,UnixTime,Acc_X,Acc_Y,Acc_Z
0.346476793289185,1631600390.29319,9,9,49
0.377726793289185,1631600390.32444,20,8,45
0.408976793289185,1631600390.35569,44,9,32
0.440226793289185,1631600390.38694,59,3,35
0.471486806869507,1631600390.4182,56,-6,29
0.502736806869507,1631600390.44945,48,-2,27
0.658986806869507,1631600390.6057,25,15,36
0.690246820449829,1631600390.63696,21,23,32
0.721496820449829,1631600390.66821,21,28,26
0.752746820449829,1631600390.69946,26,31,31
0.783996820449829,1631600390.73071,31,32,35
0.815246820449829,1631600390.76196,49,36,42
0.846496820449829,1631600390.79321,60,33,47
0.877746820449829,1631600390.82446,71,23,67
1.03400683403015,1631600390.98072,34,55,36
1.06525683403015,1631600391.01197,51,53,37
1.22151684761047,1631600391.16823,49,40,33
1.25276684761047,1631600391.19948,15,39,28
1.28401684761047,1631600391.23073,0,35,18
1.31526684761047,1631600391.26198,-15,35,16
1.3465268611908,1631600391.29324,0,38,17
1.3777768611908,1631600391.32449,30,35,23
1.4090268611908,1631600391.35574,32,41,17
1.4402768611908,1631600391.38699,32,45,19
1.59653687477112,1631600391.54325,30,60,18
1.62778687477112,1631600391.5745,31,60,17
1.78404688835144,1631600391.73076,32,58,7
1.81529688835144,1631600391.76201,34,50,4
1.97154688835144,1631600391.91826,32,42,33
2.00280690193176,1631600391.94952,26,48,35
2.12780690193176,1631600392.07452,32,44,19
2.15905690193176,1631600392.10577,35,43,21
2.19030690193176,1631600392.13702,24,42,18
2.22156667709351,1631600392.16828,16,41,12
2.25281667709351,1631600392.19953,8,36,11
2.28406667709351,1631600392.23078,5,33,19
2.31531667709351,1631600392.26203,0,35,35
2.34656667709351,1631600392.29328,-2,32,41
2.37781667709351,1631600392.32453,-7,27,65
2.40906667709351,1631600392.35578,-5,26,76
2.44032669067383,1631600392.38704,5,22,85
2.47157669067383,1631600392.41829,8,19,91
2.50282669067383,1631600392.44954,4,26,79
2.53407669067383,1631600392.48079,3,30,73
2.56532669067383,1631600392.51204,2,33,71
2.59657669067383,1631600392.54329,1,33,59
2.62783670425415,1631600392.57455,-2,32,51
2.65908670425415,1631600392.6058,-4,31,47
2.69033670425415,1631600392.63705,-7,26,42
