Time,UnixTime,Hr
17.9815468788147,1631600407.92826,95.99557
18.6221966743469,1631600408.56891,93.65421
32.9978668689728,1631600422.94458,103.779
33.5760169029236,1631600423.52273,103.779
34.1854166984558,1631600424.13213,98.45695
290.072266817093,1631600680.01898,137.1365
290.634796857834,1631600680.58151,106.6617
291.197316884995,1631600681.14403,106.6617
329.667856693268,1631600719.61457,112.936
390.530046701431,1631600780.47676,142.2156
390.983196735382,1631600780.92991,132.4077
391.420716762543,1631600781.36743,137.1365
391.920736789703,1631600781.86745,119.9945
392.420756816864,1631600782.36747,119.9945
392.795776844025,1631600782.74249,159.9926
