Time,Performance
14.4889,-1
14.5671,-1
14.6736,-1
14.77261,-1
14.87913,-1
14.98459,-1
15.09284,-1
15.2019,-1
15.31234,-1
15.42516,-1
15.53341,-1
15.64121,-1
15.74923,-1
15.85929,-1
15.96721,-1
16.07701,-1
16.18865,-1
16.29811,-1
16.40615,-1
16.51603,-1
16.62371,-1
16.73336,-1
16.84276,-1
16.95143,-1
17.06207,-1
17.17142,-1
17.2845,-1
17.40084,-1
17.51161,-1
17.6234,-1
17.73344,-1
17.84353,-1
17.95494,-1
18.06623,-1
18.1792,-1
18.30786,-1
18.41981,-1
18.53299,-1
18.64616,-1
18.75892,-1
18.87285,-1
18.98743,-1
19.10035,-1
19.21242,-1
19.32869,-1
19.44511,-1
19.55876,-1
19.67486,-1
19.7907,-1
19.90545,-1
20.01999,-1
20.13976,-1
20.25919,-1
20.37997,-1
20.50001,-1
20.62166,-1
20.74113,-1
20.86109,-1
20.97641,-1
21.09224,-1
21.21068,-1
21.32742,-1
21.44544,-1
21.56247,-1
21.68207,-1
21.79994,-1
21.91552,-1
22.03232,-1
22.15083,-1
22.27045,-1
22.38694,-1
22.50571,-1
22.62516,-1
22.74365,-1
22.86062,-1
22.98044,-1
23.10226,-1
23.22167,-1
23.34262,-1
23.46479,-1
23.58727,-1
23.70745,-1
23.82705,-1
23.94931,-1
24.07243,-1
24.19379,-1
24.33508,-1
24.45704,-1
24.57949,-1
24.70081,-1
24.82274,-1
24.94679,-1
25.07015,-1
25.19176,-1
25.31476,-1
25.44173,-1
25.56625,-1
25.6908,-1
25.81448,-1
25.94044,-1
26.06832,-1
26.1951,-1
26.32101,-1
26.44936,-1
26.57957,-1
26.70557,-1
26.83071,-1
26.95797,-1
27.0864,-1
27.21413,-1
27.34125,-1
27.47233,-1
27.60087,-1
27.72903,-1
27.85518,-1
27.98273,-1
28.1118,-1
28.24117,-1
28.36853,-1
28.49823,-1
28.62686,-1
28.75716,-1
28.88576,-1
29.01529,-1
29.14872,-1
29.28019,-1
29.41116,-1
29.54163,-1
29.67465,-1
29.80674,-1
29.93781,-1
30.07066,-1
30.20314,-1
30.33713,-1
30.47441,-1
30.60798,-1
30.76551,-1
30.9006,-1
31.03319,-1
31.17232,-1
31.31021,-1
31.44979,-1
31.58661,-1
31.72255,-1
31.86528,-1
32.00274,-1
32.14346,-1
32.28481,-1
32.42449,-1
32.56504,-1
32.69957,-1
32.83993,-1
32.98122,-1
33.11852,-1
33.25679,-1
33.39474,-1
33.54812,-1
33.69323,-1
33.83463,-1
33.97841,-1
34.12637,-1
34.26748,-1
34.41142,-1
34.55449,-1
34.69984,-1
34.84339,-1
34.98936,-1
35.14047,-1
35.2853,-1
35.4378,-1
35.58973,-1
35.73856,-1
35.88319,-1
36.0293,-1
36.17769,-1
