Time,Performance
11.31207,-1
11.38824,-1
11.44508,-1
11.53509,-1
11.63411,-1
11.73789,-1
11.84766,-1
11.94821,-1
12.05423,-1
12.15474,-1
12.25138,-1
12.3539,-1
12.45387,-1
12.55498,-1
12.65583,-1
12.75581,-1
12.85571,-1
12.95554,-1
13.05603,-1
13.15836,-1
13.25859,-1
13.36128,-1
13.46152,-1
13.5627,-1
13.66554,-1
13.76753,-1
13.8516,-1
13.95135,-1
14.05408,-1
14.15627,-1
14.25609,-1
14.35963,-1
14.46286,-1
14.56806,-1
14.67359,-1
14.77553,-1
14.87757,-1
14.97855,-1
15.06961,-1
15.19523,-1
15.29895,-1
15.40827,-1
15.51359,-1
15.61674,-1
15.71931,-1
15.82069,-1
15.92362,-1
16.026,-1
16.12859,-1
16.23269,-1
16.33573,-1
16.44111,-1
16.54568,-1
16.64904,-1
16.75548,-1
16.86021,-1
16.96582,-1
17.072,-1
17.17937,-1
17.28483,-1
17.38913,-1
17.4936,-1
17.59821,-1
17.70405,-1
17.81259,-1
17.92052,-1
18.02852,-1
18.13734,-1
18.24748,-1
18.35677,-1
18.46373,-1
18.57224,-1
18.68016,-1
18.78774,-1
18.89607,-1
19.00349,-1
19.11324,-1
19.24202,-1
19.34968,-1
19.45787,-1
19.56415,-1
19.67325,-1
19.78173,-1
19.89033,-1
20.00068,-1
20.10984,-1
20.22038,-1
20.32963,-1
20.43968,-1
20.55033,-1
20.65959,-1
20.77185,-1
20.88287,-1
20.99381,-1
21.1081,-1
21.22096,-1
21.33186,-1
21.44602,-1
21.55989,-1
21.67138,-1
21.78579,-1
21.89871,-1
22.01094,-1
22.12699,-1
22.24132,-1
22.35399,-1
22.46895,-1
22.58353,-1
22.6982,-1
22.81223,-1
22.92644,-1
23.04224,-1
23.16184,-1
23.27663,-1
23.39169,-1
23.50884,-1
23.64176,-1
23.75689,-1
23.8744,-1
23.99221,-1
24.11049,-1
24.22976,-1
24.34794,-1
24.46544,-1
24.58152,-1
24.69984,-1
24.81744,-1
24.93657,-1
25.05519,-1
25.17397,-1
25.29213,-1
25.41235,-1
25.53026,-1
25.64837,-1
25.76722,-1
25.88927,-1
26.00996,-1
26.12996,-1
26.24941,-1
26.37092,-1
26.4922,-1
26.6122,-1
26.734,-1
26.85682,-1
26.97837,-1
27.09882,-1
27.22503,-1
27.35233,-1
27.47884,-1
27.60252,-1
27.73138,-1
27.85544,-1
27.9831,-1
28.1322,-1
28.25717,-1
28.38826,-1
28.51386,-1
28.6424,-1
28.7726,-1
28.89953,-1
29.02893,-1
29.15621,-1
29.28968,-1
29.42358,-1
29.55139,-1
29.68271,-1
29.81459,-1
29.94934,-1
30.08174,-1
30.21475,-1
30.35897,-1
30.49269,-1
30.62708,-1
30.76043,-1
30.89337,-1
31.03257,-1
31.17335,-1
31.30805,-1
31.4466,-1
31.58091,-1
31.71723,-1
31.84978,-1
31.98858,-1
32.13051,-1
32.26592,-1
32.40268,-1
32.53869,-1
32.67933,-1
32.83752,-1
32.97265,-1
33.11583,-1
33.25973,-1
33.39672,-1
33.53434,-1
33.67086,-1
33.8153,-1
33.95551,-1
34.0913,-1
34.23201,-1
34.37201,-1
34.51421,-1
34.65434,-1
34.79396,-1
34.93859,-1
35.07686,-1
35.22065,-1
35.36556,-1
35.50751,-1
35.65144,-1
35.79052,-1
35.93513,-1
36.08003,-1
36.21891,-1
36.36222,-1
36.50425,-1
36.64912,-1
36.7943,-1
36.93544,-1
37.08158,-1
37.22882,-1
37.37572,-1
37.52061,-1
37.66253,-1
37.82857,-1
37.9759,-1
38.11786,-1
38.26472,-1
38.40807,-1
38.55611,-1
38.7085,-1
38.86196,-1
39.02253,-1
39.18447,-1
39.34379,-1
39.49521,-1
39.65816,-1
39.81824,-1
39.9716,-1
40.1242,-1
40.28698,-1
40.447,-1
40.60272,-1
40.75304,-1
40.9151,-1
41.07131,-1
41.23705,-1
41.39025,-1
41.55643,-1
41.72071,-1
41.88427,-1
42.03485,-1
42.19334,-1
42.34824,-1
42.50084,-1
42.64728,-1
42.80135,-1
42.95322,-1
43.10716,-1
43.29733,-1
43.45107,-1
43.60475,-1
43.75908,-1
43.91141,-1
44.06696,-1
44.22186,-1
44.37632,-1
44.52939,-1
44.68647,-1
44.84395,-1
45.00041,-1
45.15284,-1
45.3114,-1
45.46773,-1
45.62519,-1
45.78041,-1
45.93931,-1
46.09873,-1
46.25674,-1
46.41431,-1
46.57719,-1
46.73856,-1
46.90065,-1
47.06072,-1
47.22569,-1
47.39088,-1
47.55366,-1
47.71369,-1
47.87642,-1
48.03992,-1
48.20366,-1
48.36119,-1
48.5255,-1
48.68934,-1
48.8802,-1
49.0383,-1
49.20413,-1
49.36852,-1
49.534,-1
49.69268,-1
49.85811,-1
50.02455,-1
50.19004,-1
50.3531,-1
50.52644,-1
50.6968,-1
50.86272,-1
51.02447,-1
51.19241,-1
51.36165,-1
51.52925,-1
51.69453,-1
51.85923,-1
52.03469,-1
52.21643,-1
52.39202,-1
52.57366,-1
52.75575,-1
52.94015,-1
53.11728,-1
53.30585,1
53.48997,1
53.66673,1
53.84613,1
54.03047,1
54.2191,1
54.39929,1
54.58047,1
54.78318,1
54.96181,1
55.14172,1
55.32563,1
55.51292,1
55.69517,1
55.87875,1
56.05774,1
56.23817,1
56.42099,1
56.60074,1
56.78406,1
56.96177,1
57.14266,1
57.3299,1
57.51296,1
57.69186,1
57.87445,1
58.0573,1
58.24118,1
58.42755,1
58.61751,1
58.80881,1
59.00019,1
59.19069,1
59.3839,1
59.57494,1
