Time,Performance
11.20873,-1
11.26762,-1
11.35598,-1
11.45305,-1
11.55267,-1
11.65484,-1
11.75629,-1
11.86744,-1
11.96259,-1
12.05734,-1
12.15423,-1
12.24913,-1
12.3464,-1
12.44323,-1
12.54026,-1
12.62163,-1
12.71755,-1
12.81549,-1
12.91293,-1
13.0119,-1
13.10887,-1
13.1894,-1
13.28717,-1
13.38412,-1
13.48237,-1
13.5814,-1
13.68134,-1
13.78105,-1
13.87921,-1
13.97829,-1
14.07717,-1
14.17631,-1
14.27583,-1
14.35851,-1
14.45699,-1
14.55529,-1
14.65526,-1
14.75493,-1
14.85534,-1
14.9562,-1
15.05727,-1
15.15829,-1
15.25841,-1
15.36372,-1
15.46569,-1
15.56755,-1
15.68517,-1
15.78774,-1
15.8896,-1
15.99365,-1
16.09731,-1
16.20159,-1
16.30593,-1
16.41111,-1
16.51631,-1
16.61968,-1
16.72239,-1
16.82715,-1
16.93044,-1
17.03435,-1
17.13776,-1
17.24313,-1
17.35144,-1
17.45535,-1
17.56083,-1
17.66558,-1
17.77061,-1
17.87687,-1
17.98404,-1
18.09089,-1
18.19644,-1
18.30335,-1
18.41025,-1
18.51809,-1
18.62678,-1
18.73384,-1
18.84146,-1
18.9486,-1
19.05589,-1
19.1649,-1
19.27408,-1
19.38392,-1
19.49236,-1
19.60101,-1
19.72595,-1
19.83612,-1
19.94444,-1
20.05476,-1
20.16437,-1
20.27417,-1
20.38426,-1
20.49391,-1
20.60611,-1
20.71761,-1
20.82733,-1
20.93925,-1
21.05054,-1
21.16125,-1
21.27504,-1
21.3877,-1
21.49837,-1
21.61166,-1
21.72453,-1
21.84271,-1
21.95828,-1
22.07652,-1
22.19783,-1
22.31193,-1
22.42678,-1
22.54091,-1
22.65393,-1
22.76829,-1
22.88156,-1
22.99748,-1
23.11158,-1
23.22562,-1
23.34225,-1
23.45842,-1
23.57416,-1
23.68828,-1
23.80453,-1
23.92114,-1
24.03774,-1
24.17276,-1
24.2905,-1
24.4088,-1
24.52534,-1
24.64193,-1
24.75868,-1
24.87757,-1
24.99636,-1
25.1139,-1
25.23229,-1
25.3535,-1
25.4716,-1
25.5887,-1
25.70765,-1
25.82726,-1
25.94867,-1
26.06866,-1
26.18918,-1
26.3101,-1
26.43348,-1
26.55371,-1
26.67523,-1
26.79737,-1
26.92301,-1
27.05005,-1
27.17387,-1
27.30518,-1
27.42997,-1
27.55908,-1
27.68993,-1
27.81721,-1
27.94728,-1
28.07347,-1
28.20359,-1
28.33442,-1
28.46097,-1
28.608,-1
28.73346,-1
28.86398,-1
28.99405,-1
29.11785,-1
29.24818,-1
29.37718,-1
29.50831,-1
29.63866,-1
29.7657,-1
29.90304,-1
30.03452,-1
30.17365,-1
30.30636,-1
30.4391,-1
30.57371,-1
30.70448,-1
30.84116,-1
30.98248,-1
31.116,-1
31.25363,-1
31.38758,-1
31.52751,-1
31.66649,-1
31.79702,-1
31.93453,-1
32.07009,-1
32.21096,-1
32.34713,-1
32.48092,-1
32.62152,-1
32.75699,-1
32.89602,-1
33.03768,-1
33.17376,-1
33.33592,-1
33.47655,-1
33.61405,-1
33.75713,-1
33.89391,-1
34.04128,-1
34.18246,-1
34.32101,-1
34.46207,-1
34.59959,-1
34.74222,-1
34.88523,-1
35.023,-1
35.16582,-1
35.30631,-1
35.45148,-1
35.59367,-1
35.73226,-1
35.88425,-1
36.04029,-1
36.18395,-1
36.33699,-1
36.49127,-1
36.63669,-1
36.78377,-1
36.93394,-1
37.08237,-1
37.24024,-1
37.39369,-1
37.53587,-1
37.69002,-1
37.84682,-1
38.00016,-1
38.14236,-1
38.28785,-1
38.45179,-1
38.6016,-1
38.74953,-1
38.89137,-1
39.03925,-1
39.18627,-1
39.34061,-1
39.49236,-1
39.64046,-1
39.79138,-1
39.94156,-1
40.08511,-1
40.23585,-1
40.38629,-1
40.53694,-1
40.68863,-1
40.84194,-1
40.98804,-1
41.13932,-1
41.29223,-1
41.44013,-1
41.59147,-1
41.74487,-1
41.89435,-1
42.04926,-1
42.20372,-1
42.35793,-1
42.5097,-1
42.66708,-1
42.8277,-1
42.98664,-1
43.14286,-1
43.3009,-1
43.46342,-1
43.6307,-1
43.81829,-1
43.98946,-1
44.16229,-1
44.33407,-1
44.50095,-1
44.67269,-1
44.84325,-1
45.01664,-1
45.18441,-1
45.35565,-1
45.53263,-1
45.71692,0
45.88165,0
46.0491,0
46.21853,0
46.39135,0
46.55946,0
46.73405,0
