Time,UnixTime,Acc_X,Acc_Y,Acc_Z
2.96369361877441,1631604271.53538,15,-62,1
2.99494361877441,1631604271.56663,15,-59,1
3.02619361877441,1631604271.59788,15,-58,2
3.05744361877441,1631604271.62913,18,-56,3
3.08869361877441,1631604271.66038,18,-53,4
3.11995363235474,1631604271.69164,18,-50,5
3.15120363235474,1631604271.72289,17,-58,4
3.18245363235474,1631604271.75414,14,-66,0
3.21370363235474,1631604271.78539,7,-78,-7
3.24495363235474,1631604271.81664,7,-78,-8
3.27620363235474,1631604271.84789,11,-67,-3
3.30745363235474,1631604271.87914,15,-63,0
3.33871364593506,1631604271.9104,19,-60,1
3.36996364593506,1631604271.94165,20,-60,0
3.40121364593506,1631604271.9729,18,-61,-2
3.43246364593506,1631604272.00415,16,-61,-3
3.46371364593506,1631604272.0354,11,-66,-4
3.49496364593506,1631604272.06665,11,-67,-4
3.52621364593506,1631604272.0979,13,-62,-2
3.55747365951538,1631604272.12916,16,-60,0
3.58872365951538,1631604272.16041,17,-60,2
3.61997365951538,1631604272.19166,16,-60,1
3.65122365951538,1631604272.22291,13,-58,0
3.68247365951538,1631604272.25416,12,-59,1
3.8387336730957,1631604272.41042,15,-62,2
3.8699836730957,1631604272.44167,15,-60,2
3.99499368667603,1631604272.56668,18,-63,3
4.02624368667603,1631604272.59793,17,-62,3
4.05749368667603,1631604272.62918,18,-61,4
4.21375370025635,1631604272.78544,16,-61,3
4.24500370025635,1631604272.81669,16,-60,3
4.27625370025635,1631604272.84794,16,-61,3
4.30750370025635,1631604272.87919,15,-60,3
4.33875370025635,1631604272.91044,15,-60,3
4.37000370025635,1631604272.94169,14,-62,2
4.40126371383667,1631604272.97295,14,-62,2
4.43251371383667,1631604273.0042,15,-62,2
4.46376371383667,1631604273.03545,14,-61,2
4.49501371383667,1631604273.0667,14,-61,2
4.52626371383667,1631604273.09795,14,-61,2
4.55751371383667,1631604273.1292,14,-61,1
4.58876371383667,1631604273.16045,14,-60,2
4.62002372741699,1631604273.19171,14,-60,2
4.65127372741699,1631604273.22296,15,-60,1
4.68252372741699,1631604273.25421,15,-59,2
4.71377372741699,1631604273.28546,15,-59,2
4.74502372741699,1631604273.31671,15,-60,1
4.77627372741699,1631604273.34796,15,-61,1
4.80752372741699,1631604273.37921,15,-61,1
4.93253374099731,1631604273.50422,16,-61,1
4.96378374099731,1631604273.53547,15,-61,1
4.99503374099731,1631604273.56672,16,-61,1
5.12004375457764,1631604273.69173,16,-62,2
5.15129375457764,1631604273.72298,15,-62,2
5.18254375457764,1631604273.75423,15,-61,2
5.21379375457764,1631604273.78548,15,-61,3
5.24504375457764,1631604273.81673,14,-62,2
5.27630376815796,1631604273.84799,14,-62,2
5.30755376815796,1631604273.87924,14,-62,2
5.33880376815796,1631604273.91049,13,-62,1
5.37005376815796,1631604273.94174,15,-62,1
5.52631378173828,1631604274.098,15,-60,1
5.55756378173828,1631604274.12925,15,-60,1
5.7138237953186,1631604274.28551,15,-62,1
5.7450737953186,1631604274.31676,15,-62,1
5.9013237953186,1631604274.47301,16,-61,2
5.93258380889893,1631604274.50427,16,-61,2
6.08883380889893,1631604274.66052,15,-60,1
6.12008380889893,1631604274.69177,15,-61,1
6.15134382247925,1631604274.72303,15,-61,1
6.18259382247925,1631604274.75428,15,-61,1
6.21384382247925,1631604274.78553,14,-61,1
6.24509382247925,1631604274.81678,14,-61,1
6.27634382247925,1631604274.84803,15,-62,2
6.30759382247925,1631604274.87928,15,-61,2
6.46385383605957,1631604275.03554,15,-61,3
6.49510383605957,1631604275.06679,15,-61,2
6.52635383605957,1631604275.09804,15,-61,2
6.55761384963989,1631604275.1293,15,-61,2
6.58886384963989,1631604275.16055,15,-61,1
6.62011384963989,1631604275.1918,15,-61,1
6.65136384963989,1631604275.22305,15,-61,1
6.68261384963989,1631604275.2543,15,-61,1
6.83887362480164,1631604275.41056,16,-60,1
6.87012362480164,1631604275.44181,17,-59,2
6.90137362480164,1631604275.47306,17,-59,3
6.93262362480164,1631604275.50431,16,-54,4
6.96387362480164,1631604275.53556,15,-55,2
6.99513363838196,1631604275.56682,13,-68,-1
7.02638363838196,1631604275.59807,11,-71,-5
7.05763363838196,1631604275.62932,12,-66,-3
7.21389365196228,1631604275.78558,12,-62,-3
7.24514365196228,1631604275.81683,13,-62,-2
7.40139365196228,1631604275.97308,14,-59,2
7.4326536655426,1631604276.00434,15,-58,3
7.4639036655426,1631604276.03559,16,-58,4
7.4951536655426,1631604276.06684,16,-58,4
7.5264036655426,1631604276.09809,14,-59,2
7.5576536655426,1631604276.12934,12,-62,0
7.5889036655426,1631604276.16059,9,-72,-6
7.6201536655426,1631604276.19184,8,-71,-8
7.65141367912292,1631604276.2231,10,-62,-5
7.68266367912292,1631604276.25435,16,-56,5
7.71391367912292,1631604276.2856,18,-53,8
7.74516367912292,1631604276.31685,17,-57,8
7.77641367912292,1631604276.3481,14,-59,5
7.80766367912292,1631604276.37935,9,-63,5
7.83891367912292,1631604276.4106,10,-62,6
7.87017369270325,1631604276.44186,13,-59,5
7.90142369270325,1631604276.47311,15,-58,4
7.93267369270325,1631604276.50436,17,-58,3
7.96392369270325,1631604276.53561,17,-59,2
7.99517369270325,1631604276.56686,18,-61,0
8.02642369270325,1631604276.59811,19,-63,0
8.05767369270325,1631604276.62936,18,-64,-1
8.08893370628357,1631604276.66062,23,-65,1
8.12018370628357,1631604276.69187,22,-61,2
8.15143370628357,1631604276.72312,23,-61,3
8.18268370628357,1631604276.75437,19,-61,3
8.37019371986389,1631604276.94188,15,-66,5
8.52645373344421,1631604277.09814,16,-60,2
8.55770373344421,1631604277.12939,17,-60,2
8.68270373344421,1631604277.25439,13,-59,-1
8.71396374702454,1631604277.28565,15,-59,0
8.74521374702454,1631604277.3169,16,-60,0
8.87021374702454,1631604277.4419,15,-63,1
8.90146374702454,1631604277.47315,13,-63,1
8.93272376060486,1631604277.50441,12,-63,1
9.08897376060486,1631604277.66066,18,-65,5
9.12022376060486,1631604277.69191,13,-59,4
9.27648377418518,1631604277.84817,18,-63,3
9.30773377418518,1631604277.87942,17,-62,3
9.33898377418518,1631604277.91067,15,-60,2
9.3702437877655,1631604277.94193,12,-57,1
9.4014937877655,1631604277.97318,12,-57,1
9.4327437877655,1631604278.00443,12,-61,1
9.4639937877655,1631604278.03568,12,-62,1
9.4952437877655,1631604278.06693,13,-60,2
9.5264937877655,1631604278.09818,14,-58,3
9.5577437877655,1631604278.12943,14,-59,3
9.58900380134583,1631604278.16069,13,-62,2
9.62025380134583,1631604278.19194,13,-66,1
9.65150380134583,1631604278.22319,15,-59,4
9.68275380134583,1631604278.25444,16,-59,5
9.80776381492615,1631604278.37945,8,-70,-2
9.83901381492615,1631604278.4107,8,-69,-4
9.87026381492615,1631604278.44195,12,-64,-2
10.0265238285065,1631604278.59821,11,-57,3
10.0577738285065,1631604278.62946,10,-57,4
10.0890238285065,1631604278.66071,10,-60,8
