Time,Performance
11.55272,-1
11.60247,-1
11.65246,-1
11.70333,-1
11.75337,-1
11.80376,-1
11.87006,-1
11.9204,-1
11.97053,-1
12.02587,-1
12.07637,-1
12.12705,-1
12.17794,-1
12.22914,-1
12.28158,-1
12.33422,-1
12.3868,-1
12.43748,-1
12.48748,-1
12.53786,-1
12.58803,-1
12.6386,-1
12.6886,-1
12.74137,-1
12.79137,-1
12.84419,-1
12.89421,-1
12.94412,-1
12.99419,-1
13.04483,-1
13.09531,-1
13.14519,-1
13.19625,-1
13.24679,-1
13.29697,-1
13.34768,-1
13.39829,-1
13.44907,-1
13.49997,-1
13.55035,-1
13.60071,-1
13.65171,-1
13.70231,-1
13.75343,-1
13.80438,-1
13.85534,-1
13.90591,-1
13.9572,-1
14.02308,-1
14.07357,-1
14.12433,-1
14.1746,-1
14.2259,-1
14.27596,-1
14.32704,-1
14.37771,-1
14.42788,-1
14.47807,-1
14.52896,-1
14.57942,-1
14.63052,-1
14.68077,-1
14.73135,-1
14.78177,-1
14.83214,-1
14.88254,-1
14.93289,-1
14.98341,-1
15.03398,-1
15.08469,-1
15.13582,-1
15.18629,-1
15.23656,-1
15.2874,-1
15.33797,-1
15.38807,-1
15.43909,-1
15.48995,-1
15.54011,-1
15.59087,-1
15.6409,-1
15.69168,-1
15.74207,-1
15.79313,-1
15.84375,-1
15.89448,-1
15.94474,-1
15.99577,-1
16.04626,-1
16.09676,-1
16.14743,-1
16.21679,-1
16.26724,-1
16.31786,-1
16.36957,-1
16.42039,-1
16.47131,-1
16.52306,-1
16.57372,-1
16.62457,-1
16.6755,-1
16.72622,-1
16.77673,-1
16.82792,-1
16.87868,-1
16.92914,-1
16.9805,-1
17.03227,-1
17.08297,-1
17.13435,-1
17.18519,-1
17.23597,-1
17.28742,-1
17.33859,-1
17.38952,-1
17.44059,-1
17.49172,-1
17.54299,-1
17.59436,-1
17.64487,-1
17.69587,-1
17.74754,-1
17.79927,-1
17.85122,-1
17.90297,-1
17.9544,-1
18.00549,-1
18.06153,-1
18.11285,-1
18.16433,-1
18.21638,-1
18.26783,-1
18.31904,-1
18.39094,-1
18.44185,-1
18.49314,-1
18.54444,-1
18.59524,-1
18.6459,-1
18.69793,-1
18.74898,-1
18.80002,-1
18.85185,-1
18.90298,-1
18.95389,-1
19.00525,-1
19.05647,-1
19.10763,-1
19.1594,-1
19.21037,-1
19.26156,-1
19.31345,-1
19.3646,-1
19.41584,-1
19.46813,-1
19.51966,-1
19.5707,-1
19.62632,-1
19.67776,-1
19.72915,-1
19.78138,-1
19.83404,-1
19.88718,-1
19.93894,-1
19.99017,-1
20.04161,-1
20.09421,-1
20.14592,-1
20.19748,-1
20.24951,-1
20.301,-1
20.35282,-1
20.40583,-1
20.45733,-1
20.50886,-1
20.58052,-1
20.63226,-1
20.6842,-1
20.737,-1
20.78847,-1
20.83965,-1
20.89235,-1
20.94403,-1
20.99542,-1
21.04831,-1
21.1003,-1
21.15231,-1
21.20539,-1
21.25863,-1
21.31072,-1
21.36391,-1
21.41562,-1
21.46768,-1
21.52323,-1
21.57534,-1
21.62725,-1
21.68073,-1
21.73294,-1
21.78566,-1
21.84032,-1
21.89402,-1
21.94615,-1
21.99968,-1
22.05196,-1
22.10444,-1
22.15822,-1
22.21018,-1
22.26262,-1
22.31612,-1
22.36826,-1
22.42078,-1
22.47443,-1
22.52661,-1
22.57919,-1
22.63322,-1
22.6858,-1
22.73847,-1
22.81193,-1
22.8648,-1
22.91834,-1
22.97302,-1
23.0256,-1
23.07851,-1
23.13275,-1
23.18611,-1
23.23896,-1
23.29296,-1
23.34596,-1
23.39907,-1
23.45346,-1
23.50686,-1
23.56118,-1
23.61718,-1
23.67111,-1
23.72493,-1
23.78063,-1
23.8356,-1
23.89079,-1
23.94955,-1
24.00365,-1
24.05818,-1
24.114,-1
24.16865,-1
24.22258,-1
24.27856,-1
24.33207,-1
24.38598,-1
24.44131,-1
24.49492,-1
24.54867,-1
24.60365,-1
24.6576,-1
24.71181,-1
24.76783,-1
24.82199,-1
24.87811,-1
24.93413,-1
24.98846,-1
25.04285,-1
25.11862,-1
25.17328,-1
25.22771,-1
25.28363,-1
25.33807,-1
25.3925,-1
25.44826,-1
25.50282,-1
25.55706,-1
25.61299,-1
25.6688,-1
25.72404,-1
25.78044,-1
25.83657,-1
25.89269,-1
25.94803,-1
26.00327,-1
26.05869,-1
26.11427,-1
26.16916,-1
26.22779,-1
26.28263,-1
26.33819,-1
26.39384,-1
26.4492,-1
26.50413,-1
26.56031,-1
26.61688,-1
26.67243,-1
26.72881,-1
26.78463,-1
26.83982,-1
26.89621,-1
26.95221,-1
27.0079,-1
27.06365,-1
27.11989,-1
27.17544,-1
27.23263,-1
27.28835,-1
27.34388,-1
27.42831,-1
27.48471,-1
27.54092,-1
27.59703,-1
27.65305,-1
27.70936,-1
27.76611,-1
27.8225,-1
27.88172,-1
27.9427,-1
28.00078,-1
28.05864,-1
28.11831,-1
28.17622,-1
28.23477,-1
28.29284,-1
28.35067,-1
28.41058,-1
28.46935,-1
28.52771,-1
28.58731,-1
28.64619,-1
28.70599,-1
28.76465,-1
28.82427,-1
28.8856,-1
28.94466,-1
29.00401,-1
29.06359,-1
29.1223,-1
29.18153,-1
29.24059,-1
29.2994,-1
29.36105,-1
29.42145,-1
29.48206,-1
29.5503,-1
29.611,-1
29.67277,-1
29.734,-1
29.81915,-1
29.88099,-1
29.94203,-1
30.00349,-1
30.06366,-1
30.12372,-1
30.18503,-1
30.24438,-1
30.30415,-1
30.36477,-1
30.42442,-1
30.48458,-1
30.54451,-1
30.60428,-1
30.66606,-1
30.72624,-1
30.78626,-1
30.84657,-1
30.91009,-1
30.97233,-1
31.03856,-1
31.09985,-1
31.16314,-1
31.2243,-1
31.28582,-1
31.34741,-1
31.40809,-1
31.46932,-1
31.53071,-1
31.59241,-1
31.65656,-1
31.72126,-1
31.78469,-1
31.84859,-1
31.91203,-1
31.97709,-1
32.0393,-1
32.10126,-1
32.16624,-1
32.23003,-1
32.31742,-1
32.37907,-1
32.44104,-1
32.50422,-1
32.56532,-1
32.62801,-1
32.68966,-1
32.75172,-1
32.81593,-1
32.8782,-1
32.94058,-1
33.00401,-1
33.06612,-1
33.12898,-1
33.19133,-1
33.2534,-1
33.32719,-1
33.40081,-1
33.4689,-1
33.53196,-1
33.59541,-1
33.65828,-1
33.7208,-1
33.78575,-1
33.84894,-1
33.91449,-1
33.97784,-1
34.04152,-1
34.10772,-1
34.17166,-1
34.23642,-1
34.31758,-1
34.38449,-1
34.44947,-1
34.51381,-1
34.5801,-1
34.64492,-1
34.7104,-1
34.77496,-1
34.86396,-1
34.92811,-1
34.99232,-1
35.05769,-1
35.12199,-1
35.18924,-1
35.25427,-1
35.31932,-1
35.40106,-1
35.47475,-1
35.53951,-1
35.60463,-1
35.67035,-1
35.73561,-1
35.80289,-1
35.86944,-1
35.93636,-1
36.00021,-1
36.06445,-1
36.13092,-1
36.1961,-1
36.2739,-1
36.35065,-1
36.41856,-1
36.48357,-1
36.5494,-1
36.61437,-1
36.67947,-1
36.74598,-1
36.81175,-1
36.87989,-1
36.94542,-1
37.01167,-1
37.07746,-1
37.14394,-1
37.21208,-1
37.27814,-1
37.35747,-1
37.43557,-1
37.53205,-1
37.59895,-1
37.66611,-1
37.73233,-1
37.79912,-1
37.87197,-1
37.94085,-1
38.01014,-1
38.07668,-1
38.14478,-1
38.21161,-1
38.27818,-1
38.35874,-1
38.43615,-1
38.50759,-1
38.5749,-1
38.64362,-1
38.70956,-1
38.77752,-1
38.84462,-1
38.91234,-1
38.981,-1
39.04781,-1
39.11789,-1
39.18451,-1
39.25235,-1
39.31916,-1
39.38597,-1
39.46862,-1
39.54823,-1
39.62092,-1
39.68942,-1
39.76008,-1
39.8279,-1
39.89766,-1
39.96796,-1
40.03568,-1
40.10688,-1
40.17529,-1
40.27093,-1
40.3387,-1
40.40842,-1
40.49352,-1
40.57305,-1
40.64083,-1
40.709,-1
40.77775,-1
40.84607,-1
40.91709,-1
40.98669,-1
41.05708,-1
41.12635,-1
41.19547,-1
41.2655,-1
41.33443,-1
41.41636,-1
41.49656,-1
41.56877,-1
41.63869,-1
41.70865,-1
41.77837,-1
41.84753,-1
41.91962,-1
41.98846,-1
42.05955,-1
42.12856,-1
42.19967,-1
42.269,-1
42.33916,-1
42.42362,-1
42.50435,-1
42.57539,-1
42.644,-1
42.71759,-1
42.78823,-1
42.85914,-1
42.92927,-1
43,-1
43.09649,-1
43.16717,-1
43.2394,-1
43.31061,-1
43.39503,-1
43.47738,-1
43.55505,-1
43.62577,-1
43.69758,-1
43.76871,-1
43.84016,-1
43.91369,-1
43.98605,-1
44.06358,-1
44.13512,-1
44.20735,-1
44.27859,-1
44.34969,-1
44.43687,-1
44.52672,1
44.60788,1
44.6814,1
44.75509,1
44.82637,1
44.90076,1
44.97318,1
45.046,1
45.11797,1
45.19195,1
45.26454,1
45.33881,1
45.42451,1
45.50781,1
45.58393,1
45.65872,1
45.73658,1
45.80892,1
45.88293,1
45.98069,1
46.05898,1
46.13321,1
46.2059,1
46.29345,1
46.36973,1
46.44281,1
46.51558,1
46.59449,1
46.67067,1
46.74732,1
46.82856,1
46.90553,1
46.97932,1
47.06789,1
47.1512,1
47.22895,1
47.30442,1
47.38491,1
47.46159,1
47.54098,1
47.61758,1
47.69385,1
47.76771,1
47.8445,1
47.91986,1
47.99699,1
48.07097,1
48.15869,1
48.23946,1
48.31739,1
48.39101,1
48.46824,1
48.54285,1
48.62039,1
48.69493,1
48.77272,1
48.84749,1
48.92551,1
49.02827,1
49.11866,1
49.1962,1
49.27262,1
49.34861,1
49.42467,1
49.49953,1
49.57515,1
49.65001,1
49.72552,1
49.79979,1
49.87603,1
49.95201,1
50.02888,1
50.10483,1
50.19516,1
50.27767,1
50.35432,1
50.42976,1
50.50683,1
50.58189,1
50.65877,1
50.73418,1
50.81587,1
50.89152,1
50.96917,1
51.04468,1
51.13568,1
51.22448,1
51.30408,1
51.38242,1
51.45858,1
51.53642,1
51.61302,1
51.69137,1
51.76873,1
51.84682,1
51.93178,1
52.01071,1
52.1169,1
52.20655,1
52.29121,1
52.36893,1
52.44613,1
52.52499,1
