Time,UnixTime,Acc_X,Acc_Y,Acc_Z
-0.0544679164886475,1631682622.66561,-61,-26,-4
-0.0232179164886475,1631682622.69686,-65,-23,5
0.00803208351135254,1631682622.72811,-73,-13,16
0.0392820835113525,1631682622.75936,-74,-9,19
0.0705320835113525,1631682622.79061,-69,-5,18
0.101792097091675,1631682622.82187,-59,-4,18
0.133042097091675,1631682622.85312,-55,-6,19
0.164292097091675,1631682622.88437,-54,-9,19
0.195542097091675,1631682622.91562,-56,-10,18
0.226792097091675,1631682622.94687,-61,-9,12
0.258042097091675,1631682622.97812,-67,-9,1
0.289292097091675,1631682623.00937,-70,-8,-5
0.320552110671997,1631682623.04063,-68,-7,-15
0.351802110671997,1631682623.07188,-66,-9,-16
0.383052110671997,1631682623.10313,-64,-13,-11
0.414302110671997,1631682623.13438,-65,-11,-7
0.445552110671997,1631682623.16563,-65,-10,-7
0.476802110671997,1631682623.19688,-61,-9,-7
0.508052110671997,1631682623.22813,-58,-11,-4
0.539312124252319,1631682623.25939,-58,-12,-3
0.570562124252319,1631682623.29064,-60,-11,-3
0.601812124252319,1631682623.32189,-62,-10,-1
0.633062124252319,1631682623.35314,-66,-10,-1
0.664312124252319,1631682623.38439,-68,-11,-1
0.820571899414063,1631682623.54065,-63,-8,6
0.851821899414063,1631682623.5719,-63,-8,6
0.976831912994385,1631682623.69691,-62,-5,5
1.00808191299438,1631682623.72816,-62,-5,4
1.03933191299438,1631682623.75941,-62,-6,4
1.07058191299438,1631682623.79066,-62,-7,3
1.10183191299438,1631682623.82191,-63,-7,4
1.13308191299438,1631682623.85316,-63,-7,4
1.16433191299438,1631682623.88441,-63,-8,3
1.19559192657471,1631682623.91567,-64,-8,3
1.22684192657471,1631682623.94692,-64,-8,3
1.25809192657471,1631682623.97817,-63,-8,3
1.28934192657471,1631682624.00942,-63,-8,2
1.32059192657471,1631682624.04067,-63,-7,2
1.35184192657471,1631682624.07192,-64,-7,1
1.38309192657471,1631682624.10317,-63,-7,2
1.41435194015503,1631682624.13443,-63,-8,2
1.44560194015503,1631682624.16568,-62,-9,2
1.47685194015503,1631682624.19693,-62,-9,2
1.50810194015503,1631682624.22818,-61,-10,2
1.53935194015503,1631682624.25943,-64,-9,1
1.57060194015503,1631682624.29068,-67,-8,0
1.60185194015503,1631682624.32193,-66,-7,-1
1.63311195373535,1631682624.35319,-65,-7,-2
1.66436195373535,1631682624.38444,-63,-9,-3
1.69561195373535,1631682624.41569,-63,-8,-3
1.72686195373535,1631682624.44694,-64,-7,-3
1.75811195373535,1631682624.47819,-63,-7,-3
1.78936195373535,1631682624.50944,-63,-6,-2
1.82061195373535,1631682624.54069,-63,-6,-2
1.85187196731567,1631682624.57195,-64,-6,-3
1.88312196731567,1631682624.6032,-63,-7,-1
1.91437196731567,1631682624.63445,-67,-6,-1
1.94562196731567,1631682624.6657,-63,-6,-3
1.97687196731567,1631682624.69695,-62,-5,-2
2.00812196731567,1631682624.7282,-64,-5,0
2.03937196731567,1631682624.75945,-65,-5,0
2.070631980896,1631682624.79071,-66,-3,0
2.101881980896,1631682624.82196,-67,-2,-1
2.133131980896,1631682624.85321,-66,-2,0
2.164381980896,1631682624.88446,-67,-1,1
2.28939199447632,1631682625.00947,-67,-2,2
2.32064199447632,1631682625.04072,-69,-4,5
2.35189199447632,1631682625.07197,-66,-5,8
2.47689199447632,1631682625.19697,-37,-6,50
2.50815200805664,1631682625.22823,-28,-3,52
2.53940200805664,1631682625.25948,-24,0,54
2.57065200805664,1631682625.29073,-20,4,61
2.60190200805664,1631682625.32198,-21,3,62
2.63315200805664,1631682625.35323,-25,-4,61
2.66440200805664,1631682625.38448,-32,-10,56
2.69566202163696,1631682625.41574,-34,-10,54
2.72691202163696,1631682625.44699,-34,-11,50
2.75816202163696,1631682625.47824,-32,-10,49
2.78941202163696,1631682625.50949,-31,-6,51
2.82066202163696,1631682625.54074,-32,-4,54
2.85191202163696,1631682625.57199,-32,-3,55
2.88316202163696,1631682625.60324,-32,-4,56
2.91442203521729,1631682625.6345,-30,-3,56
2.94567203521729,1631682625.66575,-29,0,53
2.97692203521729,1631682625.697,-31,-3,51
3.00817203521729,1631682625.72825,-31,-4,52
3.03942203521729,1631682625.7595,-31,-7,53
3.07067203521729,1631682625.79075,-30,-8,53
3.10192203521729,1631682625.822,-30,-7,54
3.13318204879761,1631682625.85326,-30,-5,56
3.16443204879761,1631682625.88451,-31,-4,56
3.19568204879761,1631682625.91576,-30,-5,56
3.22693204879761,1631682625.94701,-30,-6,55
3.25818204879761,1631682625.97826,-30,-6,54
3.28943204879761,1631682626.00951,-30,-6,53
3.32068204879761,1631682626.04076,-30,-5,54
3.35194206237793,1631682626.07202,-30,-5,54
3.38319206237793,1631682626.10327,-31,-5,54
3.41444206237793,1631682626.13452,-30,-5,54
3.44569206237793,1631682626.16577,-30,-6,54
3.47694206237793,1631682626.19702,-31,-5,53
3.60195207595825,1631682626.32203,-29,-6,55
3.63320207595825,1631682626.35328,-29,-6,54
3.66445207595825,1631682626.38453,-30,-7,55
3.69570207595825,1631682626.41578,-30,-6,55
3.72695207595825,1631682626.44703,-30,-6,56
3.75820207595825,1631682626.47828,-29,-5,56
3.78946208953857,1631682626.50954,-29,-6,55
3.82071208953857,1631682626.54079,-29,-6,54
3.85196208953857,1631682626.57204,-30,-6,53
3.88321208953857,1631682626.60329,-30,-6,53
3.91446208953857,1631682626.63454,-28,-5,51
3.94571208953857,1631682626.66579,-11,0,42
3.97696208953857,1631682626.69704,-6,-1,37
4.0082221031189,1631682626.7283,-34,-7,38
4.0394721031189,1631682626.75955,-50,-7,48
4.0707221031189,1631682626.7908,-68,-5,42
4.1019721031189,1631682626.82205,-61,12,39
4.1332221031189,1631682626.8533,-64,8,30
4.1644721031189,1631682626.88455,-67,9,16
4.1957221031189,1631682626.9158,-68,8,10
4.22698211669922,1631682626.94706,-67,6,-1
4.25823211669922,1631682626.97831,-79,5,-13
4.28948211669922,1631682627.00956,-73,6,-5
4.32073211669922,1631682627.04081,-62,6,10
4.35198211669922,1631682627.07206,-58,3,16
4.38323211669922,1631682627.10331,-57,3,18
4.41448211669922,1631682627.13456,-55,5,20
4.44574189186096,1631682627.16582,-57,4,18
4.47699189186096,1631682627.19707,-60,5,13
4.50824189186096,1631682627.22832,-64,6,8
4.53949189186096,1631682627.25957,-66,7,6
4.57074189186096,1631682627.29082,-67,7,3
4.60199189186096,1631682627.32207,-66,7,2
4.63324189186096,1631682627.35332,-63,5,-1
4.66450190544128,1631682627.38458,-62,5,-5
4.69575190544128,1631682627.41583,-61,5,-7
4.72700190544128,1631682627.44708,-59,4,-14
4.75825190544128,1631682627.47833,-59,4,-19
4.78950190544128,1631682627.50958,-57,5,-26
4.91451191902161,1631682627.63459,-41,6,-47
4.94576191902161,1631682627.66584,-39,6,-49
4.97701191902161,1631682627.69709,-35,7,-54
5.13327193260193,1631682627.85335,-25,9,-65
5.16452193260193,1631682627.8846,-26,9,-65
5.32078194618225,1631682628.04086,-21,7,-54
5.35203194618225,1631682628.07211,-12,9,-52
5.50829195976257,1631682628.22837,-1,11,-67
5.53954195976257,1631682628.25962,-1,10,-66
5.69579195976257,1631682628.41587,1,11,-62
5.7270519733429,1631682628.44713,1,12,-62
5.7583019733429,1631682628.47838,1,12,-62
5.7895519733429,1631682628.50963,1,13,-61
5.8208019733429,1631682628.54088,1,13,-61
5.8520519733429,1631682628.57213,-1,12,-61
5.8833019733429,1631682628.60338,-1,12,-61
5.9145519733429,1631682628.63463,-3,12,-61
5.94581198692322,1631682628.66589,-2,12,-62
5.97706198692322,1631682628.69714,-2,12,-62
6.00831198692322,1631682628.72839,-1,12,-63
6.03956198692322,1631682628.75964,-1,11,-62
6.07081198692322,1631682628.79089,-1,11,-62
6.10206198692322,1631682628.82214,0,10,-63
6.19582200050354,1631682628.9159,1,10,-63
6.22707200050354,1631682628.94715,1,10,-62
6.25832200050354,1631682628.9784,1,11,-62
6.28957200050354,1631682629.00965,1,11,-62
6.32082200050354,1631682629.0409,1,12,-62
6.35207200050354,1631682629.07215,1,12,-61
6.38333201408386,1631682629.10341,0,12,-61
6.41458201408386,1631682629.13466,0,12,-62
6.44583201408386,1631682629.16591,0,12,-61
6.47708201408386,1631682629.19716,0,13,-62
6.50833201408386,1631682629.22841,-1,13,-62
6.53958201408386,1631682629.25966,-1,12,-62
6.57083201408386,1631682629.29091,-1,12,-62
6.60209202766418,1631682629.32217,-2,11,-62
6.63334202766418,1631682629.35342,-1,11,-62
6.66459202766418,1631682629.38467,-1,10,-63
6.69584202766418,1631682629.41592,-1,11,-63
6.72709202766418,1631682629.44717,-1,11,-63
6.75834202766418,1631682629.47842,0,12,-62
6.78959202766418,1631682629.50967,0,12,-61
6.82085204124451,1631682629.54093,0,11,-61
6.85210204124451,1631682629.57218,0,12,-61
6.88335204124451,1631682629.60343,1,11,-61
6.91460204124451,1631682629.63468,1,11,-61
6.94585204124451,1631682629.66593,1,11,-61
6.97710204124451,1631682629.69718,1,11,-62
7.00835204124451,1631682629.72843,1,11,-62
7.03961205482483,1631682629.75969,1,12,-63
7.07086205482483,1631682629.79094,0,12,-62
7.10211205482483,1631682629.82219,0,12,-62
7.13336205482483,1631682629.85344,0,12,-62
7.16461205482483,1631682629.88469,0,12,-62
7.19586205482483,1631682629.91594,-1,12,-63
7.22712206840515,1631682629.9472,-1,12,-62
7.25837206840515,1631682629.97845,0,12,-62
7.28962206840515,1631682630.0097,-1,13,-62
7.32087206840515,1631682630.04095,-1,13,-62
7.35212206840515,1631682630.0722,0,13,-62
7.38337206840515,1631682630.10345,-1,13,-62
7.41462206840515,1631682630.1347,0,13,-62
7.57088208198547,1631682630.29096,-1,13,-62
7.60213208198547,1631682630.32221,-1,13,-62
7.63338208198547,1631682630.35346,-2,12,-62
7.6646420955658,1631682630.38472,-1,12,-62
7.6958920955658,1631682630.41597,-1,12,-62
7.7271420955658,1631682630.44722,-1,12,-62
7.7583920955658,1631682630.47847,-1,12,-62
7.7896420955658,1631682630.50972,0,12,-62
7.8208920955658,1631682630.54097,0,12,-62
7.8521420955658,1631682630.57222,1,12,-62
7.88340210914612,1631682630.60348,1,12,-62
7.91465210914612,1631682630.63473,1,12,-62
7.94590210914612,1631682630.66598,1,12,-62
7.97715210914612,1631682630.69723,1,12,-62
8.00840210914612,1631682630.72848,0,11,-62
8.03965210914612,1631682630.75973,0,12,-62
8.07090210914612,1631682630.79098,0,11,-62
8.10216212272644,1631682630.82224,-1,12,-63
8.13341212272644,1631682630.85349,-1,12,-63
8.16466212272644,1631682630.88474,-1,12,-62
8.19591212272644,1631682630.91599,-2,13,-62
8.22716212272644,1631682630.94724,-1,12,-61
8.25841212272644,1631682630.97849,-1,12,-62
8.28966212272644,1631682631.00974,-1,13,-62
8.32092189788818,1631682631.041,-1,12,-62
8.35217189788818,1631682631.07225,0,12,-62
8.38342189788818,1631682631.1035,-1,12,-62
8.41467189788818,1631682631.13475,0,11,-62
8.44592189788818,1631682631.166,0,11,-62
8.47717189788818,1631682631.19725,0,11,-62
8.50842189788818,1631682631.2285,0,12,-62
8.53968191146851,1631682631.25976,0,12,-62
