Time,Performance
9.14922,-1
9.207042,-1
9.26492,-1
9.32166,-1
9.41614,-1
9.509965,-1
9.587002,-1
9.679959,-1
9.756965,-1
9.849894,-1
9.94607,-1
10.02399,-1
10.11828,-1
10.21218,-1
10.2915,-1
10.38414,-1
10.48043,-1
10.55949,-1
10.65402,-1
10.74942,-1
10.84445,-1
10.94252,-1
11.02513,-1
11.12194,-1
11.21833,-1
11.33057,-1
11.42948,-1
11.52871,-1
11.63851,-1
11.74059,-1
11.84056,-1
11.94348,-1
12.04067,-1
12.13878,-1
12.23817,-1
12.33686,-1
12.43576,-1
12.53536,-1
12.63407,-1
12.73174,-1
12.83134,-1
12.93089,-1
13.03074,-1
13.1312,-1
13.23032,-1
13.33111,-1
13.43048,-1
13.53052,-1
13.63152,-1
13.73131,-1
13.83221,-1
13.93522,-1
14.03748,-1
14.13949,-1
14.24264,-1
14.34736,-1
14.45304,-1
14.55993,-1
14.66404,-1
14.7668,-1
14.86997,-1
14.97282,-1
15.07553,-1
15.18022,-1
15.28284,-1
15.38889,-1
15.49429,-1
15.60026,-1
15.70564,-1
15.81019,-1
15.91909,-1
16.0238,-1
16.14584,-1
16.25381,-1
16.35975,-1
16.4676,-1
16.57424,-1
16.68169,-1
16.78932,-1
16.8973,-1
17.00546,-1
17.11464,-1
17.22196,-1
17.33172,-1
17.43839,-1
17.54778,-1
17.65572,-1
17.76503,-1
17.87523,-1
17.98462,-1
18.09308,-1
18.20176,-1
18.3094,-1
18.4205,-1
18.53063,-1
18.64212,-1
18.75366,-1
18.86455,-1
18.97614,-1
19.08502,-1
19.19683,-1
19.30791,-1
19.41769,-1
19.5313,-1
19.64466,-1
19.75612,-1
19.87033,-1
19.98554,-1
20.09801,-1
20.21114,-1
20.32676,-1
20.44136,-1
20.55531,-1
20.66911,-1
20.78319,-1
20.89832,-1
21.01096,-1
21.12561,-1
21.24385,-1
21.35819,-1
21.49325,-1
21.6084,-1
21.72405,-1
21.83902,-1
21.95661,-1
22.0717,-1
22.1881,-1
22.30404,-1
22.41864,-1
22.53344,-1
22.65026,-1
22.76548,-1
22.881,-1
22.99754,-1
23.1145,-1
23.23022,-1
23.34719,-1
23.46632,-1
23.58613,-1
23.70452,-1
23.82123,-1
23.94247,-1
24.06261,-1
24.18047,-1
24.29902,-1
24.41715,-1
24.5365,-1
24.65602,-1
24.77372,-1
24.8942,-1
25.01515,-1
25.134,-1
25.2526,-1
25.37344,-1
25.49626,-1
25.61973,-1
25.74457,-1
25.86802,-1
25.99451,-1
26.11977,-1
26.24487,-1
26.36907,-1
26.49446,-1
26.62086,-1
26.74564,-1
26.88445,-1
27.01093,-1
27.13861,-1
27.26386,-1
27.39201,-1
27.52059,-1
27.64769,-1
27.77305,-1
27.90075,-1
28.03067,-1
28.15806,-1
28.28547,-1
28.41331,-1
28.54232,-1
28.67132,-1
28.7995,-1
28.92842,-1
29.05829,-1
29.19249,-1
29.32816,-1
29.46096,-1
29.59307,-1
29.72749,-1
29.85798,-1
29.9943,-1
30.13194,-1
30.2673,-1
30.40037,-1
30.53486,-1
30.67253,-1
30.81084,-1
30.94505,-1
31.08347,-1
31.21943,-1
31.35622,-1
31.49367,-1
31.63133,-1
31.77452,-1
31.91607,-1
32.05347,-1
32.19292,-1
32.33264,-1
32.4729,-1
32.63037,-1
32.76575,-1
32.90585,-1
33.04659,-1
33.18394,-1
33.32545,-1
33.4707,-1
33.62149,-1
33.76851,-1
33.91346,-1
34.06133,-1
34.21144,-1
34.3613,-1
34.51463,-1
34.66573,-1
34.81833,-1
34.96564,-1
35.10959,-1
35.24899,-1
35.39103,-1
35.53588,-1
35.67743,-1
35.82006,-1
35.96306,-1
36.10903,-1
36.2527,-1
36.39466,-1
36.53967,-1
36.68771,-1
36.83115,-1
36.97341,-1
37.11667,-1
37.26752,-1
37.41319,-1
37.55917,-1
37.7064,-1
37.85519,-1
38.0026,-1
38.14627,-1
38.29132,-1
38.43972,-1
38.58797,-1
38.75671,-1
38.9031,-1
39.05149,-1
39.20243,-1
39.3549,-1
39.50803,-1
39.65995,-1
39.81101,-1
39.96424,-1
40.11677,-1
40.26751,-1
40.42142,-1
40.57419,-1
40.72533,-1
40.87794,-1
41.03064,-1
41.18982,-1
41.3529,-1
41.52176,-1
41.68598,-1
41.85172,-1
42.02378,1
42.19032,1
42.35633,1
42.52333,1
42.6862,1
42.85017,1
43.01816,1
43.1945,1
43.36428,1
43.53598,1
43.70278,1
43.86859,1
44.03683,1
44.20565,1
44.37379,1
44.54056,1
44.7053,1
44.87059,1
45.03891,1
45.20699,1
45.38002,1
45.57456,1
45.74366,1
45.91293,1
46.07778,1
46.23684,1
46.39952,1
46.56046,1
46.72391,1
46.88736,1
47.0487,1
47.21009,1
47.37164,1
47.53582,1
47.69901,1
47.86207,1
48.02811,1
48.19137,1
48.35414,1
48.51812,1
48.68213,1
48.84599,1
49.01197,1
49.17822,1
49.34662,1
49.51621,1
49.68362,1
49.84917,1
50.01584,1
50.18169,1
50.34899,1
50.51604,1
50.68402,1
50.84871,1
51.01555,1
51.18628,1
51.35743,1
51.52654,1
51.69619,1
51.8658,1
52.03579,1
52.20528,1
52.3763,1
52.56652,1
52.73684,1
52.9068,1
53.07785,1
53.24955,1
53.42305,1
53.59728,1
53.76746,1
53.93964,1
54.1179,1
54.29194,1
54.46588,1
54.64004,1
54.8191,1
54.99734,1
55.1761,1
55.35205,1
55.53244,1
55.71634,1
55.90068,1
56.08975,1
56.27481,1
56.46113,1
56.64714,1
56.83355,1
57.02018,1
57.20068,1
57.38216,1
57.57056,1
57.76333,1
57.95527,1
58.14777,1
58.33963,1
58.52994,1
58.71794,1
58.90763,1
59.0952,1
59.28775,1
59.47786,1
59.6735,1
59.86929,1
60.08557,1
60.27801,1
60.47168,1
60.667,1
60.86246,1
61.05654,1
61.25187,1
61.44263,1
61.63132,1
61.81464,1
62.00208,1
62.19163,1
62.37553,1
62.56296,1
62.74972,1
62.93606,1
63.12532,1
63.31236,1
63.49936,1
63.68533,1
63.87337,1
64.06553,1
64.25228,1
64.43833,1
64.62656,1
64.81387,1
65.00124,1
65.19131,1
65.37831,1
65.56736,1
65.75522,1
65.94385,1
66.13824,1
66.32914,1
66.53159,1
66.7316,1
66.93131,1
67.13132,1
67.33265,1
67.53329,1
67.7319,1
67.9311,1
68.15759,1
68.35224,1
68.54761,1
68.74783,1
68.94841,1
69.14724,1
69.34467,1
69.54496,1
69.74306,1
69.94718,1
70.15105,1
70.36142,1
70.57046,1
70.78434,1
70.99679,1
71.20821,1
71.4232,1
71.63828,1
71.85114,1
72.0621,1
72.2759,1
72.49138,1
72.70908,1
72.92118,1
73.14141,1
73.35848,1
73.5798,1
73.79236,1
74.00806,1
74.22952,1
74.44788,1
74.65675,1
74.87386,1
75.08807,1
75.30353,1
75.51868,1
75.73417,1
75.94656,1
76.16636,1
76.38213,1
76.64246,1
76.87518,1
77.09162,1
77.29935,1
77.51001,1
77.72099,1
77.9336,1
78.1492,1
78.36227,1
78.57485,1
78.78712,1
78.99672,1
79.20815,1
79.41947,1
79.63322,1
79.84609,1
80.0611,1
80.27602,1
80.4889,1
80.70365,1
80.91868,1
81.13257,1
81.34604,1
81.56281,1
81.77762,1
81.99352,1
82.21112,1
82.42879,1
82.64405,1
82.86156,1
83.08099,1
83.30037,1
83.51777,1
83.73793,1
83.96133,1
84.18407,1
