Time,UnixTime,Hr
58.413831949234,1631771604.37405,116.3583
162.137382030487,1631771708.0976,73.84273
205.592522144318,1631771751.55274,53.33087
206.639451980591,1631771752.59967,57.31077
207.764502048492,1631771753.72472,53.33087
208.639542102814,1631771754.59976,68.56825
230.499932050705,1631771776.46015,87.26867
231.031202077866,1631771776.99142,112.936
231.687482118607,1631771777.6477,91.42435
232.343762159348,1631771778.30398,91.42432
232.89066195488,1631771778.85088,109.7092
283.205492019653,1631771829.16571,54.8546
284.205542087555,1631771830.16576,59.99723
312.175581932068,1631771858.1358,103.779
321.160372018814,1631771867.12059,93.65421
332.504652023315,1631771878.46487,103.779
333.129682064056,1631771879.0899,95.99557
333.723462104797,1631771879.68368,101.0479
334.348492145538,1631771880.30871,95.99557
334.97351193428,1631771880.93373,95.99553
338.520552158356,1631771884.48077,106.6617
354.927561998367,1631771900.88778,91.42432
355.599472045898,1631771901.55969,89.2982
356.177622079849,1631771902.13784,103.7789
388.05410194397,1631771934.01432,87.26867
388.757261991501,1631771934.71748,85.3294
392.757441997528,1631771938.71766,89.2982
466.229592084885,1631772012.18981,101.048
466.745242118835,1631772012.70546,116.3583
