Time,Performance
17.27028,-1
17.37501,-1
17.48915,-1
17.606,-1
17.71874,-1
17.83171,-1
17.94467,-1
18.05643,-1
18.16762,-1
18.28209,-1
18.3941,-1
18.52167,-1
18.64628,-1
18.78563,-1
18.90538,-1
19.02681,-1
19.14838,-1
19.26537,-1
19.38017,-1
19.49645,-1
19.61564,-1
19.73629,-1
19.85901,-1
19.98111,-1
20.09681,-1
20.21364,-1
20.32812,-1
20.44456,-1
20.56035,-1
20.67879,-1
20.79533,-1
20.91591,-1
21.03246,-1
21.15025,-1
21.27296,-1
21.39406,-1
21.51506,-1
21.63363,-1
21.75287,-1
21.87724,-1
22.00016,-1
22.12168,-1
22.24116,-1
22.36137,-1
22.48834,-1
22.61138,-1
22.7305,-1
22.85121,-1
22.97224,-1
23.09377,-1
23.2172,-1
23.33932,-1
23.4635,-1
23.60681,-1
23.73399,-1
23.86123,-1
23.98854,-1
24.11157,-1
24.23755,-1
24.36746,-1
24.49653,-1
24.62198,-1
24.7547,-1
24.87959,-1
25.00583,-1
25.13364,-1
25.26272,-1
25.38733,-1
25.51732,-1
25.64264,-1
25.77154,-1
25.89744,-1
26.02358,-1
26.14938,-1
26.27404,-1
26.39893,-1
26.52997,-1
26.66064,-1
26.78989,-1
26.91407,-1
27.04154,-1
27.16894,-1
27.30146,-1
27.4355,-1
27.56871,-1
27.69772,-1
27.82709,-1
27.95726,-1
28.08916,-1
28.21975,-1
28.35388,-1
28.48904,-1
28.61984,-1
28.75142,-1
28.89926,-1
29.03009,-1
29.16098,-1
29.29181,-1
29.42445,-1
29.55944,-1
29.69252,-1
29.82331,-1
29.9547,-1
30.09069,-1
30.22843,-1
30.36105,-1
30.49751,-1
30.63402,-1
30.77266,-1
30.90665,-1
31.04357,-1
31.18522,-1
31.31934,-1
31.46025,-1
31.59374,-1
31.73143,-1
31.86584,-1
31.98789,-1
32.11176,-1
32.23198,-1
32.36988,-1
32.50566,-1
32.641,-1
32.76434,-1
32.90078,-1
32.99634,-1
33.11709,-1
33.26291,-1
33.40515,-1
33.54757,-1
33.69855,-1
33.84649,-1
33.95898,-1
34.0868,-1
34.22859,-1
34.3666,-1
34.50782,-1
34.66999,-1
34.81161,-1
34.95127,-1
35.09419,-1
35.23554,-1
35.37734,-1
35.51682,-1
35.64703,-1
35.79028,-1
35.93232,-1
36.0719,-1
36.21413,-1
36.35754,-1
36.50087,-1
36.64674,-1
36.79177,-1
36.9417,-1
37.08667,-1
37.23069,-1
37.37537,-1
37.52263,-1
37.67035,-1
37.81482,-1
37.96283,-1
38.11496,-1
38.26318,-1
38.40979,-1
38.55756,-1
38.70947,-1
38.85832,-1
39.01077,-1
39.16193,-1
39.31456,-1
39.46419,-1
39.62148,-1
39.77679,-1
39.93103,-1
40.08436,-1
40.26173,-1
40.41485,-1
40.56868,-1
40.72501,-1
40.87975,-1
41.03379,-1
41.19008,-1
41.34542,-1
41.50003,-1
41.65636,-1
41.81168,-1
41.96874,-1
42.12526,-1
42.28183,-1
42.43803,-1
42.5941,-1
42.75421,-1
42.94054,-1
43.05568,-1
43.21207,-1
43.36821,-1
43.52307,-1
43.67929,-1
43.83656,-1
43.9928,-1
44.14987,-1
44.3073,-1
44.46807,-1
44.63065,-1
44.79076,-1
44.95129,-1
45.11189,-1
45.27214,-1
45.45554,-1
45.61406,-1
45.77406,-1
45.93513,-1
46.11797,-1
46.28211,-1
46.44401,-1
46.60345,-1
46.77074,-1
46.93149,-1
47.09441,-1
47.25646,-1
