Time,Acc_X,Acc_Y,Acc_Z,GSR,Tmp,Performance,Labeling
183.0333,-1.1903035455807132,-0.3288527796954737,-0.5970158621806403,-1.9265247977605404,-1.5860436808420755,1.0,1.0
183.05,-1.1464363191846265,-0.44849285727173954,-0.6569442733671048,-1.9246507648668947,-1.5860436808420755,1.0,1.0
183.0667,-0.9987548338306699,-0.5613403887072747,-0.6977915806357163,-1.9227767319732523,-1.5860436808420755,1.0,1.0
183.0833,-0.30553403769753285,-0.5955209301122146,-0.5877710214623995,-1.9209139208334607,-1.5860436808420755,1.0,1.0
183.1,0.27200494471166287,-0.6335189313808169,-0.531337180677879,-1.9190398879398185,-1.5860436808420755,1.0,1.0
183.1167,0.39880436744359765,-0.685098603802137,-0.678914958846132,-1.9171658550461725,-1.5860436808420755,1.0,1.0
183.1333,0.419364102500302,-0.724923386006332,-0.7212562040472809,-1.9153030439063845,-1.5860436808420755,1.0,1.0
183.15,0.22922589526128667,-0.742111102607813,-0.5552843867195884,-1.913429011012739,-1.5860436808420755,1.0,1.0
183.1667,0.05367178363380052,-0.7672266459886843,-0.4488113203269796,-1.9115549781190964,-1.5860436808420755,1.0,1.0
183.2,-0.20686723647174027,-0.835793635674446,-0.42908237147118833,-1.9078181340856628,-1.5860436808420755,1.0,1.0
183.2167,-0.27026694783770766,-0.8701800839553261,-0.48442403828428315,-1.9059441011920166,-1.5860436808420755,1.0,1.0
183.2333,-0.28849746141497096,-0.8314823512815297,-0.3439500809299692,-1.9040812900522257,-1.5860436808420755,1.0,1.0
183.25,-0.28849746141497096,-0.7627094547198866,-0.12258341367796652,-1.902207257158583,-1.5860436808420755,1.0,1.0
183.2667,-0.42087695413495413,-0.6939365581582434,-0.05528898894679098,-1.9003332242649404,-1.5860436808420755,1.0,1.0
183.2833,-0.5784271350743034,-0.6255754753483633,-0.018615469222352035,-1.8984704131251495,-1.5860436808420755,1.0,1.0
183.3,-0.6458248189079745,-0.7050363894560645,-0.17610976463981923,-1.8965963802315033,-1.5860436808420755,1.0,1.0
183.3167,-0.6954822219959451,-0.7820583210567554,-0.32134226411535866,-1.8947223473378607,-1.5860436808420755,1.0,1.0
183.3333,-0.6009521134323355,-0.7649680503542855,-0.24799522466648077,-1.8928595361980698,-1.5860436808420755,1.0,1.0
183.35,-0.4992212927880833,-0.7477759798071529,-0.18579928090859493,-1.8909855033044272,-1.5860436808420755,1.0,1.0
183.3667,-0.3724624879580395,-0.7305882632051248,-0.16735796787159785,-1.8891114704107814,-1.5860436808420755,1.0,1.0
183.4,-0.16186173468214468,-0.8107819363341486,-0.4499169582545135,-1.8853746263773474,-1.5860436808420755,1.0,1.0
183.4167,-0.21269389136106298,-0.8478949179694524,-0.560884213528173,-1.8835005934837048,-1.5860436808420755,1.0,1.0
183.4333,-0.43326414467615204,-0.8478949179694524,-0.5425474536659536,-1.8816377823439139,-1.5860436808420755,1.0,1.0
183.45,-0.5257718302993752,-0.908048063228837,-0.6424243916398266,-1.8797637494502712,-1.5860436808420755,1.0,1.0
183.4667,-0.5257718302993752,-1.0112074080714772,-0.8268966143501427,-1.8778897165566257,-1.5860436808420755,1.0,1.0
183.4833,-0.44074934677334193,-1.02879732218201,-0.8253663762662982,-1.8760269054168341,-1.5860436808420755,1.0,1.0
183.5167,-0.19984588234217274,-0.9944130774812485,-0.6704196392477777,-1.8722788396295489,-1.5860436808420755,1.0,1.0
183.5333,-0.08011541798398586,-0.9773239019712635,-0.5934101831246842,-1.870416028489758,-1.5860436808420755,1.0,1.0
183.55,0.04033631423180399,-0.9601317796208535,-0.5159368146152922,-1.8685419955961124,-1.5860436808420755,1.0,1.0
183.5667,0.160788046447389,-0.9429396572704728,-0.43846344610603194,-1.8666679627024698,-1.5860436808420755,1.0,1.0
183.6,0.40097024302116047,-0.9086583594101071,-0.2839806214736783,-1.8629311186690356,-1.5860436808420755,1.0,1.0
183.6167,0.5214219752369503,-0.8914662370596971,-0.20650725296428613,-1.86105708577539,-1.5860436808420755,1.0,1.0
183.6333,0.38092746638063163,-0.8573031853722285,-0.2406300749599411,-1.859194274635602,-1.5860436808420755,1.0,1.0
183.6667,-0.5861123561583444,-0.7197573922488251,-0.6129718778386919,-1.855446208848314,-1.5860436808420755,1.0,1.0
183.7,-0.7210475388807882,-0.5625929831072154,-0.5348569732353964,-1.85170936481488,-1.5860436808420755,1.0,1.0
183.7167,-1.259945085491511,-0.4594336382645751,-0.5348569732353964,-1.8498353319212342,-1.5860436808420755,1.0,1.0
183.7333,-0.9013451428749284,-0.490275378046991,-0.6389382530705138,-1.8479725207814433,-1.5860436808420755,1.0,1.0
183.75,-0.17224846216754439,-0.576241498749045,-0.7865160312385157,-1.8469184673459087,-1.5860436808420755,1.0,1.0
183.7667,-0.1569746248906373,-0.5761720637732682,-0.7033172828754037,-1.8562886318141216,-1.5860436808420755,1.0,1.0
183.8,-0.4400947980830768,-0.7392282626483305,-0.46351291144011736,-1.8749728519813063,-1.5860436808420755,1.0,1.0
183.8333,-0.31147862523596453,-1.0235410621609007,-0.3622594594721502,-1.8936570721484751,-1.5860436808420755,1.0,1.0
183.8667,0.04258869046983761,-1.146805592539334,-0.27314769516610843,-1.9123974010849165,-1.5860436808420755,1.0,1.0
183.9,-0.1263106765977126,-1.2611207528350565,-0.5677753348606861,-1.9310816212520856,-1.5860436808420755,1.0,1.0
183.9167,-0.14184792769244867,-1.2904218489925845,-0.7159246269740743,-1.9404517857202985,-1.5860436808420755,1.0,1.0
183.9333,0.04721228943477052,-1.2733315782901145,-0.7342613868362938,-1.9497658414192545,-1.5860436808420755,1.0,1.0
183.95,0.10828622756613453,-1.0360304318487192,-0.6453624155472701,-1.9591360058874674,-1.5860436808420755,1.0,1.0
183.9667,0.07658637188315083,-0.640586276618598,-0.4793374151079856,-1.968506170355696,-1.5860436808420755,1.0,1.0
184.0,-0.5269996389804916,-0.3210046980785522,-0.21117421792421728,-1.9860515301643813,-1.5860436808420755,1.0,1.0
184.0167,-0.4794487723117595,-0.3439278585730541,-0.37409133447027426,-1.9798047538522396,-1.5860436808420755,1.0,1.0
184.0333,-0.3534490022412015,-0.3951822470030437,-0.5940619666241131,-1.9735953833862687,-1.5860436808420755,1.0,1.0
184.0667,0.6119711448842557,-0.6534077608990113,-0.7341980988351828,-1.9611018307619743,-1.5860436808420755,1.0,1.0
184.0833,0.7380112896357353,-0.6363174901965413,-0.6425142995240855,-1.9548924602960036,-1.5860436808420755,1.0,1.0
184.1,0.9567029379027207,-0.615564259694786,-0.5273602427863311,-1.948645683983862,-1.5860436808420755,1.0,1.0
184.1167,1.5273003401964271,-0.5811778114139059,-0.3244407978049833,-1.9423989076717092,-1.5860436808420755,1.0,1.0
184.1333,1.895835420720694,-0.5696794773676525,-0.39652260181723586,-1.9361895372057492,-1.5860436808420755,1.0,1.0
184.15,1.8641355650377105,-0.6040659256485326,-1.0237281590323108,-1.9299427608935968,-1.5860436808420755,1.0,1.0
184.1667,1.890580306114329,-0.5438437648580786,-1.397161354233959,-1.9236959845814547,-1.5860436808420755,1.0,1.0
184.2,1.9143629421704573,-0.12105204655525297,-1.3405496785948376,-1.9112398378033422,-1.5860436808420755,1.0,1.0
184.2167,1.7241638080725552,0.18842598797266794,-1.0638413445293635,-1.9049930614911894,-1.5860436808420755,1.0,1.0
184.2333,1.4458405158487124,0.25394931926478626,-1.094002932135376,-1.8987836910252192,-1.5860436808420755,1.0,1.0
184.2667,0.8118772594796687,0.18518009537581306,-1.4075889634420364,-1.8896412986287028,-1.5860436808420755,1.0,1.0
184.2833,0.49679372487661533,0.15100137931118202,-1.563443098762348,-1.8865366133957175,-1.5860436808420755,1.0,1.0
184.3,0.1798120966915537,0.11661676736663688,-1.720236114415945,-1.8834132252396412,-1.5860436808420755,1.0,1.0
184.3333,-0.4522530660960214,0.04805343935751925,-2.032883265389587,-1.8771851518505853,-1.5860436808420755,1.0,1.0
184.35,-0.7692346942805435,0.013668827413032644,-2.189676281042917,-1.874061763694514,-1.5860436808420755,1.0,1.0
184.3667,-1.0862163224656047,-0.020715784531512477,-2.346469296696514,-1.8709383755384381,-1.5860436808420755,1.0,1.0
184.3833,-1.4012998570681194,-0.054894500596085,-2.502323432016559,-1.867833690305458,-1.5860436808420755,1.0,1.0
184.4,-1.7182814852531803,-0.08927911254063012,-2.6591164476701556,-1.8647103021493816,-1.5860436808420755,1.0,1.0
184.4167,-1.2077938026297814,0.06530522889885242,-2.279464187341717,-1.8615869139933108,-1.5860436808420755,1.0,1.0
184.4333,0.27317789820010235,0.44129118435319276,-1.2709423949196461,-1.858482228760325,-1.5860436808420755,1.0,1.0
184.4667,-0.6048929822131448,-0.13366993763381638,-1.4285400650910134,-1.8522354524481779,-1.5860436808420755,1.0,1.0
184.4833,-0.6365953202578022,-0.11168302960340487,-1.3284679128945915,-1.8491307672151929,-1.5860436808420755,1.0,1.0
