Time,Performance
12.22488,-1
12.2872,-1
12.35067,-1
12.42717,-1
12.52933,-1
12.62605,-1
12.72142,-1
12.80599,-1
12.90979,-1
13.03355,-1
13.14205,-1
13.2461,-1
13.35012,-1
13.45377,-1
13.56207,-1
13.67212,-1
13.77719,-1
13.88184,-1
13.99275,-1
14.09996,-1
14.20802,-1
14.31494,-1
14.4214,-1
14.52981,-1
14.63942,-1
14.74617,-1
14.85647,-1
14.96696,-1
15.07654,-1
15.18586,-1
15.29618,-1
15.40655,-1
15.51408,-1
15.62389,-1
15.7357,-1
15.84371,-1
15.95257,-1
16.06267,-1
16.17801,-1
16.28801,-1
16.39991,-1
16.51365,-1
16.63024,-1
16.74533,-1
16.85865,-1
16.97764,-1
17.09009,-1
17.20035,-1
17.31207,-1
17.44231,-1
17.55256,-1
17.66669,-1
17.78437,-1
17.89705,-1
18.00887,-1
18.11931,-1
18.2341,-1
18.34649,-1
18.45809,-1
18.57312,-1
18.68651,-1
18.79723,-1
18.91106,-1
19.02355,-1
19.13419,-1
19.24792,-1
19.36197,-1
19.47602,-1
19.59016,-1
19.70625,-1
19.81978,-1
19.9341,-1
20.04911,-1
20.16361,-1
20.27979,-1
20.39985,-1
20.52303,-1
20.64133,-1
20.75815,-1
20.87313,-1
20.98769,-1
21.10277,-1
21.2193,-1
21.33948,-1
21.45586,-1
21.57139,-1
21.69187,-1
21.80717,-1
21.92261,-1
22.05678,-1
22.17571,-1
22.29046,-1
22.40633,-1
22.52256,-1
22.63857,-1
22.75654,-1
22.87779,-1
23.00031,-1
23.12203,-1
23.24218,-1
23.36483,-1
23.48812,-1
23.61011,-1
23.73686,-1
23.86408,-1
23.99059,-1
24.11367,-1
24.24054,-1
24.36218,-1
24.48778,-1
24.61169,-1
24.73738,-1
24.8635,-1
24.98642,-1
25.10902,-1
25.23244,-1
25.35973,-1
25.48208,-1
25.60657,-1
25.7321,-1
25.8588,-1
25.98665,-1
26.11052,-1
26.23446,-1
26.36278,-1
26.4879,-1
26.61432,-1
26.74129,-1
26.86489,-1
27.0057,-1
27.1293,-1
27.25368,-1
27.3781,-1
27.50422,-1
27.63124,-1
27.76319,-1
27.88923,-1
28.01521,-1
28.14065,-1
28.26521,-1
28.39264,-1
28.52126,-1
28.65006,-1
28.78609,-1
28.92,-1
29.05346,-1
29.18376,-1
29.31172,-1
29.4458,-1
29.57824,-1
29.7124,-1
29.84002,-1
29.96945,-1
30.10056,-1
30.23091,-1
30.36172,-1
30.49329,-1
30.62924,-1
30.76247,-1
30.89418,-1
31.02778,-1
31.15925,-1
31.29399,-1
31.42745,-1
31.56195,-1
31.69763,-1
31.83646,-1
31.99205,-1
32.1282,-1
32.26881,-1
32.40576,-1
32.5452,-1
32.69,-1
32.83115,-1
32.97227,-1
33.11089,-1
33.25278,-1
33.39371,-1
33.53543,-1
33.67455,-1
33.8137,-1
33.95242,-1
34.09492,-1
34.23578,-1
34.37524,-1
34.51595,-1
34.66098,-1
34.80545,-1
34.94787,-1
35.08897,-1
35.23103,-1
35.37411,-1
35.52092,-1
35.66928,-1
35.81814,-1
35.96132,-1
36.10479,-1
36.25243,-1
36.39893,-1
36.54559,-1
36.69228,-1
36.83896,-1
36.98657,-1
37.13657,-1
37.30663,-1
37.45135,-1
37.59903,-1
37.75047,-1
37.90064,-1
38.04355,-1
38.18476,-1
38.32423,-1
38.46395,-1
38.60699,-1
38.75178,-1
38.89283,-1
39.03489,-1
39.1762,-1
39.32093,-1
39.46118,-1
39.60265,-1
39.74753,-1
39.89001,-1
40.03184,-1
40.17471,-1
40.32018,-1
40.46465,-1
40.60624,-1
40.75107,-1
40.89865,-1
41.0424,-1
41.18997,-1
41.33402,-1
41.4789,-1
41.62526,-1
41.7714,-1
41.91742,-1
42.06541,-1
42.21341,-1
42.35855,-1
42.50511,-1
42.67522,-1
42.82457,-1
42.97085,-1
43.11868,-1
43.27334,-1
43.43329,-1
43.59208,-1
43.75329,-1
43.91448,-1
44.0741,-1
44.23506,-1
44.3917,-1
44.55374,-1
44.71537,-1
44.876,1
45.0394,1
45.20159,1
45.36042,1
45.51945,1
45.68311,1
45.84397,1
46.0036,1
46.17186,1
46.34063,1
46.50711,1
46.67356,1
46.83977,1
47.00584,1
47.17234,1
47.33908,1
47.50003,1
47.66499,1
47.8292,1
47.99044,1
48.14968,1
48.31051,1
48.49973,1
48.66451,1
48.82903,1
48.99252,1
49.16159,1
49.32589,1
49.49372,1
49.66318,1
49.83323,1
50.00117,1
50.16953,1
50.33484,1
50.49656,1
50.6549,1
50.81604,1
50.97762,1
51.13659,1
51.29745,1
51.45933,1
51.62051,1
51.78454,1
51.94678,1
52.10739,1
52.26815,1
52.42908,1
52.58988,1
52.75149,1
52.91326,1
53.07576,1
53.23834,1
53.40412,1
53.56833,1
53.73352,1
53.89739,1
54.06061,1
54.22787,1
54.41408,1
54.57881,1
54.74853,1
54.91158,1
55.08025,1
55.24535,1
55.4191,1
55.59571,1
55.77681,1
55.95298,1
56.12971,1
56.3078,1
56.48824,1
56.67054,1
56.84918,1
57.02676,1
57.20551,1
57.38218,1
57.56804,1
57.74637,1
57.93025,1
58.10723,1
58.28295,1
58.46505,1
58.64591,1
58.82839,1
59.00925,1
59.1968,1
59.37991,1
59.55954,1
59.74431,1
59.92607,1
60.10466,1
60.28827,1
60.46788,1
60.64133,1
60.83759,1
61.01372,1
61.18651,1
61.361,1
61.53637,1
61.71393,1
61.89463,1
62.06956,1
62.24491,1
62.41758,1
62.59359,1
62.76981,1
62.9487,1
63.12669,1
63.30578,1
63.48319,1
63.66236,1
63.84303,1
64.02325,1
64.20565,1
64.38757,1
64.57571,1
64.76466,1
64.95035,1
65.1386,1
65.32462,1
65.51406,1
65.70175,1
65.89487,1
66.08039,1
66.26791,1
66.45605,1
66.64301,1
66.83132,1
67.02314,1
67.22148,1
67.42275,1
67.64982,1
67.85801,1
68.05905,1
68.25914,1
68.46118,1
68.67247,0
68.87619,0
69.07737,0
69.28016,0
69.47952,0
69.6845,0
69.89171,0
70.09554,0
70.29898,0
70.50501,0
70.71229,0
70.92272,0
71.12916,0
71.33928,0
71.54283,0
71.74803,0
71.94981,0
72.15717,0
72.36139,0
72.56706,0
72.77476,0
72.98705,0
73.19976,0
73.40746,0
73.61398,0
73.82129,0
74.03007,0
74.23312,0
74.44173,0
74.6519,0
74.88265,0
75.08951,0
75.28964,0
75.48862,0
75.68707,0
75.89594,0
76.09728,0
76.2979,0
76.5006,0
76.70238,0
76.9043,0
77.10799,0
77.31048,0
77.51646,0
77.72302,0
77.92923,0
78.13525,0
78.34123,0
78.54382,0
78.74703,0
78.95351,0
79.15848,0
79.36532,0
79.57056,0
79.77594,0
79.98427,0
80.19023,0
80.39513,0
80.60094,0
80.80943,0
81.01452,0
81.22355,0
81.43478,0
81.64385,0
81.85724,0
82.06595,0
82.27705,0
82.51702,0
82.7317,0
82.94733,0
83.1627,0
83.37907,0
83.60129,0
83.83085,0
84.06126,0
84.28859,0
84.50986,0
84.74155,0
84.97159,0
85.19626,0
85.4215,0
85.64169,0
85.87654,0
86.10665,0
86.32578,0
86.55037,0
86.77068,0
86.99001,0
87.20905,0
87.43639,0
87.65843,0
87.88914,0
88.12581,0
88.36676,0
88.60571,0
88.83673,0
89.05997,0
89.30421,1
89.54349,1
89.77516,1
90.00774,1
90.24306,1
90.50876,1
90.74349,1
90.97892,1
91.21408,1
91.44915,1
91.67337,1
91.90652,1
92.13734,1
92.36243,1
92.58948,1
92.81438,1
93.04541,1
93.2903,1
93.52766,1
93.76601,1
94.00579,1
94.2422,1
94.47724,1
94.70984,1
94.94789,1
95.18774,1
95.42544,1
95.6592,1
95.89184,1
96.11709,1
96.34206,1
96.56895,1
96.7932,1
97.02135,1
97.26371,1
97.50095,1
97.72924,1
97.96349,1
98.19582,1
98.42867,1
98.69189,1
98.9268,1
99.15744,1
99.39369,1
99.6282,1
99.86625,1
100.1014,1
100.3375,1
100.575,1
100.8142,1
101.0518,1
101.2862,1
101.5202,1
101.7577,1
102.0002,1
102.2409,1
102.4817,1
102.7243,1
102.9611,1
103.2,1
103.4381,1
103.6773,1
103.9222,1
104.1623,1
104.4022,1
104.6415,1
104.8806,1
105.1208,1
105.3625,1
105.6046,1
105.8502,1
106.0952,1
106.3383,1
106.5859,1
106.8341,1
107.0808,1
107.3568,1
107.6059,1
107.854,1
108.102,1
108.3461,1
108.5911,1
108.8401,1
109.0875,1
109.3378,1
109.5843,1
109.8366,1
110.0861,1
110.3335,1
110.5821,1
110.8307,1
111.0806,1
111.3299,1
111.5798,1
111.8299,1
112.0829,1
112.3331,1
112.5898,1
112.8408,1
113.0947,1
113.347,1
113.6026,1
113.8595,1
114.1227,1
114.3876,1
114.6552,1
114.9208,1
115.1895,1
115.457,1
115.7241,1
115.9959,1
116.2652,1
116.5597,1
116.8378,1
117.1096,1
117.3897,1
117.6658,1
117.9388,1
118.2103,1
118.4817,1
118.7531,1
119.0235,1
119.299,1
119.5789,1
119.8582,1
120.1346,1
120.4082,1
120.6823,1
120.9576,1
121.2366,1
121.506,1
121.7705,1
122.0379,1
122.3047,1
122.5706,1
122.8376,1
123.1066,1
123.3754,1
123.6398,1
123.9136,1
124.1843,1
124.4559,1
124.7223,1
124.9943,1
125.2686,1
125.5401,1
125.8084,1
126.1123,1
126.3855,1
126.6571,1
126.9279,1
127.2046,1
127.4763,1
127.7488,1
128.0245,1
128.3092,1
128.5942,1
128.8844,1
129.1783,1
129.4723,1
129.7609,1
130.0595,1
130.3443,1
130.6302,1
130.9267,1
131.2142,1
131.5057,1
131.8012,1
132.1001,1
132.3949,1
132.6902,1
132.9828,1
133.273,1
133.5661,1
133.8609,1
134.1549,1
134.4481,1
134.7503,1
135.0456,1
135.3336,1
135.6192,1
135.9391,1
136.2228,1
136.5091,1
136.7922,1
137.077,1
137.3627,1
137.6493,1
137.9335,1
138.2231,1
138.5087,1
138.7947,1
139.0821,1
139.369,1
139.6589,1
139.9545,1
140.249,1
140.5544,1
140.8608,1
141.1636,1
141.4695,1
141.7798,1
142.0929,1
142.4065,1
142.7144,1
143.019,1
143.3224,1
143.6312,1
143.9425,1
144.2469,1
144.5518,1
144.8652,1
145.1766,1
145.4814,1
145.7805,1
146.0807,1
146.407,1
146.7101,1
147.007,1
147.3091,1
147.6053,1
147.9114,1
148.2106,1
148.5139,1
148.8102,1
149.1141,1
149.4165,1
149.7184,1
150.0276,1
150.3319,1
150.6344,1
150.9392,1
151.2525,1
151.5729,1
151.8976,1
152.2211,1
152.5424,1
152.8651,1
153.1913,1
153.515,1
153.8359,1
154.1662,1
154.494,1
154.8245,1
155.1542,1
155.4851,1
155.8096,1
156.1348,1
156.4541,1
156.7831,1
157.133,1
157.4544,1
157.7699,1
158.0921,1
158.409,1
158.7274,1
159.0429,1
159.3666,1
159.6874,1
160.013,1
160.3318,1
160.6479,1
160.9652,1
161.287,1
161.6067,1
161.933,1
162.2646,1
162.602,1
162.9386,1
163.273,1
163.6097,1
163.9484,1
164.2821,1
164.6247,1
164.9596,1
165.3018,1
165.6372,1
165.9803,1
166.3205,1
166.6616,1
166.9964,1
167.326,1
167.6515,1
167.9866,1
168.353,1
168.6855,1
169.0125,1
169.3424,1
169.6712,1
170.0054,1
170.3343,1
170.666,1
170.9926,1
171.3253,1
171.6604,1
171.9974,1
172.3326,1
172.6646,1
172.9982,1
173.3376,1
173.6742,1
174.0111,1
174.3429,1
174.6797,1
175.0176,1
175.3587,1
175.7049,1
176.06,1
176.4113,1
176.7632,1
177.1172,1
177.4755,1
177.8338,1
178.1894,1
178.5459,1
178.9052,1
179.2636,1
179.6252,1
180.0072,1
180.363,1
180.7046,1
181.0556,1
181.4021,1
181.75,1
182.0969,1
182.4452,1
182.7924,1
183.1423,1
183.4884,1
183.8394,1
184.1862,1
184.5396,1
184.889,1
185.2449,1
185.5942,1
185.9619,1
186.322,1
186.6956,1
187.0639,1
187.4378,1
187.801,1
188.192,1
188.5639,1
188.9328,1
189.3023,1
189.6692,1
190.0366,1
190.4008,1
190.7705,1
191.1315,1
191.4969,1
191.8583,1
192.2626,1
192.6235,1
192.9838,1
193.3475,1
193.7061,1
194.0699,1
194.4337,1
194.795,1
195.1617,1
195.5228,1
195.8876,1
196.2542,1
196.6339,1
197.0147,1
197.3978,1
197.7815,1
198.1768,1
198.5619,1
198.9482,1
199.329,1
199.7124,1
200.1001,1
200.4857,1
200.8661,1
201.2415,1
201.6134,1
201.9919,1
202.3657,1
202.7463,1
203.1209,1
203.4973,1
203.8751,1
204.2559,1
204.6317,1
205.045,1
205.4196,1
205.8002,1
206.1839,1
206.5615,1
206.9353,1
207.3146,1
207.6965,1
208.0963,1
208.5045,1
208.9181,1
209.327,1
209.7324,1
210.1403,1
210.5426,1
210.9516,1
211.3637,1
211.775,1
212.1876,1
212.5991,1
213.0063,1
213.398,1
213.7889,1
214.1803,1
214.5683,1
214.9697,1
215.3649,1
215.7539,1
216.1543,1
216.5554,1
216.9478,1
217.3405,1
217.7445,1
218.1905,1
218.5983,1
219.0198,1
219.4462,1
219.8749,1
220.3031,1
220.7296,1
221.1606,1
221.5943,1
222.0297,1
222.4511,1
222.874,1
223.295,1
223.7152,1
224.1423,1
224.5661,1
224.9861,1
225.3965,1
225.8104,1
226.2288,1
226.645,1
227.0633,1
227.4836,1
227.9056,1
228.3292,1
228.7519,1
229.1736,1
229.5964,1
230.0319,1
230.4701,1
230.911,1
231.361,1
231.8038,1
232.2838,1
232.7265,1
233.163,1
233.6065,1
234.0482,1
234.4891,1
234.927,1
235.3643,1
235.7979,1
236.2305,1
236.6614,1
237.0932,1
237.5212,1
237.9506,1
238.3859,1
238.8179,1
239.2502,1
239.6841,1
240.1209,1
240.558,1
240.9971,1
241.4385,1
241.8765,1
242.3136,1
242.7536,1
243.1981,1
243.6493,1
244.1059,1
244.5683,1
245.0133,1
245.4776,1
245.9302,1
246.3898,1
246.8918,1
247.3527,1
247.8117,1
248.2669,1
248.7121,1
249.1572,1
249.6007,1
250.0467,1
250.4888,1
250.9348,1
251.387,1
251.8384,1
252.2897,1
252.7399,1
253.1915,1
253.6517,1
254.1245,1
254.61,1
255.0707,1
255.5573,1
256.0391,1
256.4982,1
256.9608,1
257.4218,1
257.8929,1
258.3822,1
258.8686,1
259.3559,1
259.8418,1
260.3258,1
260.8092,1
261.2825,1
261.773,1
262.2408,1
262.7051,1
263.1769,1
263.6287,1
264.1058,1
264.5577,1
265.0087,1
265.4655,1
265.9369,1
266.4172,1
266.8858,1
267.3674,1
267.8482,1
268.3301,1
268.8101,1
269.2694,1
269.7575,1
270.2306,1
270.7092,1
271.1813,1
271.6729,1
272.1651,1
272.6543,1
273.152,1
273.66,1
274.1689,1
274.6845,1
275.1938,1
275.708,1
276.2279,1
276.7454,1
277.2586,1
277.8159,1
278.3364,1
278.8528,1
279.3665,1
279.8664,1
280.3718,1
280.8759,1
281.3761,1
281.8788,1
282.3835,1
282.8917,1
283.4004,1
283.9099,1
284.4209,1
284.9313,1
285.4589,1
285.9868,1
286.5204,1
287.0554,1
287.5905,1
288.1241,1
288.6573,1
289.1858,1
289.7189,1
290.2556,1
290.7957,1
291.3298,1
291.8468,1
292.3637,1
292.8875,1
293.4087,1
293.9314,1
294.4927,1
295.0168,1
295.54,1
296.0659,1
296.5841,1
297.1124,1
297.6426,1
298.1724,1
298.7034,1
299.2345,1
299.7642,1
300.2813,1
300.8138,1
301.3566,1
301.9223,1
302.4762,1
303.0308,1
303.6089,1
304.1649,1
304.7233,1
305.278,1
305.8376,1
306.3961,1
306.9554,1
307.5116,1
308.1451,1
