Time,UnixTime,Acc_X,Acc_Y,Acc_Z
2.9497709274292,1631867643.99662,-23,39,36
2.9810209274292,1631867644.02787,-27,40,35
3.0122709274292,1631867644.05912,-27,43,35
3.0435209274292,1631867644.09037,-27,48,32
3.07478094100952,1631867644.12163,-23,56,26
3.10603094100952,1631867644.15288,-21,69,26
3.23103094100952,1631867644.27788,-25,77,12
3.26228094100952,1631867644.30913,-26,75,13
3.29354095458984,1631867644.34039,-25,60,16
3.32479095458984,1631867644.37164,-22,55,16
3.35604095458984,1631867644.40289,-18,53,12
3.38729095458984,1631867644.43414,-20,57,12
3.41854095458984,1631867644.46539,-18,60,14
3.44979095458984,1631867644.49664,-16,69,15
3.48104095458984,1631867644.52789,-13,68,18
3.63730096817017,1631867644.68415,-18,77,10
3.66855096817017,1631867644.7154,-22,83,15
3.82481098175049,1631867644.87166,-33,72,17
3.85606098175049,1631867644.90291,-5,84,30
3.88731098175049,1631867644.93416,-13,76,22
3.91857099533081,1631867644.96542,-15,58,7
3.94982099533081,1631867644.99667,-17,56,3
3.98107099533081,1631867645.02792,-22,58,-1
4.01232099533081,1631867645.05917,-30,63,-4
4.04357099533081,1631867645.09042,-29,62,-3
4.07482099533081,1631867645.12167,-26,60,-4
4.10607099533081,1631867645.15292,-20,56,-5
4.13733100891113,1631867645.18418,-17,52,-3
4.16858100891113,1631867645.21543,-9,51,2
4.19983100891113,1631867645.24668,-9,57,6
4.23108100891113,1631867645.27793,-10,60,7
4.26233100891113,1631867645.30918,-11,68,9
4.29358100891113,1631867645.34043,-12,70,11
4.32483100891113,1631867645.37168,-12,68,11
4.35609102249146,1631867645.40294,-13,78,9
4.38734102249146,1631867645.43419,-16,86,8
4.41859102249146,1631867645.46544,-19,94,3
4.57485103607178,1631867645.6217,-19,76,3
4.60610103607178,1631867645.65295,-20,80,-4
4.76235103607178,1631867645.8092,-16,59,0
4.7936110496521,1631867645.84046,-15,58,0
4.8248610496521,1631867645.87171,-20,57,-6
4.8561110496521,1631867645.90296,-23,56,-6
4.8873610496521,1631867645.93421,-30,58,2
4.9186110496521,1631867645.96546,-21,75,23
4.9498610496521,1631867645.99671,-5,69,27
4.9811110496521,1631867646.02796,16,52,30
5.13737106323242,1631867646.18422,-20,66,19
5.16862106323242,1631867646.21547,-25,68,23
5.32488107681274,1631867646.37173,-12,61,13
5.35613107681274,1631867646.40298,-5,58,14
5.38738107681274,1631867646.43423,-8,64,6
5.41863107681274,1631867646.46548,-9,65,4
5.44989109039307,1631867646.49674,-14,66,4
5.48114109039307,1631867646.52799,-20,61,0
5.51239109039307,1631867646.55924,-19,59,0
5.54364109039307,1631867646.59049,-18,57,-2
5.69990110397339,1631867646.74675,-16,62,2
5.73115110397339,1631867646.778,-17,61,2
5.76240110397339,1631867646.80925,-18,59,3
5.79365110397339,1631867646.8405,-19,59,4
5.82490110397339,1631867646.87175,-19,60,6
5.85615110397339,1631867646.903,-19,62,8
5.88741087913513,1631867646.93426,-17,63,11
5.91866087913513,1631867646.96551,-16,64,13
6.07491087913513,1631867647.12176,-18,72,11
6.10617089271545,1631867647.15302,-14,57,5
6.23117089271545,1631867647.27802,-14,64,7
6.26242089271545,1631867647.30927,-16,66,6
6.29367089271545,1631867647.34052,-17,64,5
6.32493090629578,1631867647.37178,-19,60,5
6.35618090629578,1631867647.40303,-19,59,5
6.38743090629578,1631867647.43428,-19,59,6
6.41868090629578,1631867647.46553,-17,61,7
6.44993090629578,1631867647.49678,-17,62,8
6.48118090629578,1631867647.52803,-16,63,9
6.6374409198761,1631867647.68429,-17,63,11
6.6686909198761,1631867647.71554,-16,64,12
6.82495093345642,1631867647.8718,-14,63,12
6.85620093345642,1631867647.90305,-14,62,12
7.01246094703674,1631867648.05931,-14,62,8
7.04371094703674,1631867648.09056,-20,65,4
7.07496094703674,1631867648.12181,-18,69,5
7.10621094703674,1631867648.15306,-14,68,5
7.13746094703674,1631867648.18431,-10,66,6
7.16872096061707,1631867648.21557,-7,61,8
7.19997096061707,1631867648.24682,-8,59,8
7.23122096061707,1631867648.27807,-13,57,7
7.38748097419739,1631867648.43433,-18,59,8
7.41873097419739,1631867648.46558,-18,58,10
7.57498097419739,1631867648.62183,-30,63,2
7.60624098777771,1631867648.65309,-30,72,7
7.63749098777771,1631867648.68434,-21,76,5
7.66874098777771,1631867648.71559,-15,78,5
7.69999098777771,1631867648.74684,-4,78,9
7.73124098777771,1631867648.77809,-1,76,11
7.76249098777771,1631867648.80934,1,69,0
7.79374098777771,1631867648.84059,22,62,-14
7.82500100135803,1631867648.87185,48,60,9
7.85625100135803,1631867648.9031,40,64,35
7.88750100135803,1631867648.93435,8,60,15
7.91875100135803,1631867648.9656,-2,59,7
7.95000100135803,1631867648.99685,-16,64,-1
7.98125100135803,1631867649.0281,-26,67,-5
8.10626101493835,1631867649.15311,-13,56,2
8.13751101493835,1631867649.18436,-12,55,4
8.16876101493835,1631867649.21561,-11,53,5
8.20001101493835,1631867649.24686,-15,55,2
8.23126101493835,1631867649.27811,-18,57,1
8.26252102851868,1631867649.30937,-20,65,0
8.29377102851868,1631867649.34062,-20,69,0
8.32502102851868,1631867649.37187,-18,71,1
8.35627102851868,1631867649.40312,-13,64,3
8.38752102851868,1631867649.43437,-12,62,3
8.41877102851868,1631867649.46562,-14,65,3
8.45002102851868,1631867649.49687,-17,70,2
8.481281042099,1631867649.52813,-18,71,2
8.512531042099,1631867649.55938,-17,67,4
8.543781042099,1631867649.59063,-16,63,5
8.575031042099,1631867649.62188,-12,57,5
8.606281042099,1631867649.65313,-12,56,4
8.637531042099,1631867649.68438,-13,58,4
8.668781042099,1631867649.71563,-15,62,4
8.70004105567932,1631867649.74689,-15,65,3
8.73129105567932,1631867649.77814,-10,66,5
8.88755106925964,1631867649.9344,-11,75,21
8.91880106925964,1631867649.96565,-40,85,17
8.95005106925964,1631867649.9969,-45,81,20
8.98130106925964,1631867650.02815,-34,60,16
9.01255106925964,1631867650.0594,-28,56,10
9.04380106925964,1631867650.09065,-16,51,8
9.07505106925964,1631867650.1219,-11,56,9
9.10631108283997,1631867650.15316,-13,60,7
9.13756108283997,1631867650.18441,-8,69,12
9.16881108283997,1631867650.21566,-2,64,23
9.20006108283997,1631867650.24691,-3,61,26
9.23131108283997,1631867650.27816,-7,56,25
9.26256108283997,1631867650.30941,-11,54,22
9.29381108283997,1631867650.34066,-14,55,15
9.45007109642029,1631867650.49692,-17,59,17
9.48132109642029,1631867650.52817,-19,61,11
9.51257109642029,1631867650.55942,-20,57,10
9.54383087158203,1631867650.59068,-20,58,7
9.57508087158203,1631867650.62193,-19,65,6
9.60633087158203,1631867650.65318,-21,70,6
9.63758087158203,1631867650.68443,-21,65,7
9.66883087158203,1631867650.71568,-20,63,7
9.82509088516235,1631867650.87194,-16,55,6
9.85634088516235,1631867650.90319,-22,60,7
10.0126008987427,1631867651.05945,-24,86,7
10.0438508987427,1631867651.0907,-16,91,5
10.0751008987427,1631867651.12195,-13,86,3
10.1063508987427,1631867651.1532,-13,64,6
10.1376008987427,1631867651.18445,-15,49,10
10.1688508987427,1631867651.2157,-13,42,17
10.200110912323,1631867651.24696,-9,51,12
10.231360912323,1631867651.27821,-6,57,8
10.262610912323,1631867651.30946,-5,69,7
10.293860912323,1631867651.34071,-10,65,10
10.325110912323,1631867651.37196,-20,52,12
10.356360912323,1631867651.40321,-23,40,11
10.387610912323,1631867651.43446,-23,40,10
10.4188709259033,1631867651.46572,-20,50,9
10.5126209259033,1631867651.55947,-6,73,9
10.5438709259033,1631867651.59072,-6,69,9
10.5751209259033,1631867651.62197,-10,58,10
10.6063709259033,1631867651.65322,-18,62,12
10.7626309394836,1631867651.80948,-12,50,3
10.7938809394836,1631867651.84073,-11,68,3
10.918890953064,1631867651.96574,-8,43,17
10.950140953064,1631867651.99699,-8,43,15
10.981390953064,1631867652.02824,-5,57,11
11.012640953064,1631867652.05949,0,78,6
11.043890953064,1631867652.09074,-1,81,5
11.0751509666443,1631867652.122,-9,66,6
11.1064009666443,1631867652.15325,-10,64,5
11.1376509666443,1631867652.1845,-11,67,-2
11.1689009666443,1631867652.21575,-19,87,-1
11.2001509666443,1631867652.247,-29,90,5
11.2314009666443,1631867652.27825,-33,66,17
11.2626509666443,1631867652.3095,-28,53,21
11.2939109802246,1631867652.34076,-10,39,23
11.3251609802246,1631867652.37201,-9,35,19
11.3564109802246,1631867652.40326,-11,35,18
11.5126709938049,1631867652.55952,-49,50,15
11.5439209938049,1631867652.59077,-41,49,15
11.7001810073853,1631867652.74703,-2,63,16
11.7314310073853,1631867652.77828,-5,58,17
11.8876810073853,1631867652.93453,-22,59,11
11.9189410209656,1631867652.96579,-17,60,11
12.0751910209656,1631867653.12204,0,70,5
12.1064410209656,1631867653.15329,-21,88,10
12.1377010345459,1631867653.18455,-35,105,19
12.1689510345459,1631867653.2158,-31,87,18
12.2002010345459,1631867653.24705,-15,44,6
12.2314510345459,1631867653.2783,-15,39,8
12.2627010345459,1631867653.30955,-3,54,10
12.2939510345459,1631867653.3408,-19,65,9
12.3252010345459,1631867653.37205,-23,64,17
12.3564610481262,1631867653.40331,-34,50,24
12.3877110481262,1631867653.43456,-37,46,23
12.4189610481262,1631867653.46581,-37,46,22
12.4502110481262,1631867653.49706,-36,45,16
12.4814610481262,1631867653.52831,-34,43,12
12.5127110481262,1631867653.55956,-26,42,12
12.5439610481262,1631867653.59081,-21,45,13
12.5752210617065,1631867653.62207,-20,78,10
12.6064710617065,1631867653.65332,-13,111,37
12.6377210617065,1631867653.68457,-23,101,30
12.6689710617065,1631867653.71582,-17,108,12
12.8252310752869,1631867653.87208,-26,49,6
12.8564810752869,1631867653.90333,-33,58,5
12.8877310752869,1631867653.93458,-25,73,7
12.9189810752869,1631867653.96583,-11,76,8
12.9502310752869,1631867653.99708,-4,71,9
12.9814810752869,1631867654.02833,4,53,14
13.0127410888672,1631867654.05959,5,46,16
13.0439910888672,1631867654.09084,1,50,11
13.2002410888672,1631867654.24709,-23,58,12
13.2315011024475,1631867654.27835,-15,62,4
13.2627511024475,1631867654.3096,-12,60,3
13.2940011024475,1631867654.34085,-7,65,16
13.3252511024475,1631867654.3721,-17,67,13
13.3565011024475,1631867654.40335,-14,71,16
13.3877511024475,1631867654.4346,-17,73,13
13.4190011024475,1631867654.46585,-20,68,11
13.5752608776093,1631867654.62211,-14,64,12
13.6065108776093,1631867654.65336,-11,65,12
13.6377608776093,1631867654.68461,-5,70,14
13.6690208911896,1631867654.71587,-2,70,15
13.7002708911896,1631867654.74712,-3,68,15
13.7315208911896,1631867654.77837,-11,62,10
13.7627708911896,1631867654.80962,-14,59,9
13.7940208911896,1631867654.84087,-19,54,8
13.8252708911896,1631867654.87212,-19,56,6
13.8565309047699,1631867654.90338,-18,57,6
13.8877809047699,1631867654.93463,-17,59,6
13.9190309047699,1631867654.96588,-17,60,7
13.9502809047699,1631867654.99713,-17,60,8
13.9815309047699,1631867655.02838,-17,60,8
14.0127809047699,1631867655.05963,-17,60,9
14.0440309047699,1631867655.09088,-16,61,11
14.0752909183502,1631867655.12214,-16,61,11
14.1065409183502,1631867655.15339,-17,63,13
14.1377909183502,1631867655.18464,-18,64,13
14.1690409183502,1631867655.21589,-18,64,13
14.2002909183502,1631867655.24714,-18,66,11
14.2315409183502,1631867655.27839,-17,65,11
14.2627909183502,1631867655.30964,-16,65,10
14.2940509319305,1631867655.3409,-16,65,9
14.3253009319305,1631867655.37215,-16,64,10
14.3565509319305,1631867655.4034,-14,61,11
14.3878009319305,1631867655.43465,-14,60,10
14.4190509319305,1631867655.4659,-13,60,10
14.4503009319305,1631867655.49715,-13,59,8
14.4815509319305,1631867655.5284,-14,60,7
14.5128109455109,1631867655.55966,-15,62,7
14.5440609455109,1631867655.59091,-16,63,7
14.5753109455109,1631867655.62216,-18,63,5
14.6065609455109,1631867655.65341,-18,64,4
14.6378109455109,1631867655.68466,-17,65,4
14.6690609455109,1631867655.71591,-12,68,4
14.7003109455109,1631867655.74716,-9,67,1
14.7315709590912,1631867655.77842,-8,63,0
14.9190709590912,1631867655.96592,4,62,18
14.9503309726715,1631867655.99718,6,67,16
14.9815809726715,1631867656.02843,-3,73,5
15.0128309726715,1631867656.05968,0,77,16
15.0440809726715,1631867656.09093,-14,73,7
15.0753309726715,1631867656.12218,-10,69,-1
15.1065809726715,1631867656.15343,-11,64,-2
15.1378309726715,1631867656.18468,-8,59,-5
15.1690909862518,1631867656.21594,-6,61,-5
15.2003409862518,1631867656.24719,-5,63,-4
15.2315909862518,1631867656.27844,-4,68,1
15.2628409862518,1631867656.30969,-5,69,3
15.2940909862518,1631867656.34094,-8,66,2
15.4503509998322,1631867656.4972,-1,80,4
15.4816009998322,1631867656.52845,-5,93,22
15.6378610134125,1631867656.68471,-20,66,7
15.6691110134125,1631867656.71596,-22,71,7
15.7003610134125,1631867656.74721,-22,75,10
15.7316110134125,1631867656.77846,-28,73,5
15.7628610134125,1631867656.80971,-33,68,1
15.7941110134125,1631867656.84096,-40,61,-5
15.8253710269928,1631867656.87222,-59,60,-18
15.8566210269928,1631867656.90347,-64,60,-21
15.8878710269928,1631867656.93472,-55,54,-27
15.9191210269928,1631867656.96597,-49,47,-32
15.9503710269928,1631867656.99722,-36,40,-29
15.9816210269928,1631867657.02847,-38,36,-30
16.0128710269928,1631867657.05972,-38,31,-23
16.0441310405731,1631867657.09098,-43,24,-21
16.0753810405731,1631867657.12223,-49,22,-18
16.1066310405731,1631867657.15348,-54,19,-20
16.1378810405731,1631867657.18473,-48,22,3
16.1691310405731,1631867657.21598,-55,27,6
16.2003810405731,1631867657.24723,-51,31,11
16.2316410541534,1631867657.27849,-45,31,13
16.2628910541534,1631867657.30974,-42,36,23
16.2941410541534,1631867657.34099,-37,32,40
16.3253910541534,1631867657.37224,-26,35,43
16.3566410541534,1631867657.40349,-43,37,37
16.3878910541534,1631867657.43474,-55,36,25
16.4191410541534,1631867657.46599,-58,32,14
16.5441510677338,1631867657.591,-40,32,18
16.5754010677338,1631867657.62225,-51,33,12
16.6066510677338,1631867657.6535,-56,35,6
16.6379010677338,1631867657.68475,-57,34,3
16.6691610813141,1631867657.71601,-57,35,-2
16.7004110813141,1631867657.74726,-58,37,-1
16.7316610813141,1631867657.77851,-55,37,1
16.7629110813141,1631867657.80976,-50,42,7
16.7941610813141,1631867657.84101,-47,46,8
16.8254110813141,1631867657.87226,-54,53,-2
16.8566610813141,1631867657.90351,-68,50,-13
16.8879210948944,1631867657.93477,-67,48,-15
16.9191710948944,1631867657.96602,-59,43,-13
16.9504210948944,1631867657.99727,-54,41,-12
16.9816710948944,1631867658.02852,-48,38,-8
17.0129210948944,1631867658.05977,-43,38,-4
17.0441710948944,1631867658.09102,-43,41,-3
17.0754210948944,1631867658.12227,-42,49,-2
17.1066808700562,1631867658.15353,-42,54,-2
17.1379308700562,1631867658.18478,-39,64,-2
17.1691808700562,1631867658.21603,-35,64,-3
17.3254408836365,1631867658.37229,-12,63,14
17.3566908836365,1631867658.40354,-10,62,14
17.5129408836365,1631867658.55979,-15,54,7
17.5442008972168,1631867658.59105,-13,62,7
17.5754508972168,1631867658.6223,-16,78,9
17.6067008972168,1631867658.65355,-19,85,10
17.6379508972168,1631867658.6848,-26,81,12
17.6692008972168,1631867658.71605,-25,72,12
17.7004508972168,1631867658.7473,-20,57,11
17.7317008972168,1631867658.77855,-16,47,10
17.7629609107971,1631867658.80981,-14,46,10
17.7942109107971,1631867658.84106,-12,46,10
17.8254609107971,1631867658.87231,-12,44,10
17.8567109107971,1631867658.90356,-13,43,10
17.8879609107971,1631867658.93481,-15,43,10
17.9192109107971,1631867658.96606,-14,52,16
17.9504609107971,1631867658.99731,-16,88,15
17.9817209243774,1631867659.02857,-43,109,-4
18.0129709243774,1631867659.05982,-65,107,-12
18.0442209243774,1631867659.09107,-80,89,-10
18.0754709243774,1631867659.12232,-73,84,3
18.1067209243774,1631867659.15357,-38,68,18
18.1379709243774,1631867659.18482,-29,45,15
18.1692209243774,1631867659.21607,-27,38,13
18.2004809379578,1631867659.24733,-25,30,11
18.2317309379578,1631867659.27858,-21,27,11
18.2629809379578,1631867659.30983,-15,26,12
18.2942309379578,1631867659.34108,-12,25,15
18.4504909515381,1631867659.49734,-38,63,17
18.4817409515381,1631867659.52859,-37,69,21
18.6380009651184,1631867659.68485,-91,54,-2
18.6692509651184,1631867659.7161,-29,40,14
18.7005009651184,1631867659.74735,-25,35,3
18.7317509651184,1631867659.7786,-20,34,4
18.7630009651184,1631867659.80985,-28,36,1
18.7942509651184,1631867659.8411,-31,37,-1
18.8255009651184,1631867659.87235,-35,41,-4
18.8567609786987,1631867659.90361,-43,56,-6
18.8880109786987,1631867659.93486,-57,72,-8
18.9192609786987,1631867659.96611,-50,100,4
18.9505109786987,1631867659.99736,-37,105,14
18.9817609786987,1631867660.02861,-26,95,34
19.0130109786987,1631867660.05986,-30,82,37
19.0442709922791,1631867660.09112,-37,72,32
19.2005209922791,1631867660.24737,-25,19,15
19.2317709922791,1631867660.27862,-25,17,13
