Time,Performance
15.0482,-1
15.17043,-1
15.28074,-1
15.38871,-1
15.50642,-1
15.61416,-1
15.72809,-1
15.84398,-1
15.95476,-1
16.06301,-1
16.1723,-1
16.28125,-1
16.40266,-1
16.51733,-1
16.62738,-1
16.73586,-1
16.8469,-1
16.95977,-1
17.06919,-1
17.18114,-1
17.30284,-1
17.41233,-1
17.5246,-1
17.63667,-1
17.74801,-1
17.86265,-1
17.97428,-1
18.08625,-1
18.21302,-1
18.33188,-1
18.44655,-1
18.55721,-1
18.67286,-1
18.78759,-1
18.89956,-1
19.01354,-1
19.13826,-1
19.25599,-1
19.37003,-1
19.48438,-1
19.60372,-1
19.7199,-1
19.83362,-1
19.94705,-1
20.07569,-1
20.19519,-1
20.31056,-1
20.43227,-1
20.55042,-1
20.66863,-1
20.79047,-1
20.90782,-1
21.03515,-1
21.15253,-1
21.2722,-1
21.39112,-1
21.51516,-1
21.63718,-1
21.75464,-1
21.87468,-1
22.00455,-1
22.12403,-1
22.24208,-1
22.36337,-1
22.48409,-1
22.60431,-1
22.72277,-1
22.84708,-1
22.97526,-1
23.09392,-1
23.21422,-1
23.33658,-1
23.45726,-1
23.57758,-1
23.69631,-1
23.81721,-1
23.94841,-1
24.07053,-1
24.18984,-1
24.31112,-1
24.43364,-1
24.55606,-1
24.68054,-1
24.80314,-1
24.93818,-1
25.06137,-1
25.18961,-1
25.3135,-1
25.43826,-1
25.56179,-1
25.68865,-1
25.81306,-1
25.94532,-1
26.06894,-1
26.19388,-1
26.32134,-1
26.44708,-1
26.57516,-1
26.70827,-1
26.84159,-1
26.98184,-1
27.11102,-1
27.238,-1
27.37056,-1
27.50198,-1
27.63516,-1
27.76538,-1
27.89629,-1
28.0393,-1
28.17089,-1
28.30011,-1
28.43006,-1
28.5628,-1
28.692,-1
28.82027,-1
28.94879,-1
29.08908,-1
29.22463,-1
29.35524,-1
29.48543,-1
29.61605,-1
29.74752,-1
29.87823,-1
30.01054,-1
30.15361,-1
30.28612,-1
30.41651,-1
30.54722,-1
30.68882,-1
30.82278,-1
30.97035,-1
31.10637,-1
31.2425,-1
31.3773,-1
31.50916,-1
31.64269,-1
31.77866,-1
31.91429,-1
32.04673,-1
32.1825,-1
32.31947,-1
32.4539,-1
32.59982,-1
32.73544,-1
32.87392,-1
33.00864,-1
33.14289,-1
33.28252,-1
33.42173,-1
33.55927,-1
33.69625,-1
33.83438,-1
33.97828,-1
34.11986,-1
34.27708,-1
34.41708,-1
34.55848,-1
34.71783,-1
34.86024,-1
35.00104,-1
35.14392,-1
35.29318,-1
35.44087,-1
35.59871,-1
35.74269,-1
35.88781,-1
36.03192,-1
36.17825,-1
36.32259,-1
36.4667,-1
36.61668,-1
36.77187,-1
36.92448,-1
37.07823,-1
37.22502,-1
37.3723,-1
37.52683,-1
37.68164,-1
37.83349,-1
37.98571,-1
38.146,-1
38.29311,-1
38.43702,-1
38.57892,-1
38.72364,-1
38.87043,-1
39.01385,-1
39.15709,-1
39.30511,-1
39.45073,-1
39.60839,-1
39.75372,-1
39.9005,-1
40.04872,-1
40.2,-1
40.34962,-1
40.49575,-1
40.64188,-1
40.78907,-1
40.94893,-1
41.09737,-1
41.2444,-1
41.39301,-1
41.54259,-1
41.70042,-1
