Time,UnixTime,Acc_X,Acc_Y,Acc_Z
14.948561668396,1632542337.73539,-9,61,12
15.1360716819763,1632542337.9229,-10,61,9
15.3235816955566,1632542338.11041,-14,65,9
15.479841709137,1632542338.26667,-12,65,9
15.511091709137,1632542338.29792,-12,65,9
15.6986017227173,1632542338.48543,-12,62,4
15.8861017227173,1632542338.67293,-10,63,6
16.0736117362976,1632542338.86044,-8,63,9
16.1048617362976,1632542338.89169,-9,63,8
16.1361217498779,1632542338.92295,-9,62,8
16.1673717498779,1632542338.9542,-11,62,7
16.1986217498779,1632542338.98545,-11,62,7
16.2298717498779,1632542339.0167,-12,62,7
16.2611217498779,1632542339.04795,-12,62,6
16.2923717498779,1632542339.0792,-12,62,6
16.3236217498779,1632542339.11045,-12,61,6
16.3548817634583,1632542339.14171,-13,61,6
16.3861317634583,1632542339.17296,-14,62,6
16.4173817634583,1632542339.20421,-13,62,8
16.4486317634583,1632542339.23546,-11,64,8
16.6048917770386,1632542339.39172,-13,62,9
16.6361417770386,1632542339.42297,-12,62,10
16.7924017906189,1632542339.57923,-10,62,10
16.8236517906189,1632542339.61048,-10,61,9
16.8549017906189,1632542339.64173,-11,61,8
16.8861517906189,1632542339.67298,-12,61,8
16.9174017906189,1632542339.70423,-12,62,9
16.9486517906189,1632542339.73548,-11,62,8
16.9799017906189,1632542339.76673,-11,63,8
17.0111618041992,1632542339.79799,-12,64,7
17.1674118041992,1632542339.95424,-16,64,8
17.1986618041992,1632542339.98549,-16,63,9
17.3549218177795,1632542340.14175,-7,66,6
17.3861718177795,1632542340.173,-10,67,8
17.5736818313599,1632542340.36051,-10,62,7
17.7299416065216,1632542340.51677,-12,62,8
17.7611916065216,1632542340.54802,-14,62,5
17.9174516201019,1632542340.70428,-5,63,3
17.9487016201019,1632542340.73553,-3,63,4
17.9799516201019,1632542340.76678,-3,65,6
18.0112016201019,1632542340.79803,-7,65,5
18.0424516201019,1632542340.82928,-9,66,5
18.0737116336823,1632542340.86054,-8,65,2
18.1049616336823,1632542340.89179,-11,66,2
18.1362116336823,1632542340.92304,-8,66,5
18.2612116336823,1632542341.04804,-14,58,7
18.2924716472626,1632542341.0793,-11,57,5
18.3237216472626,1632542341.11055,-10,59,6
18.4799716472626,1632542341.2668,-10,68,11
18.5112316608429,1632542341.29806,-9,64,9
18.5424816608429,1632542341.32931,-11,64,7
18.5737316608429,1632542341.36056,-10,61,4
18.6049816608429,1632542341.39181,-10,61,2
18.6362316608429,1632542341.42306,-9,61,3
18.6674816608429,1632542341.45431,-11,61,4
18.6987316608429,1632542341.48556,-13,60,2
18.7299916744232,1632542341.51682,-14,60,2
18.7612416744232,1632542341.54807,-13,61,2
18.7924916744232,1632542341.57932,-8,63,4
18.8237416744232,1632542341.61057,0,66,11
18.8549916744232,1632542341.64182,0,66,13
18.8862416744232,1632542341.67307,-4,65,11
18.9174916744232,1632542341.70432,-13,64,3
18.9487516880035,1632542341.73558,-16,63,1
18.9800016880035,1632542341.76683,-18,63,0
19.0112516880035,1632542341.79808,-19,62,-1
19.0425016880035,1632542341.82933,-19,61,-1
19.0737516880035,1632542341.86058,-19,60,-1
19.1050016880035,1632542341.89183,-21,62,0
19.1362516880035,1632542341.92308,-22,59,-2
19.1675117015839,1632542341.95434,-24,61,-4
19.1987617015839,1632542341.98559,-25,63,-4
19.2300117015839,1632542342.01684,-24,66,-4
19.2612617015839,1632542342.04809,-11,65,-1
19.2925117015839,1632542342.07934,-20,66,-8
19.3237617015839,1632542342.11059,-18,64,-2
19.3550117015839,1632542342.14184,-15,68,0
19.3862717151642,1632542342.1731,-11,61,-1
