Time,UnixTime,Acc_X,Acc_Y,Acc_Z
-0.171958684921265,1632543392.90296,-24,64,-7
-0.140698671340942,1632543392.93422,-27,58,-6
-0.109448671340942,1632543392.96547,-24,55,5
-0.0781986713409424,1632543392.99672,-24,55,11
-0.0469486713409424,1632543393.02797,-32,59,0
-0.0156986713409424,1632543393.05922,-34,57,-4
0.10931134223938,1632543393.18423,-6,63,17
0.14056134223938,1632543393.21548,-13,64,12
0.17181134223938,1632543393.24673,-22,62,5
0.328071355819702,1632543393.40299,-25,58,4
0.359321355819702,1632543393.43424,-27,61,10
0.390571355819702,1632543393.46549,-21,60,12
0.421821355819702,1632543393.49674,-25,61,8
0.453071355819702,1632543393.52799,-25,62,8
0.484321355819702,1632543393.55924,-25,61,6
0.515581369400024,1632543393.5905,-21,59,7
0.546831369400024,1632543393.62175,-23,58,8
0.578081369400024,1632543393.653,-21,56,9
0.609331369400024,1632543393.68425,-25,59,7
0.640581369400024,1632543393.7155,-20,61,8
0.671831369400024,1632543393.74675,-23,60,6
0.703081369400024,1632543393.778,-21,60,6
0.734341144561768,1632543393.80926,-21,60,7
0.765591144561768,1632543393.84051,-19,61,7
0.796841144561768,1632543393.87176,-21,60,6
0.828091144561768,1632543393.90301,-19,61,7
0.859341144561768,1632543393.93426,-23,61,6
0.890591144561768,1632543393.96551,-23,61,6
0.921841144561768,1632543393.99676,-21,61,8
0.95310115814209,1632543394.02802,-22,60,8
0.98435115814209,1632543394.05927,-18,59,9
1.01560115814209,1632543394.09052,-20,61,9
1.04685115814209,1632543394.12177,-22,59,6
1.07810115814209,1632543394.15302,-22,60,8
1.10935115814209,1632543394.18427,-18,60,8
1.14060115814209,1632543394.21552,-19,60,7
1.17186117172241,1632543394.24678,-16,61,10
1.20311117172241,1632543394.27803,-18,62,10
1.23436117172241,1632543394.30928,-18,60,10
1.26561117172241,1632543394.34053,-17,61,10
1.29686117172241,1632543394.37178,-16,61,10
1.32811117172241,1632543394.40303,-18,62,10
1.35936117172241,1632543394.43428,-19,63,11
1.39062118530273,1632543394.46554,-22,62,12
1.42187118530273,1632543394.49679,-23,59,7
1.45312118530273,1632543394.52804,-17,60,3
1.48437118530273,1632543394.55929,-21,61,-3
1.64063119888306,1632543394.71555,-17,63,4
1.67188119888306,1632543394.7468,-19,63,6
1.70313119888306,1632543394.77805,-16,62,7
1.73438119888306,1632543394.8093,-20,62,5
1.76563119888306,1632543394.84055,-19,61,5
1.79689121246338,1632543394.87181,-17,60,5
1.82814121246338,1632543394.90306,-17,61,3
1.85939121246338,1632543394.93431,-17,60,0
2.0156512260437,1632543395.09057,-19,62,-1
2.0469012260437,1632543395.12182,-23,62,-2
2.2031512260437,1632543395.27807,-21,61,0
2.23441123962402,1632543395.30933,-22,61,-2
2.26566123962402,1632543395.34058,-27,61,-4
2.29691123962402,1632543395.37183,-23,60,-3
2.32816123962402,1632543395.40308,-22,59,-3
2.35941123962402,1632543395.43433,-24,59,-3
2.39066123962402,1632543395.46558,-26,60,-3
2.42191123962402,1632543395.49683,-25,61,2
2.54692125320435,1632543395.62184,-41,63,-3
2.57817125320435,1632543395.65309,-51,60,-10
2.60942125320435,1632543395.68434,-64,59,-18
2.76568126678467,1632543395.8406,-19,55,24
2.79693126678467,1632543395.87185,-18,57,26
2.82818126678467,1632543395.9031,-19,61,27
2.85943126678467,1632543395.93435,-19,59,24
2.89069128036499,1632543395.96561,-14,55,26
2.92194128036499,1632543395.99686,0,47,33
2.95319128036499,1632543396.02811,19,53,0
2.98444128036499,1632543396.05936,-24,35,48
3.14070129394531,1632543396.21562,-11,58,34
3.17195129394531,1632543396.24687,-1,52,34
3.32821130752563,1632543396.40313,-17,54,30
3.35946130752563,1632543396.43438,-7,53,36
3.48446130752563,1632543396.55938,-26,58,27
3.51571130752563,1632543396.59063,-6,58,38
3.54697132110596,1632543396.62189,-36,56,4
3.70322132110596,1632543396.77814,-48,42,-26
3.73447132110596,1632543396.80939,-38,46,-19
3.89073133468628,1632543396.96565,-40,50,-21
3.92198133468628,1632543396.9969,-45,39,-25
3.9532413482666,1632543397.02816,-47,41,-17
3.9844913482666,1632543397.05941,-48,40,-14
4.0157413482666,1632543397.09066,-46,39,-10
4.0469913482666,1632543397.12191,-37,53,6
4.0782413482666,1632543397.15316,-47,53,-1
4.1094913482666,1632543397.18441,-61,45,-10
4.29700136184692,1632543397.37192,-37,50,-8
4.32825136184692,1632543397.40317,-41,50,-11
4.35950136184692,1632543397.43442,-42,50,-8
4.39076113700867,1632543397.46568,-42,50,-9
4.42201113700867,1632543397.49693,-43,51,-9
4.45326113700867,1632543397.52818,-36,49,-3
4.48451113700867,1632543397.55943,-35,49,-3
4.51576113700867,1632543397.59068,-40,47,-5
4.54701113700867,1632543397.62193,-37,46,-3
4.57826113700867,1632543397.65318,-38,46,-3
4.60952115058899,1632543397.68444,-34,46,0
4.64077115058899,1632543397.71569,-36,49,-3
4.67202115058899,1632543397.74694,-49,53,-14
4.82828116416931,1632543397.9032,-50,41,-2
4.85953116416931,1632543397.93445,-47,45,-18
4.89078116416931,1632543397.9657,-44,43,-21
4.92203116416931,1632543397.99695,-37,38,-3
4.95328116416931,1632543398.0282,-34,38,2
4.98453116416931,1632543398.05945,-55,41,-13
5.01578116416931,1632543398.0907,-65,52,3
5.04704117774963,1632543398.12196,-44,44,5
5.07829117774963,1632543398.15321,-36,51,21
5.10954117774963,1632543398.18446,-48,55,13
5.14079117774963,1632543398.21571,-51,46,4
5.17204117774963,1632543398.24696,-33,46,19
5.20329117774963,1632543398.27821,-35,43,21
5.23454117774963,1632543398.30946,-28,58,34
5.26580119132996,1632543398.34072,-38,43,21
5.29705119132996,1632543398.37197,-34,47,20
5.32830119132996,1632543398.40322,-31,48,17
5.35955119132996,1632543398.43447,-35,53,28
5.39080119132996,1632543398.46572,-28,43,35
5.42205119132996,1632543398.49697,-17,47,17
5.57831120491028,1632543398.65323,-10,51,37
5.60956120491028,1632543398.68448,-6,54,38
5.64081120491028,1632543398.71573,-19,55,35
5.67206120491028,1632543398.74698,-19,56,38
5.7033212184906,1632543398.77824,-16,50,34
5.7345712184906,1632543398.80949,-11,50,38
5.7658212184906,1632543398.84074,-6,49,37
5.7970712184906,1632543398.87199,-6,52,38
5.8283212184906,1632543398.90324,-10,53,37
5.8595712184906,1632543398.93449,-13,51,35
5.8908212184906,1632543398.96574,-13,51,34
5.92208123207092,1632543398.997,-13,52,34
5.95333123207092,1632543399.02825,-11,52,35
5.98458123207092,1632543399.0595,-15,52,33
6.01583123207092,1632543399.09075,-14,52,33
6.04708123207092,1632543399.122,-13,52,32
6.07833123207092,1632543399.15325,-10,52,33
6.10958123207092,1632543399.1845,-12,53,32
6.14084124565125,1632543399.21576,-13,54,35
6.17209124565125,1632543399.24701,-14,54,35
6.20334124565125,1632543399.27826,-13,52,35
6.23459124565125,1632543399.30951,-15,53,36
6.26584124565125,1632543399.34076,-13,51,34
6.29709124565125,1632543399.37201,-12,53,35
6.32835125923157,1632543399.40327,-14,53,34
6.35960125923157,1632543399.43452,-15,52,31
6.39085125923157,1632543399.46577,-15,52,31
6.42210125923157,1632543399.49702,-15,53,32
6.45335125923157,1632543399.52827,-16,53,30
6.48460125923157,1632543399.55952,-16,54,31
6.51585125923157,1632543399.59077,-16,54,32
6.54711127281189,1632543399.62203,-18,52,29
6.67211127281189,1632543399.74703,-19,51,29
6.70336127281189,1632543399.77828,-14,57,31
6.73461127281189,1632543399.80953,-14,57,30
6.89087128639221,1632543399.96579,-9,57,26
6.92212128639221,1632543399.99704,-8,56,24
7.07838129997253,1632543400.1533,-12,54,28
7.10963129997253,1632543400.18455,-18,56,25
7.23464131355286,1632543400.30956,-14,57,27
7.26589131355286,1632543400.34081,-18,58,26
7.29714131355286,1632543400.37206,-19,57,24
7.42215132713318,1632543400.49707,-21,55,24
7.45340132713318,1632543400.52832,-19,55,27
7.48465132713318,1632543400.55957,-15,57,28
7.51590132713318,1632543400.59082,-12,58,28
7.54715132713318,1632543400.62207,-11,58,32
7.57840132713318,1632543400.65332,-16,56,31
7.60965132713318,1632543400.68457,-18,56,34
7.6409113407135,1632543400.71583,-20,56,34
7.6721613407135,1632543400.74708,-21,55,26
7.8284113407135,1632543400.90333,-15,52,31
7.85967135429382,1632543400.93459,-17,53,27
7.98467135429382,1632543401.05959,-11,55,43
8.01592135429382,1632543401.09084,-18,55,36
8.04717135429382,1632543401.12209,-11,52,26
8.07843136787415,1632543401.15335,-18,53,26
8.10968136787415,1632543401.1846,-15,54,31
8.14093136787415,1632543401.21585,-15,52,28
8.17218136787415,1632543401.2471,-20,52,26
8.20343136787415,1632543401.27835,-23,54,29
8.23468136787415,1632543401.3096,-20,55,32
8.26593136787415,1632543401.34085,-23,58,32
8.29719114303589,1632543401.37211,-18,59,36
8.32844114303589,1632543401.40336,-20,56,36
8.35969114303589,1632543401.43461,-17,51,31
8.39094114303589,1632543401.46586,-18,48,27
8.42219114303589,1632543401.49711,-17,47,28
8.60970115661621,1632543401.68462,-16,52,34
8.64095115661621,1632543401.71587,-15,51,36
8.67220115661621,1632543401.74712,-15,51,36
8.70345115661621,1632543401.77837,-13,51,36
8.73471117019653,1632543401.80963,-14,52,36
8.76596117019653,1632543401.84088,-15,52,34
8.79721117019653,1632543401.87213,-14,51,33
8.95347118377686,1632543402.02839,-21,52,37
8.98472118377686,1632543402.05964,-28,54,35
9.01597118377686,1632543402.09089,-6,49,37
9.04722118377686,1632543402.12214,-1,48,35
9.07847118377686,1632543402.15339,-16,47,34
9.10972118377686,1632543402.18464,-5,51,39
9.14098119735718,1632543402.2159,-4,53,40
9.17223119735718,1632543402.24715,-8,55,36
9.32848119735718,1632543402.4034,-11,49,38
9.3597412109375,1632543402.43466,-10,50,38
9.5159912109375,1632543402.59091,-14,51,37
9.5472412109375,1632543402.62216,-13,50,36
9.70350122451782,1632543402.77842,-16,50,37
9.73475122451782,1632543402.80967,-17,49,35
9.76600122451782,1632543402.84092,-16,50,37
9.79726123809814,1632543402.87218,-17,49,37
9.82851123809814,1632543402.90343,-13,50,43
9.85976123809814,1632543402.93468,-15,49,41
9.89101123809814,1632543402.96593,-13,45,36
9.92226123809814,1632543402.99718,-14,45,32
9.95351123809814,1632543403.02843,-20,50,32
9.98476123809814,1632543403.05968,-17,50,36
10.0160212516785,1632543403.09094,-13,49,36
10.0472712516785,1632543403.12219,-10,50,35
10.0785212516785,1632543403.15344,-36,52,31
10.1097712516785,1632543403.18469,-34,50,33
10.1410212516785,1632543403.21594,-22,48,36
10.1722712516785,1632543403.24719,-19,47,37
10.2035212516785,1632543403.27844,17,45,36
10.2347812652588,1632543403.3097,0,57,8
10.2660312652588,1632543403.34095,-26,61,-4
10.2972812652588,1632543403.3722,-15,61,1
10.3285312652588,1632543403.40345,-23,66,-8
10.3597812652588,1632543403.4347,-24,65,-18
10.3910312652588,1632543403.46595,-32,71,-14
10.4222812652588,1632543403.4972,-34,74,-14
10.4535412788391,1632543403.52846,-30,72,-9
10.4847912788391,1632543403.55971,-29,73,-8
10.6410412788391,1632543403.71596,-26,67,-2
10.6723012924194,1632543403.74722,-28,68,-3
10.7035512924194,1632543403.77847,-32,66,-3
10.7348012924194,1632543403.80972,-31,65,-4
10.7660512924194,1632543403.84097,-27,51,-3
10.7973012924194,1632543403.87222,-29,29,3
10.8285512924194,1632543403.90347,-24,20,7
10.8598012924194,1632543403.93472,-32,15,7
10.8910613059998,1632543403.96598,-36,11,-1
10.9223113059998,1632543403.99723,-43,16,-16
10.9535613059998,1632543404.02848,-45,52,-4
10.9848113059998,1632543404.05973,-64,83,-5
11.0160613059998,1632543404.09098,-123,127,-51
