Time,Performance
10.63525,-1
10.70842,-1
10.79612,-1
10.89766,-1
10.96976,-1
11.03439,-1
11.12115,-1
11.18097,-1
11.29858,-1
11.38361,-1
11.48094,-1
11.56124,-1
11.66823,-1
11.77474,-1
11.8716,-1
11.98044,-1
12.08835,-1
12.19619,-1
12.30324,-1
12.4127,-1
12.52066,-1
12.63076,-1
12.73946,-1
12.84972,-1
12.95978,-1
13.06726,-1
13.17404,-1
13.28007,-1
13.38484,-1
13.49146,-1
13.59744,-1
13.7132,-1
13.82253,-1
13.92888,-1
14.04041,-1
14.15164,-1
14.2636,-1
14.37479,-1
14.48668,-1
14.59919,-1
14.70806,-1
14.81878,-1
14.92805,-1
15.0378,-1
15.14762,-1
15.25735,-1
15.36555,-1
15.47452,-1
15.58446,-1
15.69911,-1
15.82403,-1
15.93698,-1
16.05038,-1
16.15951,-1
16.27003,-1
16.37907,-1
16.48912,-1
16.5992,-1
16.70868,-1
16.81931,-1
16.92978,-1
17.03971,-1
17.15049,-1
17.26187,-1
17.37274,-1
17.48289,-1
17.59612,-1
17.71112,-1
17.82533,-1
17.93738,-1
18.05001,-1
18.163,-1
18.27547,-1
18.38865,-1
18.50308,-1
18.61704,-1
18.73606,-1
18.85552,-1
18.97305,-1
19.09236,-1
19.20665,-1
19.32323,-1
19.4375,-1
19.55208,-1
19.66936,-1
19.78929,-1
19.90486,-1
20.02013,-1
20.13677,-1
20.25413,-1
20.37244,-1
20.48964,-1
20.63085,-1
20.75226,-1
20.87307,-1
20.99685,-1
21.1204,-1
21.24109,-1
21.36209,-1
21.48012,-1
21.60154,-1
21.72516,-1
21.84606,-1
21.96617,-1
22.09017,-1
22.21385,-1
22.33803,-1
22.45944,-1
22.58167,-1
22.70498,-1
22.8276,-1
22.9486,-1
23.07292,-1
23.20005,-1
23.32747,-1
23.45419,-1
23.579,-1
23.70533,-1
23.83102,-1
23.95408,-1
24.07798,-1
24.2034,-1
24.33043,-1
24.46021,-1
24.58519,-1
24.71445,-1
24.84016,-1
24.96428,-1
25.0922,-1
25.21858,-1
25.34275,-1
25.46667,-1
25.61071,-1
25.73948,-1
25.86571,-1
25.99166,-1
26.12335,-1
26.25047,-1
26.37772,-1
26.5033,-1
26.635,-1
26.76572,-1
26.89455,-1
27.022,-1
27.1517,-1
27.28244,-1
27.41138,-1
27.54008,-1
27.67286,-1
27.81033,-1
27.9419,-1
28.07864,-1
28.21682,-1
28.34955,-1
28.47996,-1
28.61215,-1
28.74394,-1
28.87723,-1
29.00919,-1
29.14202,-1
29.276,-1
29.41284,-1
29.54604,-1
29.6799,-1
29.82802,-1
29.96526,-1
30.1038,-1
30.24623,-1
30.3866,-1
30.52656,-1
30.664,-1
30.82273,-1
30.9589,-1
31.09898,-1
31.23875,-1
31.3793,-1
31.51969,-1
31.66439,-1
31.80931,-1
31.94841,-1
32.08694,-1
32.23241,-1
32.37807,-1
32.52122,-1
32.66418,-1
32.81075,-1
32.9523,-1
33.08948,-1
33.2261,-1
33.36291,-1
33.50343,-1
33.64159,-1
33.78131,-1
33.91853,-1
34.05807,-1
34.19595,-1
34.33302,-1
34.4702,-1
34.6118,-1
34.7546,-1
34.89917,-1
35.03888,-1
35.18068,-1
35.32002,-1
35.45869,-1
35.5992,-1
35.74372,-1
35.88555,-1
36.04473,-1
36.18638,-1
36.32695,-1
36.47269,-1
36.61347,-1
36.75335,-1
36.89516,-1
37.04028,-1
37.18227,-1
37.3226,-1
37.47227,1
37.62838,1
37.77997,1
37.93684,1
38.09249,1
38.25194,1
38.40958,1
38.56809,1
38.72097,1
38.87763,1
39.02701,1
39.18195,1
39.33087,1
39.48389,1
39.63721,1
39.79556,1
39.95583,1
40.11399,1
40.27326,1
40.43319,1
40.59007,1
40.74167,1
40.8984,1
41.05389,1
41.20459,1
41.35498,1
41.50502,1
41.67589,1
41.83109,1
41.98422,1
42.13592,1
42.28863,1
42.44146,1
42.59328,1
42.74598,1
42.89789,1
43.05439,1
43.20915,1
43.36436,1
43.52,1
43.67381,1
43.8318,1
43.9881,1
44.14336,1
44.2973,1
44.45204,1
44.60763,1
44.76462,1
44.93112,1
45.0982,1
45.26686,1
45.43914,1
45.61012,1
45.78316,1
45.95158,1
46.12442,1
46.29662,1
46.47033,1
46.64426,1
46.81698,1
46.9827,1
47.15165,1
47.32423,1
47.49629,1
47.69596,1
47.86877,1
48.03938,1
48.20888,1
48.37424,1
48.53567,1
48.69939,1
48.86159,1
49.02367,1
49.18676,1
49.35,1
49.51448,1
49.67938,1
49.84919,1
50.01245,1
50.17576,1
50.34038,1
50.50649,1
50.67055,1
50.83605,1
51.00189,1
51.17007,1
51.33791,1
51.50645,1
51.67313,1
51.84529,1
52.01266,1
52.17978,1
52.34603,1
52.51344,1
52.68113,1
52.85015,1
53.02001,1
53.19044,1
53.36002,1
53.52982,1
53.70184,1
53.87718,1
54.06874,1
54.23942,1
54.41829,1
54.59377,1
54.76604,1
54.94162,1
55.1153,1
55.29624,1
55.48582,1
55.66928,1
55.85612,1
56.04216,1
56.22202,1
56.40525,1
56.58989,1
56.77505,1
56.95953,1
57.14219,1
57.32232,1
57.49912,1
57.67722,1
57.85555,1
58.03084,1
58.20795,1
58.38459,1
58.56227,1
58.74052,1
58.91706,1
59.09603,1
59.27322,1
59.45111,1
59.62912,1
59.81127,1
59.99122,1
60.1718,1
60.35229,1
60.53218,1
60.73281,1
60.91206,1
61.09318,1
61.27456,1
61.46172,1
61.6501,1
61.84596,1
62.04366,1
62.24207,1
62.44518,1
62.64939,1
62.84463,1
63.0393,1
63.23444,1
63.42939,1
63.6218,1
63.81773,1
64.01342,1
64.21291,1
64.40993,1
64.60596,1
64.80514,1
65.00445,1
65.20264,1
65.39853,1
65.59229,1
65.78591,1
65.9775,1
66.1665,1
66.35704,1
66.54454,1
66.7337,1
66.9231,1
67.11362,1
67.30476,1
67.49614,1
67.71275,1
67.90823,1
68.10336,1
68.29931,1
68.49387,1
68.68835,1
68.88727,1
69.08586,1
69.2925,1
69.50256,1
69.70341,1
69.91209,1
70.1156,1
70.32369,1
70.53164,1
70.74567,1
70.95466,1
71.16682,1
71.38099,1
71.58669,1
71.79453,1
72.00509,1
72.21116,1
72.42018,1
72.6331,1
72.84173,1
73.0448,1
73.25449,1
73.45815,1
73.65868,1
73.86394,1
74.06471,1
74.26672,1
74.46986,1
74.6724,1
74.87562,1
75.07954,1
75.30613,1
75.51234,1
75.7183,1
75.92634,1
76.13071,1
76.33839,1
76.54385,1
76.7537,1
76.96063,1
77.1664,1
77.37267,1
77.57994,1
77.79275,1
78.00119,1
78.21704,1
78.43799,1
78.66534,1
78.8892,1
79.11094,1
79.33048,1
79.5532,1
79.77515,1
80.0071,1
80.23945,1
80.4603,1
80.68351,1
80.9185,1
81.13983,1
81.35735,1
81.58157,1
81.80399,1
82.03546,1
82.2506,1
82.46564,1
82.68348,1
82.8983,1
83.14169,1
83.35647,1
83.57268,1
83.79011,1
84.00764,1
84.22326,1
84.43916,1
84.65601,1
84.87471,1
85.09343,1
85.31198,1
85.53017,1
85.75153,1
85.97607,1
86.19566,1
86.41619,1
86.64386,1
86.88483,1
87.1189,1
87.36176,1
87.60956,1
87.85303,1
88.09569,1
88.33115,1
88.56982,1
88.80499,1
89.03616,1
89.27718,1
89.51527,1
89.75812,1
90.00156,1
90.24535,1
90.48693,1
90.72964,1
90.97359,1
91.20988,1
91.46581,1
91.69521,1
91.93067,1
92.16331,1
92.39323,1
92.62803,1
92.8636,1
93.09805,1
93.33353,1
93.56558,1
93.80097,1
94.04118,1
94.2773,1
94.51447,1
94.74973,1
94.98576,1
95.22066,1
95.46647,1
95.72115,1
95.97619,1
96.22462,1
96.47642,1
96.73092,1
96.97881,1
97.23188,1
97.47867,1
97.73086,1
97.98594,1
98.23884,1
98.49114,1
98.73933,1
98.99589,1
99.25205,1
99.50494,1
99.75228,1
99.997,1
100.2636,1
100.5053,1
100.7473,1
100.9939,1
101.2394,1
101.4809,1
101.7261,1
101.9757,1
102.2193,1
102.4643,1
102.7061,1
102.9541,1
103.1973,1
103.4432,1
103.6905,1
103.9424,1
104.1885,1
104.4359,1
104.6799,1
104.931,1
105.1755,1
105.4221,1
105.6766,1
105.9426,1
106.2036,1
106.4716,1
106.729,1
106.9872,1
107.2462,1
107.5076,1
107.7705,1
108.038,1
108.3049,1
108.577,1
108.8439,1
109.1055,1
109.3893,1
109.6569,1
109.9181,1
110.1742,1
110.4273,1
110.6817,1
110.9368,1
111.195,1
111.45,1
111.7073,1
111.9689,1
112.2282,1
112.4845,1
112.7436,1
113.0002,1
113.2572,1
113.5122,1
113.7709,1
114.0379,1
114.3056,1
114.5832,1
114.8647,1
115.1407,1
115.4169,1
115.6925,1
115.9746,1
116.2489,1
116.5263,1
116.7986,1
117.0651,1
117.3269,1
117.5944,1
117.8587,1
118.1242,1
118.3875,1
118.6561,1
118.9466,1
119.2161,1
119.4806,1
119.7471,1
120.0149,1
120.2812,1
120.5474,1
120.819,1
121.0841,1
121.357,1
121.6352,1
121.9281,1
122.2143,1
122.5033,1
122.7858,1
123.0767,1
123.3665,1
123.6565,1
123.9436,1
124.2301,1
124.5148,1
124.8079,1
125.0934,1
125.3776,1
125.6608,1
125.9418,1
126.2182,1
126.4956,1
126.7741,1
127.0532,1
127.3278,1
127.6043,1
127.8804,1
128.1604,1
128.4389,1
128.7464,1
129.0283,1
129.3124,1
129.5972,1
129.8866,1
130.1701,1
130.4674,1
130.7665,1
131.0635,1
131.3628,1
131.6609,1
131.9651,1
132.2666,1
132.5571,1
132.8558,1
133.1539,1
133.4532,1
133.7503,1
134.0611,1
134.3552,1
134.6591,1
134.9584,1
135.2509,1
135.5415,1
135.8313,1
136.1231,1
136.4154,1
136.7116,1
137.0029,1
137.2964,1
137.5898,1
137.8867,1
138.1852,1
138.4753,1
138.7688,1
139.0641,1
139.3998,1
139.7081,1
140.0241,1
140.328,1
140.634,1
140.9431,1
141.262,1
141.57,1
141.8806,1
142.1968,1
142.5092,1
142.8232,1
143.1351,1
143.4356,1
143.7346,1
144.042,1
144.3442,1
144.6436,1
144.9502,1
145.2527,1
145.5577,1
145.864,1
146.1715,1
146.4768,1
146.7879,1
147.095,1
147.4026,1
147.7071,1
148.0233,1
148.3486,1
148.6845,1
149.0003,1
149.327,1
149.6439,1
149.9787,1
150.3356,1
150.6581,1
150.9862,1
151.3127,1
151.6373,1
151.9662,1
152.2825,1
152.6001,1
152.9129,1
153.2311,1
153.543,1
153.8612,1
154.182,1
154.499,1
154.8132,1
155.1324,1
155.4546,1
155.7754,1
156.0993,1
156.4191,1
156.7415,1
157.0738,1
157.4142,1
157.7531,1
158.0914,1
158.4234,1
158.7612,1
159.094,1
159.4252,1
159.7645,1
160.1009,1
160.4383,1
160.7718,1
161.1033,1
161.4327,1
161.7951,1
162.1277,1
162.4612,1
162.7924,1
163.1254,1
163.453,1
163.7825,1
164.1179,1
164.4504,1
164.7783,1
165.114,1
165.4457,1
165.786,1
166.1415,1
166.4993,1
166.8522,1
