Time,UnixTime,Acc_X,Acc_Y,Acc_Z
0.184266090393066,1631168107.44749,45,2,11
0.215516090393066,1631168107.47874,46,18,6
0.246766090393066,1631168107.50999,33,56,-13
0.278016090393066,1631168107.54124,11,48,-19
0.309266090393066,1631168107.57249,23,33,-7
0.340516090393066,1631168107.60374,31,29,21
0.496776103973389,1631168107.76,53,68,9
0.528026103973389,1631168107.79125,53,49,-13
0.684286117553711,1631168107.94751,12,51,-2
0.715536117553711,1631168107.97876,22,44,5
0.871796131134033,1631168108.13502,31,52,12
0.903046131134033,1631168108.16627,33,49,14
1.05930614471436,1631168108.32253,57,59,2
1.09055614471436,1631168108.35378,59,46,14
1.12180614471436,1631168108.38503,38,47,22
1.15305614471436,1631168108.41628,36,57,14
1.18430614471436,1631168108.44753,25,67,8
1.21555614471436,1631168108.47878,1,74,-4
1.24681615829468,1631168108.51004,6,54,-6
1.27806615829468,1631168108.54129,17,50,5
1.40306615829468,1631168108.66629,45,53,41
1.43431615829468,1631168108.69754,91,73,41
1.465576171875,1631168108.7288,83,71,4
1.496826171875,1631168108.76005,66,100,16
1.528076171875,1631168108.7913,43,67,-2
1.559326171875,1631168108.82255,14,85,-7
1.590576171875,1631168108.8538,3,90,-10
1.621826171875,1631168108.88505,-23,63,0
1.653076171875,1631168108.9163,-22,53,3
1.80933618545532,1631168109.07256,61,92,-19
1.84058618545532,1631168109.10381,53,94,-21
1.99684619903564,1631168109.26007,37,48,-2
2.02809619903564,1631168109.29132,15,29,-8
2.05934619903564,1631168109.32257,6,35,-8
2.09059619903564,1631168109.35382,13,46,-11
2.12185621261597,1631168109.38508,36,61,-2
2.15310621261597,1631168109.41633,50,64,10
2.18435621261597,1631168109.44758,59,37,8
2.21560621261597,1631168109.47883,66,31,14
2.37186622619629,1631168109.63509,19,51,23
2.40311622619629,1631168109.66634,17,55,17
2.43436622619629,1631168109.69759,35,68,-8
2.46561622619629,1631168109.72884,48,71,-21
2.49686622619629,1631168109.76009,62,58,-27
2.52811622619629,1631168109.79134,44,43,-20
2.55937600135803,1631168109.8226,18,44,-28
2.59062600135803,1631168109.85385,29,48,-23
2.62187600135803,1631168109.8851,30,55,-22
2.65312600135803,1631168109.91635,32,49,-17
2.68437600135803,1631168109.9476,22,54,-4
2.71562600135803,1631168109.97885,29,51,-18
2.74687600135803,1631168110.0101,36,60,-26
2.77813601493835,1631168110.04136,42,60,-31
2.90313601493835,1631168110.16636,45,43,-15
2.93438601493835,1631168110.19761,24,52,-1
2.96564602851868,1631168110.22887,24,45,-17
2.99689602851868,1631168110.26012,34,47,-24
3.02814602851868,1631168110.29137,36,44,-23
3.05939602851868,1631168110.32262,43,45,-20
3.09064602851868,1631168110.35387,42,54,-20
3.12189602851868,1631168110.38512,46,56,-15
3.15314602851868,1631168110.41637,52,50,4
3.309406042099,1631168110.57263,38,44,-7
3.340656042099,1631168110.60388,32,43,-7
3.49691605567932,1631168110.76014,46,41,8
3.52816605567932,1631168110.79139,46,41,6
3.55941605567932,1631168110.82264,47,43,5
3.59066605567932,1631168110.85389,44,42,5
3.62192606925964,1631168110.88515,43,38,2
3.65317606925964,1631168110.9164,58,37,8
3.68442606925964,1631168110.94765,41,42,0
3.71567606925964,1631168110.9789,44,44,5
3.87193608283997,1631168111.13516,40,47,4
3.90318608283997,1631168111.16641,45,45,1
3.93443608283997,1631168111.19766,46,44,3
3.96568608283997,1631168111.22891,45,44,3
3.99693608283997,1631168111.26016,43,46,2
4.02818608283997,1631168111.29141,39,46,0
4.05944609642029,1631168111.32267,44,46,1
4.09069609642029,1631168111.35392,47,43,0
4.12194609642029,1631168111.38517,45,45,-2
4.15319609642029,1631168111.41642,45,44,-3
4.18444609642029,1631168111.44767,44,47,-3
4.21569609642029,1631168111.47892,44,47,-5
4.24694609642029,1631168111.51017,45,46,-5
4.27820611000061,1631168111.54143,43,45,-5
4.30945611000061,1631168111.57268,45,46,-4
4.34070611000061,1631168111.60393,46,45,-5
