Time,Performance
14.37624,-1
14.45458,-1
14.50544,-1
14.61152,-1
14.71761,-1
14.82258,-1
14.92874,-1
15.03411,-1
15.14305,-1
15.25508,-1
15.36481,-1
15.4753,-1
15.58489,-1
15.70089,-1
15.82133,-1
15.9417,-1
16.05944,-1
16.172,-1
16.24441,-1
16.35477,-1
16.46138,-1
16.58107,-1
16.69735,-1
16.82006,-1
16.94312,-1
17.05708,-1
17.17119,-1
17.29136,-1
17.41941,-1
17.5366,-1
17.6528,-1
17.77243,-1
17.89303,-1
18.01324,-1
18.13099,-1
18.25106,-1
18.37511,-1
18.49147,-1
18.60981,-1
18.72801,-1
18.84172,-1
18.9533,-1
19.06365,-1
19.17652,-1
19.28846,-1
19.39955,-1
19.51782,-1
19.63287,-1
19.745,-1
19.86033,-1
19.97645,-1
20.09396,-1
20.20666,-1
20.32152,-1
20.43906,-1
20.55404,-1
20.66846,-1
20.78442,-1
20.90205,-1
21.01883,-1
21.13496,-1
21.25472,-1
21.37219,-1
21.48962,-1
21.62453,-1
21.74373,-1
21.86371,-1
21.98258,-1
22.10194,-1
22.21886,-1
22.33782,-1
22.45736,-1
22.57491,-1
22.69568,-1
22.81477,-1
22.93222,-1
23.04949,-1
23.17065,-1
23.29651,-1
23.41596,-1
23.53557,-1
23.65501,-1
23.77535,-1
23.89806,-1
24.01953,-1
24.14145,-1
24.22405,-1
24.34535,-1
24.44171,-1
24.56421,-1
24.68487,-1
24.80722,-1
24.93155,-1
25.05405,-1
25.17735,-1
25.30294,-1
25.42639,-1
25.55176,-1
25.67423,-1
25.79887,-1
25.92834,-1
26.05488,-1
26.19567,-1
26.32093,-1
26.44812,-1
26.5765,-1
26.70716,-1
26.83625,-1
26.96484,-1
27.09701,-1
27.22403,-1
27.35175,-1
27.48016,-1
27.60708,-1
27.73458,-1
27.86316,-1
27.99644,-1
28.12705,-1
28.25883,-1
28.38756,-1
28.52363,-1
28.65278,-1
28.78003,-1
28.90852,-1
29.03927,-1
29.16763,-1
29.29614,-1
29.42475,-1
29.55505,-1
29.68521,-1
29.81631,-1
29.95094,-1
30.08495,-1
30.21507,-1
30.34588,-1
30.47733,-1
30.61265,-1
30.74788,-1
30.89532,-1
31.02759,-1
31.16758,-1
31.29956,-1
31.43349,-1
31.57366,-1
31.71393,-1
31.85657,-1
31.99863,-1
32.14161,-1
32.28524,-1
32.42225,-1
32.55795,-1
32.69446,-1
32.83427,-1
32.97294,-1
33.11097,-1
33.25115,-1
33.39143,-1
33.53133,-1
33.67137,-1
33.81898,-1
33.96584,-1
34.10887,-1
34.25066,-1
34.37381,-1
34.51868,-1
34.65798,-1
34.80339,-1
34.95446,-1
35.10125,-1
35.24385,-1
35.38658,-1
35.53016,-1
35.69437,-1
35.84225,-1
35.99142,-1
36.13877,-1
36.2945,-1
36.45377,-1
36.61555,-1
36.77514,-1
36.93587,-1
37.09515,-1
37.25034,-1
37.41008,-1
37.56524,-1
37.71904,-1
37.8776,-1
38.04043,-1
38.20132,-1
38.35926,-1
38.51413,-1
38.67355,-1
38.83674,-1
38.99815,-1
39.15613,-1
39.3182,-1
39.48256,-1
39.64421,-1
39.80462,-1
39.96945,-1
40.12986,-1
40.28817,-1
40.44506,-1
40.60862,-1
40.77426,-1
40.9605,-1
41.12185,-1
41.2858,-1
41.45355,-1
41.62251,-1
41.78959,-1
41.9618,-1
42.13291,-1
42.30033,-1
42.46806,-1
42.63693,-1
42.80612,-1
42.97968,-1
43.14591,-1
43.30941,-1
43.47034,-1
43.63329,-1
43.79704,-1
43.96329,-1
44.13323,-1
44.30112,-1
44.4722,-1
44.64328,-1
44.80854,-1
44.97633,-1
45.1501,-1
45.31923,-1
45.48245,-1
45.65522,-1
45.82648,-1
45.99887,-1
46.17338,-1
46.34506,-1
46.53293,-1
46.69576,-1
46.86532,-1
47.03378,-1
47.20836,-1
47.38252,-1
47.55443,-1
47.72918,-1
47.90651,-1
48.08763,-1
48.26426,-1
48.43946,-1
48.61568,-1
48.79306,-1
48.96933,-1
49.14801,-1
49.32403,-1
49.50093,-1
49.67822,-1
49.85462,-1
50.0359,-1
50.213,-1
50.39288,-1
50.57246,-1
50.75314,-1
50.93679,-1
51.11615,-1
51.29708,-1
51.47336,-1
51.64558,-1
51.81942,-1
51.99547,-1
52.1883,-1
52.36039,-1
52.53278,-1
52.70536,-1
52.87992,-1
53.05205,-1
53.22569,-1
53.39975,-1
53.57589,-1
53.75018,-1
53.92434,-1
54.10335,-1
54.27807,-1
54.45108,-1
54.62592,-1
54.8003,-1
54.97839,-1
55.15632,-1
55.33352,-1
55.51154,-1
55.68832,-1
55.8674,-1
56.04972,-1
56.23069,-1
56.41131,-1
56.58982,-1
56.76848,-1
56.94541,-1
57.1251,-1
57.30898,-1
57.4901,-1
57.67521,-1
57.85689,-1
58.04166,-1
58.24711,-1
58.43044,-1
58.61322,-1
58.79343,-1
58.97974,-1
59.1629,-1
59.34706,-1
59.53034,-1
59.71521,-1
59.90166,-1
60.08613,-1
60.27179,-1
60.45606,-1
60.64201,-1
60.82581,-1
61.01237,-1
61.19751,-1
61.38307,-1
61.56863,-1
61.75457,-1
61.9426,-1
62.13618,-1
62.32261,-1
62.51146,-1
62.70181,-1
62.8894,-1
63.07768,-1
63.27082,-1
63.46386,-1
63.65916,-1
63.85482,-1
64.05081,-1
64.24998,-1
64.47035,-1
64.66797,-1
64.86341,-1
65.06084,-1
65.2603,-1
65.45907,-1
65.65936,-1
65.85928,-1
66.06322,-1
66.26404,-1
66.46287,-1
66.66302,-1
66.8653,-1
67.06436,-1
67.26601,-1
67.46411,-1
67.66436,-1
67.86674,-1
68.07669,-1
68.28259,-1
68.48573,-1
68.69106,-1
68.89336,-1
69.10049,-1
69.30685,-1
69.51309,-1
69.72143,-1
69.94309,-1
70.16894,-1
70.38712,-1
70.59416,-1
70.80181,-1
71.01263,-1
71.25306,-1
71.46954,-1
71.68414,-1
71.90513,-1
72.12438,-1
72.33292,-1
72.54578,-1
72.75863,-1
72.97679,-1
73.19807,-1
73.41596,-1
73.62756,-1
73.84026,-1
74.06399,-1
74.28587,-1
74.50662,-1
74.73002,-1
74.9528,-1
75.16639,-1
75.38067,-1
75.60437,-1
75.82808,-1
76.05546,-1
76.28751,-1
76.5052,-1
76.73009,-1
76.9487,-1
77.174,-1
77.40517,-1
77.62135,-1
77.86974,-1
78.10363,-1
78.3279,-1
78.54647,-1
78.76723,-1
78.98686,-1
79.20504,-1
79.42468,-1
79.64369,-1
79.86194,-1
80.09048,-1
80.31326,-1
80.53917,-1
80.75985,-1
80.99627,-1
81.22974,-1
81.45399,-1
81.6934,-1
81.93126,-1
82.16927,-1
82.4054,-1
82.63861,-1
82.86895,-1
83.09454,-1
83.3306,-1
83.5718,-1
83.81326,-1
84.05706,-1
84.32367,-1
84.55827,-1
84.78844,-1
85.02585,-1
85.26097,-1
85.49931,-1
85.74295,-1
85.98715,-1
86.22942,-1
86.47523,-1
86.71149,-1
86.94789,-1
87.18246,-1
87.42757,-1
87.67201,-1
87.91791,-1
88.16445,-1
88.40575,-1
88.64503,-1
88.88866,-1
89.13441,-1
89.38414,-1
89.63319,-1
89.88137,-1
90.12834,-1
90.38384,-1
90.65475,-1
90.90497,-1
91.14932,-1
91.39611,-1
91.63394,-1
91.87085,-1
92.11319,-1
92.35992,0
92.60703,-1
92.84466,-1
93.08153,-1
93.3202,-1
93.55648,-1
93.79959,-1
94.04184,-1
94.28799,-1
94.53555,-1
94.78473,-1
95.0277,-1
