Time,UnixTime,Acc_X,Acc_Y,Acc_Z
1.07135820388794,1631169475.51082,-22,59,12
1.10260820388794,1631169475.54207,-22,59,12
1.13386821746826,1631169475.57333,-22,59,12
1.16511821746826,1631169475.60458,-22,59,12
1.19636821746826,1631169475.63583,-22,59,12
1.22761821746826,1631169475.66708,-22,60,12
1.32136821746826,1631169475.76083,-22,59,12
1.35262823104858,1631169475.79209,-22,59,12
1.38387823104858,1631169475.82334,-22,59,13
1.41512823104858,1631169475.85459,-22,59,13
1.44637823104858,1631169475.88584,-22,59,13
1.47762823104858,1631169475.91709,-22,59,13
1.50887823104858,1631169475.94834,-23,59,12
1.54012823104858,1631169475.97959,-22,59,12
1.57138824462891,1631169476.01085,-23,59,12
1.60263824462891,1631169476.0421,-23,58,12
1.79014825820923,1631169476.22961,-22,59,12
1.91514825820923,1631169476.35461,-21,59,13
1.94639825820923,1631169476.38586,-21,59,13
1.97765827178955,1631169476.41712,-22,59,12
2.10265827178955,1631169476.54212,-23,59,12
2.13390827178955,1631169476.57337,-23,59,12
2.16515827178955,1631169476.60462,-23,59,12
2.32141828536987,1631169476.76088,-23,59,12
2.35266828536987,1631169476.79213,-22,59,12
2.4776782989502,1631169476.91714,-22,59,12
2.5089282989502,1631169476.94839,-22,59,12
2.5401782989502,1631169476.97964,-22,59,11
2.5714282989502,1631169477.01089,-21,59,12
2.6026782989502,1631169477.04214,-22,59,12
2.63393831253052,1631169477.0734,-22,59,11
2.66518831253052,1631169477.10465,-22,59,11
2.69643831253052,1631169477.1359,-22,59,11
2.72768831253052,1631169477.16715,-22,59,12
2.88394832611084,1631169477.32341,-22,59,12
2.91519832611084,1631169477.35466,-22,59,12
3.07145833969116,1631169477.51092,-22,59,12
3.10270833969116,1631169477.54217,-21,59,11
3.13395833969116,1631169477.57342,-21,59,11
3.16520833969116,1631169477.60467,-21,59,12
3.19645833969116,1631169477.63592,-22,60,11
3.22770833969116,1631169477.66717,-22,60,12
3.25895833969116,1631169477.69842,-22,59,12
3.29021835327148,1631169477.72968,-22,59,12
3.32146835327148,1631169477.76093,-22,59,12
3.35271835327148,1631169477.79218,-22,60,12
3.38396835327148,1631169477.82343,-22,60,12
3.41521835327148,1631169477.85468,-22,60,12
3.44646835327148,1631169477.88593,-21,59,12
3.47771835327148,1631169477.91718,-21,59,12
3.50897836685181,1631169477.94844,-21,59,12
3.54022836685181,1631169477.97969,-22,59,12
3.57147836685181,1631169478.01094,-22,60,11
3.60272836685181,1631169478.04219,-22,60,12
3.63397836685181,1631169478.07344,-21,60,12
3.66522836685181,1631169478.10469,-21,60,12
3.69647836685181,1631169478.13594,-22,60,12
3.72773838043213,1631169478.1672,-22,60,12
3.75898838043213,1631169478.19845,-22,59,13
3.79023838043213,1631169478.2297,-22,59,14
3.82148838043213,1631169478.26095,-21,59,14
3.85273838043213,1631169478.2922,-22,60,13
3.97774839401245,1631169478.41721,-21,59,11
4.00899839401245,1631169478.44846,-21,58,11
4.04024839401245,1631169478.47971,-21,59,11
4.07149839401245,1631169478.51096,-21,60,12
4.10274839401245,1631169478.54221,-21,60,11
4.13400840759277,1631169478.57347,-21,59,12
4.16525840759277,1631169478.60472,-21,59,12
4.19650840759277,1631169478.63597,-21,59,12
4.22775840759277,1631169478.66722,-21,59,13
4.25900840759277,1631169478.69847,-21,59,13
4.29025840759277,1631169478.72972,-21,59,13
4.32150840759277,1631169478.76097,-22,59,13
4.35276818275452,1631169478.79223,-21,59,13
4.38401818275452,1631169478.82348,-22,59,13
4.41526818275452,1631169478.85473,-23,60,13
4.44651818275452,1631169478.88598,-24,60,13
4.47776818275452,1631169478.91723,-20,61,17
4.50901818275452,1631169478.94848,-43,62,2
4.54026818275452,1631169478.97973,-50,58,-4
4.57152819633484,1631169479.01099,-41,51,-3
4.60277819633484,1631169479.04224,-35,48,-1
4.75902819633484,1631169479.19849,-38,59,-2
4.79028820991516,1631169479.22975,-39,62,-4
4.82153820991516,1631169479.261,-49,49,-3
4.85278820991516,1631169479.29225,-43,45,-4
4.88403820991516,1631169479.3235,-38,50,0
4.91528820991516,1631169479.35475,-42,55,1
4.94653820991516,1631169479.386,-44,63,0
4.97778820991516,1631169479.41725,-38,62,3
5.13404822349548,1631169479.57351,-70,45,-30
5.16529822349548,1631169479.60476,-82,51,-30
5.19654822349548,1631169479.63601,-61,33,-8
5.22780823707581,1631169479.66727,-56,17,-12
5.25905823707581,1631169479.69852,-60,20,-18
5.29030823707581,1631169479.72977,-58,20,-12
5.32155823707581,1631169479.76102,-59,13,-11
5.35280823707581,1631169479.79227,-71,-6,-12
5.47781825065613,1631169479.91728,-63,1,0
5.50906825065613,1631169479.94853,-54,-2,3
5.54031825065613,1631169479.97978,-42,-13,-5
5.57156825065613,1631169480.01103,-45,-15,-11
5.60281825065613,1631169480.04228,-67,-13,-24
5.63406825065613,1631169480.07353,-63,-4,-21
5.66532826423645,1631169480.10479,-55,-1,-13
5.69657826423645,1631169480.13604,-57,0,-4
5.72782826423645,1631169480.16729,-64,0,-5
5.75907826423645,1631169480.19854,-66,5,-6
5.79032826423645,1631169480.22979,-60,10,0
5.82157826423645,1631169480.26104,-58,9,3
5.85282826423645,1631169480.29229,-59,5,7
5.88408827781677,1631169480.32355,-63,3,8
5.91533827781677,1631169480.3548,-83,5,21
5.94658827781677,1631169480.38605,-78,1,27
5.97783827781677,1631169480.4173,-61,-2,31
6.00908827781677,1631169480.44855,-53,-4,33
6.04033827781677,1631169480.4798,-67,-4,24
6.07158827781677,1631169480.51105,-79,-3,-1
6.10284829139709,1631169480.54231,-72,-10,-12
6.13409829139709,1631169480.57356,-64,-15,-13
6.16534829139709,1631169480.60481,-69,-18,-23
6.19659829139709,1631169480.63606,-71,-22,-19
6.22784829139709,1631169480.66731,-63,-24,-11
6.25909829139709,1631169480.69856,-65,-36,-10
6.29035830497742,1631169480.72982,-67,-33,-19
6.32160830497742,1631169480.76107,-50,-32,-23
6.35285830497742,1631169480.79232,-46,-32,-21
6.38410830497742,1631169480.82357,-45,-29,-16
6.41535830497742,1631169480.85482,-35,-26,-10
6.44660830497742,1631169480.88607,-28,-27,-10
6.47785830497742,1631169480.91732,-22,-31,-8
6.50911831855774,1631169480.94858,-24,-32,1
6.54036831855774,1631169480.97983,-29,-33,2
6.57161831855774,1631169481.01108,-54,-41,-7
6.60286831855774,1631169481.04233,-60,-44,-10
6.63411831855774,1631169481.07358,-50,-45,-5
6.66536831855774,1631169481.10483,-54,-39,-4
6.82162833213806,1631169481.26109,-59,-51,-12
6.85287833213806,1631169481.29234,-59,-52,-13
6.97788834571838,1631169481.41735,-30,-46,6
7.00913834571838,1631169481.4486,-17,-42,7
7.04038834571838,1631169481.47985,-21,-48,0
7.07163834571838,1631169481.5111,-32,-54,10
7.10288834571838,1631169481.54235,-39,-52,8
7.13413834571838,1631169481.5736,-55,-48,3
7.16539835929871,1631169481.60486,-53,-47,7
7.19664835929871,1631169481.63611,-43,-41,6
7.22789835929871,1631169481.66736,-38,-38,5
7.41540837287903,1631169481.85487,-40,-44,20
7.44665837287903,1631169481.88612,-32,-45,15
7.47790837287903,1631169481.91737,-36,-44,9
7.50915837287903,1631169481.94862,-38,-43,10
7.54040837287903,1631169481.97987,-43,-41,10
7.57165837287903,1631169482.01112,-42,-40,9
7.60291838645935,1631169482.04238,-41,-37,7
7.63416838645935,1631169482.07363,-42,-42,9
