Time,Performance
14.11081,-1
14.19828,-1
14.27317,-1
14.38527,-1
14.48181,-1
14.58956,-1
14.69755,-1
14.81105,-1
14.92484,-1
15.03471,-1
15.14589,-1
15.2538,-1
15.36363,-1
15.47693,-1
15.58727,-1
15.69638,-1
15.81108,-1
15.92364,-1
16.00758,-1
16.12455,-1
16.23105,-1
16.29627,-1
16.4147,-1
16.49407,-1
16.60649,-1
16.69547,-1
16.80705,-1
16.90981,-1
17.03867,-1
17.15786,-1
17.26296,-1
17.33897,-1
17.45442,-1
17.57423,-1
17.71742,-1
17.84613,-1
17.96579,-1
18.09045,-1
18.20949,-1
18.32846,-1
18.44546,-1
18.56223,-1
18.67979,-1
18.80062,-1
18.92103,-1
19.04781,-1
19.16891,-1
19.28864,-1
19.40726,-1
19.50151,-1
19.61418,-1
19.73631,-1
19.86133,-1
19.98642,-1
20.10953,-1
20.22975,-1
20.35006,-1
20.47133,-1
20.59066,-1
20.70862,-1
20.82757,-1
20.94787,-1
21.06734,-1
21.1856,-1
21.30433,-1
21.4264,-1
21.54727,-1
21.66702,-1
21.78743,-1
21.91114,-1
22.03143,-1
22.15264,-1
22.27308,-1
22.39514,-1
22.51637,-1
22.63666,-1
22.75833,-1
22.882,-1
23.00698,-1
23.13539,-1
23.25841,-1
23.38377,-1
23.53006,-1
23.65635,-1
23.78105,-1
23.90784,-1
24.03653,-1
24.16115,-1
24.28743,-1
24.4151,-1
24.5405,-1
24.66517,-1
24.79987,-1
24.92792,-1
25.05777,-1
25.18436,-1
25.31253,-1
25.44299,-1
25.57237,-1
25.70417,-1
25.83336,-1
25.96463,-1
26.09387,-1
26.22326,-1
26.35368,-1
26.48529,-1
26.61611,-1
26.74485,-1
26.87544,-1
27.0076,-1
27.13971,-1
27.27081,-1
27.40287,-1
27.53777,-1
27.66884,-1
27.79859,-1
27.92846,-1
28.06192,-1
28.19334,-1
28.32385,-1
28.45873,-1
28.59163,-1
28.72431,-1
28.85605,-1
28.991,-1
29.12727,-1
29.26203,-1
29.39602,-1
29.53518,-1
29.67136,-1
29.80577,-1
29.95563,-1
30.0882,-1
30.22348,-1
30.35969,-1
30.49492,-1
30.62963,-1
30.76531,-1
30.90272,-1
31.04025,-1
31.17574,-1
31.3138,-1
31.45448,-1
31.59631,-1
31.73495,-1
31.87355,-1
32.01365,-1
32.15147,-1
32.28931,-1
32.42846,-1
32.57016,-1
32.70893,-1
32.84674,-1
32.98552,-1
33.12871,-1
33.27,-1
33.41029,-1
33.55252,-1
33.69594,-1
33.83655,-1
33.97761,-1
34.12025,-1
34.26569,-1
34.40962,-1
34.55193,-1
34.69472,-1
34.84161,-1
34.98593,-1
