Time,Acc_X,Acc_Y,Acc_Z,GSR,Tmp,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19,Labeling
3,0.625177124,-0.60279668,-0.837490652,-0.448303142,-0.374258265,-0.94054235,-0.36405558,-1.279824771,-0.89739656,-0.913502691,-0.486205999,-0.919861096,-0.98194809,-0.178195063,-1.007438133,-1.597681192,0.822166687,-1.411862121,-1.018304501,0.773637109,-0.38112755,-0.940189251,-1.039094571,-1.045977187,-0.294958068,0.636831726,-1.361731591,-1.346078188,0.01129306,-1.606208621,1.130394016,-0.107451621,0.365518709,-0.0102375864,-0.65536533,-0.94054235,-0.36405558,-1.279824771,-0.94054235,-0.36405558,-1.279824771,-0.94054235,-0.36405558,-1.279824771,-0.94054235,-0.36405558,-1.279824771,-0.94054235,-0.36405558,-1.279824771,-0.94054235,-0.36405558,-1.279824771,-0.94054235,-0.36405558,-1.279824771,-0.94054235,-0.36405558,-1.279824771,-0.94054235,-0.36405558,-1.279824771,2
3.03125,0.312054094,-0.60279668,-0.837490652,-0.456733926,-0.374258265,-0.941364233,-0.285885896,-0.933331527,-0.897400065,-0.914738253,-0.470162154,-0.928377964,-0.995530935,-0.19256038,-1.055135567,-1.626104466,0.710598473,-1.513477466,-1.205362889,0.658126821,-0.298235873,-0.985747315,-1.031071434,-1.112044169,-0.0677822333,0.735401809,-0.278508471,-0.769510152,-0.620418346,-1.610420831,1.204225864,-0.112535326,0.773360222,0.240375381,-0.882579894,-0.941364233,-0.285885896,-0.933331527,-0.941364233,-0.285885896,-0.933331527,-0.941364233,-0.285885896,-0.933331527,-0.941364233,-0.285885896,-0.933331527,-0.941364233,-0.285885896,-0.933331527,-0.941364233,-0.285885896,-0.933331527,-0.941364233,-0.285885896,-0.933331527,-0.941364233,-0.285885896,-0.933331527,-0.941364233,-0.285885896,-0.933331527,2
3.0625,-2.574702941,-0.371533218,-0.837490652,-0.47318404,-0.374258265,-0.94179356,-0.2444718,-0.720015556,-0.897403453,-0.91598074,-0.457589766,-0.938567917,-1.020938029,-0.247491927,-1.112007502,-1.716302688,0.450174824,-1.614091088,-1.381623206,0.430138804,-0.242026139,-1.016057091,-1.036600269,-1.136686249,-0.0338664718,0.786535484,0.336343446,-0.360609277,-0.972211603,-1.612741647,1.16581152,-0.091269787,1.029711796,0.405891025,-0.994314823,-0.94179356,-0.2444718,-0.720015556,-0.94179356,-0.2444718,-0.720015556,-0.94179356,-0.2444718,-0.720015556,-0.94179356,-0.2444718,-0.720015556,-0.94179356,-0.2444718,-0.720015556,-0.94179356,-0.2444718,-0.720015556,-0.94179356,-0.2444718,-0.720015556,-0.94179356,-0.2444718,-0.720015556,-0.94179356,-0.2444718,-0.720015556,2
3.09375,-2.262605264,1.761297939,-0.837490652,-0.489634153,-0.374258265,-0.941920645,-0.231357176,-0.609237636,-0.89740675,-0.917228559,-0.447690179,-0.950046041,-1.055449044,-0.333656896,-1.175943222,-1.854063699,0.075141931,-1.713933447,-1.549569694,0.11555007,-0.206359809,-1.034626653,-1.052563263,-1.129433782,-0.148748707,0.801146134,0.590579247,-0.0808014778,-1.108485641,-1.613606211,1.040974728,-0.0497170012,1.169425727,0.505887128,-1.017137759,-0.941920645,-0.231357176,-0.609237636,-0.941920645,-0.231357176,-0.609237636,-0.941920645,-0.231357176,-0.609237636,-0.941920645,-0.231357176,-0.609237636,-0.941920645,-0.231357176,-0.609237636,-0.941920645,-0.231357176,-0.609237636,-0.941920645,-0.231357176,-0.609237636,-0.941920645,-0.231357176,-0.609237636,-0.941920645,-0.231357176,-0.609237636,2
3.125,0.625177124,1.53071791,-0.837490652,-0.506084267,-0.374258265,-0.941851181,-0.23589383,-0.623833291,-0.897408205,-0.918442338,-0.442537104,-0.959536816,-1.077450615,-0.393668561,-1.228546768,-1.922258575,-0.180986938,-1.772521463,-1.594752242,-0.102694731,-0.18102393,-1.050078462,-1.107102781,-1.119356068,-0.2177917,0.771815225,0.739282503,0.0548309904,-1.140592593,-1.614855272,0.955882297,-0.0347001046,1.22969378,0.54734712,-1.023992745,-0.941851181,-0.23589383,-0.623833291,-0.941851181,-0.23589383,-0.623833291,-0.941851181,-0.23589383,-0.623833291,-0.941851181,-0.23589383,-0.623833291,-0.941851181,-0.23589383,-0.623833291,-0.941851181,-0.23589383,-0.623833291,-0.941851181,-0.23589383,-0.623833291,-0.941851181,-0.23589383,-0.623833291,-0.941851181,-0.23589383,-0.623833291,2
3.15625,0.625177124,-0.372216651,-0.587482339,-0.52253438,-0.375473754,-0.941626522,-0.254367939,-0.737423955,-0.897408205,-0.919629237,-0.441131877,-0.967458382,-1.089574725,-0.433029567,-1.272202427,-1.935524009,-0.343229158,-1.798535038,-1.543000349,-0.244866336,-0.163844978,-1.063068492,-1.192102335,-1.10704754,-0.250640015,0.707788049,0.804657232,0.0766225778,-1.090449185,-1.616407934,0.902172026,-0.0406359535,1.227231347,0.542586982,-1.018239433,-0.941626522,-0.254367939,-0.737423955,-0.941626522,-0.254367939,-0.737423955,-0.941626522,-0.254367939,-0.737423955,-0.941626522,-0.254367939,-0.737423955,-0.941626522,-0.254367939,-0.737423955,-0.941626522,-0.254367939,-0.737423955,-0.941626522,-0.254367939,-0.737423955,-0.941626522,-0.254367939,-0.737423955,-0.941626522,-0.254367939,-0.737423955,2
3.1875,0.625177124,1.53071791,1.475790269,-0.538984494,-0.395699292,-0.938724819,-0.258969738,-0.740056393,-0.897408205,-0.92046382,-0.428093808,-0.971135465,-1.089424957,-0.419803536,-1.291384191,-1.862816207,-0.337195024,-1.806768178,-1.403106483,-0.232499641,-0.15687336,-1.059248084,-1.21187992,-1.101086392,-0.261098073,0.727896597,0.854636258,0.104442787,-1.027421277,-1.61308298,0.912716748,-0.0422125377,1.227998312,0.537584905,-1.011121187,-0.938724819,-0.258969738,-0.740056393,-0.938724819,-0.258969738,-0.740056393,-0.938724819,-0.258969738,-0.740056393,-0.938724819,-0.258969738,-0.740056393,-0.938724819,-0.258969738,-0.740056393,-0.938724819,-0.258969738,-0.740056393,-0.938724819,-0.258969738,-0.740056393,-0.938724819,-0.258969738,-0.740056393,-0.938724819,-0.258969738,-0.740056393,2
3.21875,0.625177124,-0.60279668,-0.837490652,-0.555434608,-0.415924831,-0.93287574,-0.248298379,-0.620525869,-0.897408205,-0.920910508,-0.402248196,-0.970139453,-1.075761876,-0.348680144,-1.28362065,-1.695453455,-0.145891725,-1.795425388,-1.166169928,-0.0499891255,-0.161139831,-1.036919693,-1.159849321,-1.102113594,-0.246904872,0.840637027,0.887664899,0.138900397,-0.95020777,-1.604387861,0.994005035,-0.0389896517,1.232320785,0.532316456,-1.002500176,-0.93287574,-0.248298379,-0.620525869,-0.93287574,-0.248298379,-0.620525869,-0.93287574,-0.248298379,-0.620525869,-0.93287574,-0.248298379,-0.620525869,-0.93287574,-0.248298379,-0.620525869,-0.93287574,-0.248298379,-0.620525869,-0.93287574,-0.248298379,-0.620525869,-0.93287574,-0.248298379,-0.620525869,-0.93287574,-0.248298379,-0.620525869,2
3.25,0.625177124,-0.564368728,-0.837490652,-0.571884721,-0.43615037,-0.92702666,-0.23762702,-0.500995345,-0.897408205,-0.921357197,-0.376402584,-0.969143441,-1.062098794,-0.277556752,-1.275857108,-1.528090703,0.0454115731,-1.784082598,-0.929233373,0.13252139,-0.165406301,-1.014591302,-1.107818721,-1.103140797,-0.232711671,0.953377458,0.92069354,0.173358007,-0.872994264,-1.595692742,1.075293321,-0.0357667657,1.236643258,0.527048007,-0.993879164,-0.92702666,-0.23762702,-0.500995345,-0.92702666,-0.23762702,-0.500995345,-0.92702666,-0.23762702,-0.500995345,-0.92702666,-0.23762702,-0.500995345,-0.92702666,-0.23762702,-0.500995345,-0.92702666,-0.23762702,-0.500995345,-0.92702666,-0.23762702,-0.500995345,-0.92702666,-0.23762702,-0.500995345,-0.92702666,-0.23762702,-0.500995345,2
3.28125,0.625177124,-0.170373999,-0.837490652,-0.595325799,-0.456375909,-0.921177581,-0.226955661,-0.381464821,-0.897408205,-0.921803886,-0.350556972,-0.968147429,-1.048435713,-0.20643336,-1.268093566,-1.360727951,0.236714872,-1.772739807,-0.692296818,0.315031906,-0.169672772,-0.992262911,-1.055788122,-1.104167999,-0.218518471,1.066117888,0.953722181,0.207815618,-0.795780758,-1.586997623,1.156581607,-0.0325438797,1.240965731,0.521779558,-0.985258153,-0.921177581,-0.226955661,-0.381464821,-0.921177581,-0.226955661,-0.381464821,-0.921177581,-0.226955661,-0.381464821,-0.921177581,-0.226955661,-0.381464821,-0.921177581,-0.226955661,-0.381464821,-0.921177581,-0.226955661,-0.381464821,-0.921177581,-0.226955661,-0.381464821,-0.921177581,-0.226955661,-0.381464821,-0.921177581,-0.226955661,-0.381464821,2
