Time,UnixTime,Acc_X,Acc_Y,Acc_Z
2.42721438407898,1631603449.1223,-25,59,9
2.4584743976593,1631603449.15356,-24,60,8
2.4897243976593,1631603449.18481,-27,61,10
2.5209743976593,1631603449.21606,-30,61,14
2.5522243976593,1631603449.24731,-28,60,14
2.5834743976593,1631603449.27856,-27,58,13
2.6147243976593,1631603449.30981,-27,58,11
2.6459743976593,1631603449.34106,-26,57,9
2.67723441123962,1631603449.37232,-25,56,9
2.70848441123962,1631603449.40357,-25,56,9
2.73973441123962,1631603449.43482,-24,57,9
2.77098441123962,1631603449.46607,-24,58,8
2.80223441123962,1631603449.49732,-23,58,7
2.83348441123962,1631603449.52857,-24,58,8
2.86473441123962,1631603449.55982,-25,57,7
2.89599442481995,1631603449.59108,-26,57,7
2.92724442481995,1631603449.62233,-26,57,7
2.95849442481995,1631603449.65358,-27,57,8
2.98974442481995,1631603449.68483,-29,57,8
3.02099442481995,1631603449.71608,-30,58,8
3.05224442481995,1631603449.74733,-33,58,10
3.08349442481995,1631603449.77858,-33,58,10
3.11475443840027,1631603449.80984,-32,59,11
3.14600443840027,1631603449.84109,-31,59,12
3.30225443840027,1631603449.99734,-26,59,4
3.33351445198059,1631603450.0286,-26,58,3
3.36476445198059,1631603450.05985,-27,59,2
3.39601445198059,1631603450.0911,-27,59,1
3.42726445198059,1631603450.12235,-25,59,0
3.45851445198059,1631603450.1536,-23,60,1
3.48976445198059,1631603450.18485,-22,60,2
3.52101445198059,1631603450.2161,-23,60,2
3.55227446556091,1631603450.24736,-23,61,2
3.58352446556091,1631603450.27861,-23,61,3
3.61477446556091,1631603450.30986,-23,61,3
3.64602446556091,1631603450.34111,-24,61,4
3.67727446556091,1631603450.37236,-25,61,4
3.70852446556091,1631603450.40361,-26,60,5
3.86478447914124,1631603450.55987,-25,60,5
3.89603447914124,1631603450.59112,-26,58,3
3.92728447914124,1631603450.62237,-27,58,2
3.95853447914124,1631603450.65362,-29,59,2
3.98979449272156,1631603450.68488,-29,59,1
4.02104449272156,1631603450.71613,-28,61,2
4.05229449272156,1631603450.74738,-27,62,3
4.08354449272156,1631603450.77863,-24,62,4
4.11479449272156,1631603450.80988,-24,62,5
4.14604449272156,1631603450.84113,-24,62,5
