Time,Labeling
0.01666667,-1.0
0.03333334,-1.0
0.05,-1.0
0.06666667,2.0
0.08333334,2.0
0.1,2.0
0.1166667,2.0
0.1333333,2.0
0.15,2.0
0.1666667,2.0
0.1833333,2.0
0.2,2.0
0.2166667,2.0
0.2333333,2.0
0.25,2.0
0.2666667,2.0
0.2833333,1.0
0.3,1.0
0.3166667,1.0
0.3333333,1.0
0.35,1.0
0.3666667,1.0
0.3833333,1.0
0.4,1.0
0.4166667,1.0
0.4333333,1.0
0.45,1.0
0.4666667,1.0
0.4833333,1.0
0.5,1.0
0.5166667,1.0
0.5333334,1.0
0.55,1.0
0.5666667,1.0
0.5833333,1.0
0.6,1.0
0.6166667,1.0
0.6333333,1.0
0.65,1.0
0.6666667,1.0
0.6833333,1.0
0.7,1.0
0.7166666,1.0
0.7333333,1.0
0.75,1.0
0.7666667,1.0
0.7833334,1.0
0.8,1.0
0.8166667,1.0
0.8333333,1.0
0.85,1.0
0.8666667,1.0
0.8833333,1.0
0.9,1.0
0.9166667,1.0
0.9333333,1.0
0.95,1.0
0.9666666,1.0
0.9833333,1.0
1.0,1.0
1.016667,1.0
1.033333,1.0
1.05,1.0
1.066667,1.0
1.083333,1.0
1.1,1.0
1.116667,1.0
1.133333,1.0
1.15,1.0
1.166667,1.0
1.183333,1.0
1.2,1.0
1.216667,1.0
1.233333,1.0
1.25,1.0
1.266667,1.0
1.283333,1.0
1.3,1.0
1.316667,1.0
1.333333,1.0
1.35,1.0
1.366667,1.0
1.383333,1.0
1.4,1.0
1.416667,1.0
1.433333,1.0
1.45,1.0
1.466667,1.0
1.483333,1.0
1.5,1.0
1.516667,1.0
1.533333,1.0
1.55,1.0
1.566667,1.0
1.583333,1.0
1.6,1.0
1.616667,1.0
1.633333,1.0
1.65,1.0
1.666667,1.0
1.683333,1.0
1.7,1.0
1.716667,1.0
1.733333,1.0
1.75,1.0
1.766667,1.0
1.783333,1.0
1.8,1.0
1.816667,1.0
1.833333,1.0
1.85,1.0
1.866667,1.0
1.883333,1.0
1.9,1.0
1.916667,1.0
1.933333,1.0
1.95,1.0
1.966667,1.0
1.983333,1.0
2.0,1.0
2.016667,1.0
2.033333,1.0
2.05,1.0
2.066667,1.0
2.083333,1.0
2.1,1.0
2.116667,2.0
2.133333,1.0
2.15,1.0
2.166667,1.0
2.183333,1.0
2.2,1.0
2.216667,1.0
2.233333,1.0
2.25,1.0
2.266667,1.0
2.283333,1.0
2.3,1.0
2.316667,1.0
2.333333,1.0
2.35,1.0
2.366667,1.0
2.383333,1.0
2.4,1.0
2.416667,1.0
2.433333,1.0
2.45,1.0
2.466667,1.0
2.483333,1.0
2.5,1.0
2.516667,1.0
2.533333,1.0
2.55,1.0
2.566667,1.0
2.583333,1.0
2.6,1.0
2.616667,1.0
2.633333,1.0
2.65,1.0
2.666667,1.0
2.683333,1.0
2.7,1.0
2.716667,1.0
2.733333,1.0
2.75,1.0
2.766667,1.0
2.783333,1.0
2.8,1.0
2.816667,1.0
2.833333,1.0
2.85,1.0
2.866667,1.0
2.883333,1.0
2.9,1.0
2.916667,1.0
2.933333,1.0
2.95,1.0
2.966667,1.0
2.983333,1.0
3.0,1.0
3.016667,1.0
3.033333,1.0
3.05,1.0
3.066667,1.0
3.083333,1.0
3.1,1.0
3.116667,1.0
3.133333,1.0
3.15,1.0
3.166667,1.0
3.183333,1.0
3.2,1.0
3.216667,1.0
3.233333,1.0
3.25,1.0
3.266667,1.0
3.283333,1.0
3.3,1.0
3.316667,1.0
3.333333,1.0
3.35,1.0
3.366667,1.0
3.383333,1.0
3.4,1.0
3.416667,1.0
3.433333,1.0
3.45,1.0
3.466667,1.0
3.483333,1.0
3.5,1.0
3.516667,1.0
3.533333,1.0
3.55,1.0
3.566667,1.0
3.583333,1.0
3.6,1.0
3.616667,1.0
3.633333,1.0
3.65,1.0
3.666667,1.0
3.683333,1.0
3.7,1.0
3.716667,1.0
3.733333,1.0
3.75,1.0
3.766667,1.0
3.783333,1.0
3.8,1.0
3.816667,1.0
3.833333,1.0
3.85,1.0
3.866667,1.0
3.883333,1.0
3.9,1.0
3.916667,1.0
3.933333,1.0
3.95,1.0
3.966667,1.0
3.983333,1.0
4.0,1.0
4.016667,1.0
4.033333,1.0
4.05,1.0
4.066667,1.0
4.083333,1.0
4.1,1.0
4.116667,1.0
4.133333,1.0
4.15,1.0
4.166667,1.0
4.183333,1.0
4.2,1.0
4.216667,1.0
4.233333,1.0
4.25,1.0
4.266667,1.0
4.283333,1.0
4.3,1.0
4.316667,1.0
4.333333,1.0
4.35,1.0
4.366667,1.0
4.383333,1.0
4.4,1.0
4.416667,1.0
4.433333,1.0
4.45,1.0
4.466667,1.0
4.483333,1.0
4.5,1.0
4.516667,1.0
4.533333,1.0
4.55,1.0
4.566667,1.0
4.583333,1.0
4.6,1.0
4.616667,1.0
4.633333,1.0
4.65,1.0
4.666667,1.0
4.683333,1.0
4.7,1.0
4.716667,1.0
4.733333,1.0
4.75,1.0
4.766667,1.0
4.783333,1.0
4.8,1.0
4.816667,1.0
4.833333,1.0
4.85,1.0
4.866667,1.0
4.883333,1.0
4.9,1.0
4.916667,1.0
4.933333,1.0
4.95,1.0
4.966667,1.0
4.983333,1.0
5.0,1.0
5.016667,1.0
5.033333,1.0
5.05,1.0
5.066667,1.0
5.083333,1.0
5.1,1.0
5.116667,1.0
5.133333,1.0
5.15,1.0
5.166667,1.0
5.183333,1.0
5.2,1.0
5.216667,1.0
5.233333,1.0
5.25,1.0
5.266667,1.0
5.283333,1.0
5.3,1.0
5.316667,1.0
5.333333,1.0
5.35,1.0
5.366667,1.0
5.383333,1.0
5.4,1.0
5.416667,1.0
5.433333,1.0
5.45,1.0
5.466667,1.0
5.483333,1.0
5.5,1.0
5.516667,1.0
5.533333,1.0
5.55,1.0
5.566667,1.0
5.583333,1.0
5.6,1.0
5.616667,1.0
5.633333,1.0
5.65,1.0
5.666667,1.0
5.683333,1.0
5.7,1.0
5.716667,1.0
5.733333,1.0
5.75,1.0
5.766667,1.0
5.783333,1.0
5.8,1.0
5.816667,1.0
5.833333,1.0
5.85,1.0
5.866667,1.0
5.883333,1.0
5.9,1.0
5.916667,1.0
5.933333,1.0
5.95,1.0
5.966667,1.0
5.983333,1.0
6.0,1.0
6.016667,1.0
6.033333,1.0
6.05,1.0
6.066667,1.0
6.083333,1.0
6.1,1.0
6.116667,1.0
6.133333,1.0
6.15,1.0
6.166667,1.0
6.183333,1.0
6.2,1.0
6.216667,1.0
6.233333,1.0
6.25,1.0
6.266667,1.0
6.283333,1.0
6.3,1.0
6.316667,1.0
6.333333,1.0
6.35,1.0
6.366667,1.0
6.383333,1.0
6.4,1.0
6.416667,1.0
6.433333,1.0
6.45,1.0
6.466667,1.0
6.483333,1.0
6.5,1.0
6.516667,1.0
6.533333,1.0
6.55,1.0
6.566667,1.0
6.583333,1.0
6.6,1.0
6.616667,1.0
6.633333,1.0
6.65,1.0
6.666667,1.0
6.683333,1.0
6.7,1.0
6.716667,1.0
6.733333,1.0
6.75,1.0
6.766667,1.0
6.783333,1.0
6.8,1.0
6.816667,1.0
6.833333,1.0
6.85,1.0
6.866667,1.0
6.883333,1.0
6.9,1.0
6.916667,1.0
6.933333,1.0
6.95,1.0
6.966667,1.0
6.983333,1.0
7.0,1.0
7.016667,1.0
7.033333,1.0
7.05,1.0
7.066667,1.0
7.083333,1.0
7.1,1.0
7.116667,1.0
7.133333,1.0
7.15,1.0
7.166667,1.0
7.183333,1.0
7.2,1.0
7.216667,1.0
7.233333,1.0
7.25,1.0
7.266667,1.0
7.283333,1.0
7.3,1.0
7.316667,1.0
7.333333,1.0
7.35,1.0
7.366667,1.0
7.383333,1.0
7.4,1.0
7.416667,1.0
7.433333,1.0
7.45,1.0
7.466667,1.0
7.483333,1.0
7.5,1.0
